row_id,sample_id,source_index,source_partition,role,label
0,mnist_00000,0,train,model_training,5
1,mnist_00001,1,train,model_training,0
2,mnist_00002,2,train,model_training,4
3,mnist_00003,3,train,model_training,1
4,mnist_00004,4,train,model_training,9
5,mnist_00005,5,train,model_training,2
6,mnist_00006,6,train,model_training,1
7,mnist_00007,7,train,model_training,3
8,mnist_00008,8,train,model_training,1
9,mnist_00009,9,train,model_training,4
10,mnist_00010,10,train,model_training,3
11,mnist_00012,12,train,model_training,3
12,mnist_00013,13,train,model_training,6
13,mnist_00014,14,train,model_training,1
14,mnist_00017,17,train,model_training,8
15,mnist_00019,19,train,model_training,9
16,mnist_00022,22,train,model_training,9
17,mnist_00023,23,train,model_training,1
18,mnist_00024,24,train,model_training,1
19,mnist_00025,25,train,model_training,2
20,mnist_00026,26,train,model_training,4
21,mnist_00027,27,train,model_training,3
22,mnist_00028,28,train,model_training,2
23,mnist_00029,29,train,model_training,7
24,mnist_00030,30,train,model_training,3
25,mnist_00031,31,train,model_training,8
26,mnist_00032,32,train,model_training,6
27,mnist_00033,33,train,model_training,9
28,mnist_00034,34,train,model_training,0
29,mnist_00037,37,train,model_training,0
30,mnist_00038,38,train,model_training,7
31,mnist_00039,39,train,model_training,6
32,mnist_00040,40,train,model_training,1
33,mnist_00041,41,train,model_training,8
34,mnist_00042,42,train,model_training,7
35,mnist_00043,43,train,model_training,9
36,mnist_00044,44,train,model_training,3
37,mnist_00045,45,train,model_training,9
38,mnist_00046,46,train,model_training,8
39,mnist_00047,47,train,model_training,5
40,mnist_00048,48,train,model_training,9
41,mnist_00049,49,train,model_training,3
42,mnist_00052,52,train,model_training,7
43,mnist_00054,54,train,model_training,9
44,mnist_00055,55,train,model_training,8
45,mnist_00056,56,train,model_training,0
46,mnist_00057,57,train,model_training,9
47,mnist_00058,58,train,model_training,4
48,mnist_00059,59,train,model_training,1
49,mnist_00061,61,train,model_training,4
50,mnist_00062,62,train,model_training,6
51,mnist_00063,63,train,model_training,0
52,mnist_00065,65,train,model_training,5
53,mnist_00066,66,train,model_training,6
54,mnist_00067,67,train,model_training,1
55,mnist_00068,68,train,model_training,0
56,mnist_00069,69,train,model_training,0
57,mnist_00070,70,train,model_training,1
58,mnist_00071,71,train,model_training,7
59,mnist_00072,72,train,model_training,1
60,mnist_00073,73,train,model_training,6
61,mnist_00074,74,train,model_training,3
62,mnist_00075,75,train,model_training,0
63,mnist_00077,77,train,model_training,1
64,mnist_00078,78,train,model_training,1
65,mnist_00079,79,train,model_training,7
66,mnist_00080,80,train,model_training,9
67,mnist_00081,81,train,model_training,0
68,mnist_00082,82,train,model_training,2
69,mnist_00083,83,train,model_training,6
70,mnist_00084,84,train,model_training,7
71,mnist_00085,85,train,model_training,8
72,mnist_00086,86,train,model_training,3
73,mnist_00088,88,train,model_training,0
74,mnist_00089,89,train,model_training,4
75,mnist_00090,90,train,model_training,6
76,mnist_00092,92,train,model_training,4
77,mnist_00093,93,train,model_training,6
78,mnist_00094,94,train,model_training,8
79,mnist_00095,95,train,model_training,0
80,mnist_00096,96,train,model_training,7
81,mnist_00097,97,train,model_training,8
82,mnist_00099,99,train,model_training,1
83,mnist_00101,101,train,model_training,7
84,mnist_00102,102,train,model_training,1
85,mnist_00103,103,train,model_training,7
86,mnist_00104,104,train,model_training,1
87,mnist_00105,105,train,model_training,1
88,mnist_00106,106,train,model_training,6
89,mnist_00107,107,train,model_training,3
90,mnist_00108,108,train,model_training,0
91,mnist_00109,109,train,model_training,2
92,mnist_00110,110,train,model_training,9
93,mnist_00111,111,train,model_training,3
94,mnist_00112,112,train,model_training,1
95,mnist_00113,113,train,model_training,1
96,mnist_00114,114,train,model_training,0
97,mnist_00115,115,train,model_training,4
98,mnist_00116,116,train,model_training,9
99,mnist_00117,117,train,model_training,2
100,mnist_00118,118,train,model_training,0
101,mnist_00119,119,train,model_training,0
102,mnist_00120,120,train,model_training,2
103,mnist_00121,121,train,model_training,0
104,mnist_00122,122,train,model_training,2
105,mnist_00123,123,train,model_training,7
106,mnist_00124,124,train,model_training,1
107,mnist_00125,125,train,model_training,8
108,mnist_00126,126,train,model_training,6
109,mnist_00127,127,train,model_training,4
110,mnist_00129,129,train,model_training,6
111,mnist_00131,131,train,model_training,4
112,mnist_00132,132,train,model_training,5
113,mnist_00133,133,train,model_training,9
114,mnist_00134,134,train,model_training,1
115,mnist_00135,135,train,model_training,3
116,mnist_00136,136,train,model_training,3
117,mnist_00137,137,train,model_training,8
118,mnist_00138,138,train,model_training,5
119,mnist_00140,140,train,model_training,7
120,mnist_00141,141,train,model_training,7
121,mnist_00142,142,train,model_training,4
122,mnist_00143,143,train,model_training,2
123,mnist_00144,144,train,model_training,8
124,mnist_00146,146,train,model_training,8
125,mnist_00148,148,train,model_training,7
126,mnist_00149,149,train,model_training,3
127,mnist_00150,150,train,model_training,4
128,mnist_00151,151,train,model_training,6
129,mnist_00152,152,train,model_training,1
130,mnist_00153,153,train,model_training,9
131,mnist_00154,154,train,model_training,9
132,mnist_00155,155,train,model_training,6
133,mnist_00156,156,train,model_training,0
134,mnist_00157,157,train,model_training,3
135,mnist_00158,158,train,model_training,7
136,mnist_00159,159,train,model_training,2
137,mnist_00160,160,train,model_training,8
138,mnist_00161,161,train,model_training,2
139,mnist_00162,162,train,model_training,9
140,mnist_00163,163,train,model_training,4
141,mnist_00164,164,train,model_training,4
142,mnist_00165,165,train,model_training,6
143,mnist_00167,167,train,model_training,9
144,mnist_00168,168,train,model_training,7
145,mnist_00169,169,train,model_training,0
146,mnist_00170,170,train,model_training,9
147,mnist_00171,171,train,model_training,2
148,mnist_00172,172,train,model_training,9
149,mnist_00174,174,train,model_training,1
150,mnist_00175,175,train,model_training,5
151,mnist_00176,176,train,model_training,9
152,mnist_00177,177,train,model_training,1
153,mnist_00178,178,train,model_training,2
154,mnist_00179,179,train,model_training,3
155,mnist_00181,181,train,model_training,3
156,mnist_00182,182,train,model_training,5
157,mnist_00183,183,train,model_training,9
158,mnist_00184,184,train,model_training,1
159,mnist_00185,185,train,model_training,7
160,mnist_00187,187,train,model_training,2
161,mnist_00188,188,train,model_training,8
162,mnist_00189,189,train,model_training,2
163,mnist_00190,190,train,model_training,2
164,mnist_00191,191,train,model_training,5
165,mnist_00192,192,train,model_training,0
166,mnist_00193,193,train,model_training,7
167,mnist_00194,194,train,model_training,4
168,mnist_00195,195,train,model_training,9
169,mnist_00196,196,train,model_training,7
170,mnist_00197,197,train,model_training,8
171,mnist_00198,198,train,model_training,3
172,mnist_00199,199,train,model_training,2
173,mnist_00200,200,train,model_training,1
174,mnist_00201,201,train,model_training,1
175,mnist_00202,202,train,model_training,8
176,mnist_00203,203,train,model_training,3
177,mnist_00204,204,train,model_training,6
178,mnist_00205,205,train,model_training,1
179,mnist_00206,206,train,model_training,0
180,mnist_00207,207,train,model_training,3
181,mnist_00208,208,train,model_training,1
182,mnist_00209,209,train,model_training,0
183,mnist_00210,210,train,model_training,0
184,mnist_00211,211,train,model_training,1
185,mnist_00212,212,train,model_training,7
186,mnist_00214,214,train,model_training,7
187,mnist_00215,215,train,model_training,3
188,mnist_00216,216,train,model_training,0
189,mnist_00220,220,train,model_training,2
190,mnist_00221,221,train,model_training,6
191,mnist_00222,222,train,model_training,4
192,mnist_00223,223,train,model_training,7
193,mnist_00224,224,train,model_training,1
194,mnist_00225,225,train,model_training,8
195,mnist_00226,226,train,model_training,9
196,mnist_00227,227,train,model_training,9
197,mnist_00228,228,train,model_training,3
198,mnist_00229,229,train,model_training,0
199,mnist_00230,230,train,model_training,7
200,mnist_00231,231,train,model_training,1
201,mnist_00232,232,train,model_training,0
202,mnist_00233,233,train,model_training,2
203,mnist_00234,234,train,model_training,0
204,mnist_00235,235,train,model_training,3
205,mnist_00236,236,train,model_training,5
206,mnist_00237,237,train,model_training,4
207,mnist_00238,238,train,model_training,6
208,mnist_00239,239,train,model_training,5
209,mnist_00240,240,train,model_training,8
210,mnist_00241,241,train,model_training,6
211,mnist_00242,242,train,model_training,3
212,mnist_00243,243,train,model_training,7
213,mnist_00245,245,train,model_training,8
214,mnist_00246,246,train,model_training,0
215,mnist_00247,247,train,model_training,9
216,mnist_00248,248,train,model_training,1
217,mnist_00249,249,train,model_training,0
218,mnist_00250,250,train,model_training,3
219,mnist_00251,251,train,model_training,1
220,mnist_00252,252,train,model_training,2
221,mnist_00253,253,train,model_training,2
222,mnist_00254,254,train,model_training,3
223,mnist_00255,255,train,model_training,3
224,mnist_00256,256,train,model_training,6
225,mnist_00257,257,train,model_training,4
226,mnist_00258,258,train,model_training,7
227,mnist_00259,259,train,model_training,5
228,mnist_00260,260,train,model_training,0
229,mnist_00261,261,train,model_training,6
230,mnist_00263,263,train,model_training,7
231,mnist_00264,264,train,model_training,9
232,mnist_00265,265,train,model_training,8
233,mnist_00266,266,train,model_training,5
234,mnist_00267,267,train,model_training,9
235,mnist_00268,268,train,model_training,2
236,mnist_00269,269,train,model_training,1
237,mnist_00270,270,train,model_training,1
238,mnist_00271,271,train,model_training,4
239,mnist_00272,272,train,model_training,4
240,mnist_00274,274,train,model_training,6
241,mnist_00275,275,train,model_training,4
242,mnist_00276,276,train,model_training,1
243,mnist_00279,279,train,model_training,3
244,mnist_00280,280,train,model_training,9
