system,frozen_binary_tabular,frozen_mlp100,frozen_lenet5_small,frozen_sobel,frozen_harris,frozen_cnn_lite,frozen_deeper_polynomial,external_eva_sobel,external_eva_harris,external_eva_polynomial,external_corelab_mlp,external_corelab_lenet,external_corelab_regression,external_heir_ckks_examples,external_ant_onnx_cnn,external_orion_nn,external_autofhe_cifar,external_bootstrap_deep,external_slothe_model,reason_summary
CHET,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,frozen_binary_tabular:no executable output closure for this audit | frozen_mlp100:no executable output closure for this audit | frozen_lenet5_small:no executable output closure for this audit | frozen_sobel:no executable output closure for this audit | frozen_harris:no executable output closure for this audit | frozen_cnn_lite:no executable output closure for this audit | frozen_deeper_polynomial:no executable output closure for this audit | external_eva_sobel:no executable output closure for this audit | external_eva_harris:no executable output closure for this audit | external_eva_polynomial:no executable output closure for this audit | external_corelab_mlp:no executable output closure for this audit | external_corelab_lenet:no executable output closure for this audit | external_corelab_regression:no executable output closure for this audit | external_heir_ckks_examples:no executable output closure for this audit | external_ant_onnx_cnn:no executable output closure for this audit | external_orion_nn:no executable output closure for this audit | external_autofhe_cifar:no executable output closure for this audit | external_bootstrap_deep:no executable output closure for this audit | external_slothe_model:no executable output closure for this audit
EVA,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,EXACT_OFFICIAL_PROVIDER_WORKLOAD,EXACT_OFFICIAL_PROVIDER_WORKLOAD,EXACT_OFFICIAL_PROVIDER_WORKLOAD,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,"frozen_binary_tabular:name or task overlaps, but graph/packing/model identity is not exact | frozen_mlp100:name or task overlaps, but graph/packing/model identity is not exact | frozen_lenet5_small:name or task overlaps, but graph/packing/model identity is not exact | frozen_sobel:name or task overlaps, but graph/packing/model identity is not exact | frozen_harris:name or task overlaps, but graph/packing/model identity is not exact | frozen_cnn_lite:name or task overlaps, but graph/packing/model identity is not exact | frozen_deeper_polynomial:name or task overlaps, but graph/packing/model identity is not exact | external_eva_sobel:official workload; not automatically shared with FlipGuard | external_eva_harris:official workload; not automatically shared with FlipGuard | external_eva_polynomial:official workload; not automatically shared with FlipGuard | external_corelab_mlp:no exact graph and raw output pair was established | external_corelab_lenet:no exact graph and raw output pair was established | external_corelab_regression:no exact graph and raw output pair was established | external_heir_ckks_examples:no exact graph and raw output pair was established | external_ant_onnx_cnn:no exact graph and raw output pair was established | external_orion_nn:no exact graph and raw output pair was established | external_autofhe_cifar:no exact graph and raw output pair was established | external_bootstrap_deep:no exact graph and raw output pair was established | external_slothe_model:no exact graph and raw output pair was established"
HECO,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,frozen_binary_tabular:no exact graph and raw output pair was established | frozen_mlp100:no exact graph and raw output pair was established | frozen_lenet5_small:no exact graph and raw output pair was established | frozen_sobel:no exact graph and raw output pair was established | frozen_harris:no exact graph and raw output pair was established | frozen_cnn_lite:no exact graph and raw output pair was established | frozen_deeper_polynomial:no exact graph and raw output pair was established | external_eva_sobel:no exact graph and raw output pair was established | external_eva_harris:no exact graph and raw output pair was established | external_eva_polynomial:no exact graph and raw output pair was established | external_corelab_mlp:no exact graph and raw output pair was established | external_corelab_lenet:no exact graph and raw output pair was established | external_corelab_regression:no exact graph and raw output pair was established | external_heir_ckks_examples:no exact graph and raw output pair was established | external_ant_onnx_cnn:no exact graph and raw output pair was established | external_orion_nn:no exact graph and raw output pair was established | external_autofhe_cifar:no exact graph and raw output pair was established | external_bootstrap_deep:no exact graph and raw output pair was established | external_slothe_model:no exact graph and raw output pair was established
HEIR,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,frozen_binary_tabular:official artifact did not reach executable output | frozen_mlp100:official artifact did not reach executable output | frozen_lenet5_small:official artifact did not reach executable output | frozen_sobel:official artifact did not reach executable output | frozen_harris:official artifact did not reach executable output | frozen_cnn_lite:official artifact did not reach executable output | frozen_deeper_polynomial:official artifact did not reach executable output | external_eva_sobel:official artifact did not reach executable output | external_eva_harris:official artifact did not reach executable output | external_eva_polynomial:official artifact did not reach executable output | external_corelab_mlp:official artifact did not reach executable output | external_corelab_lenet:official artifact did not reach executable output | external_corelab_regression:official artifact did not reach executable output | external_heir_ckks_examples:official artifact did not reach executable output | external_ant_onnx_cnn:official artifact did not reach executable output | external_orion_nn:official artifact did not reach executable output | external_autofhe_cifar:official artifact did not reach executable output | external_bootstrap_deep:official artifact did not reach executable output | external_slothe_model:official artifact did not reach executable output
ANT-ACE,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,EXACT_OFFICIAL_PROVIDER_WORKLOAD,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,"frozen_binary_tabular:name or task overlaps, but graph/packing/model identity is not exact | frozen_mlp100:name or task overlaps, but graph/packing/model identity is not exact | frozen_lenet5_small:name or task overlaps, but graph/packing/model identity is not exact | frozen_sobel:name or task overlaps, but graph/packing/model identity is not exact | frozen_harris:name or task overlaps, but graph/packing/model identity is not exact | frozen_cnn_lite:name or task overlaps, but graph/packing/model identity is not exact | frozen_deeper_polynomial:name or task overlaps, but graph/packing/model identity is not exact | external_eva_sobel:no exact graph and raw output pair was established | external_eva_harris:no exact graph and raw output pair was established | external_eva_polynomial:no exact graph and raw output pair was established | external_corelab_mlp:no exact graph and raw output pair was established | external_corelab_lenet:no exact graph and raw output pair was established | external_corelab_regression:no exact graph and raw output pair was established | external_heir_ckks_examples:no exact graph and raw output pair was established | external_ant_onnx_cnn:official workload; not automatically shared with FlipGuard | external_orion_nn:no exact graph and raw output pair was established | external_autofhe_cifar:no exact graph and raw output pair was established | external_bootstrap_deep:no exact graph and raw output pair was established | external_slothe_model:no exact graph and raw output pair was established"
HEaaN.MLIR,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,ARTIFACT_UNAVAILABLE,frozen_binary_tabular:no executable output closure for this audit | frozen_mlp100:no executable output closure for this audit | frozen_lenet5_small:no executable output closure for this audit | frozen_sobel:no executable output closure for this audit | frozen_harris:no executable output closure for this audit | frozen_cnn_lite:no executable output closure for this audit | frozen_deeper_polynomial:no executable output closure for this audit | external_eva_sobel:no executable output closure for this audit | external_eva_harris:no executable output closure for this audit | external_eva_polynomial:no executable output closure for this audit | external_corelab_mlp:no executable output closure for this audit | external_corelab_lenet:no executable output closure for this audit | external_corelab_regression:no executable output closure for this audit | external_heir_ckks_examples:no executable output closure for this audit | external_ant_onnx_cnn:no executable output closure for this audit | external_orion_nn:no executable output closure for this audit | external_autofhe_cifar:no executable output closure for this audit | external_bootstrap_deep:no executable output closure for this audit | external_slothe_model:no executable output closure for this audit
HECATE,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,frozen_binary_tabular:official artifact did not reach executable output | frozen_mlp100:official artifact did not reach executable output | frozen_lenet5_small:official artifact did not reach executable output | frozen_sobel:official artifact did not reach executable output | frozen_harris:official artifact did not reach executable output | frozen_cnn_lite:official artifact did not reach executable output | frozen_deeper_polynomial:official artifact did not reach executable output | external_eva_sobel:official artifact did not reach executable output | external_eva_harris:official artifact did not reach executable output | external_eva_polynomial:official artifact did not reach executable output | external_corelab_mlp:official artifact did not reach executable output | external_corelab_lenet:official artifact did not reach executable output | external_corelab_regression:official artifact did not reach executable output | external_heir_ckks_examples:official artifact did not reach executable output | external_ant_onnx_cnn:official artifact did not reach executable output | external_orion_nn:official artifact did not reach executable output | external_autofhe_cifar:official artifact did not reach executable output | external_bootstrap_deep:official artifact did not reach executable output | external_slothe_model:official artifact did not reach executable output
ELASM,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,SAME_TASK_DIFFERENT_GRAPH,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,EXACT_OFFICIAL_PROVIDER_WORKLOAD,EXACT_OFFICIAL_PROVIDER_WORKLOAD,EXACT_OFFICIAL_PROVIDER_WORKLOAD,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,"frozen_binary_tabular:name or task overlaps, but graph/packing/model identity is not exact | frozen_mlp100:name or task overlaps, but graph/packing/model identity is not exact | frozen_lenet5_small:name or task overlaps, but graph/packing/model identity is not exact | frozen_sobel:name or task overlaps, but graph/packing/model identity is not exact | frozen_harris:name or task overlaps, but graph/packing/model identity is not exact | frozen_cnn_lite:name or task overlaps, but graph/packing/model identity is not exact | frozen_deeper_polynomial:name or task overlaps, but graph/packing/model identity is not exact | external_eva_sobel:no exact graph and raw output pair was established | external_eva_harris:no exact graph and raw output pair was established | external_eva_polynomial:no exact graph and raw output pair was established | external_corelab_mlp:official workload; not automatically shared with FlipGuard | external_corelab_lenet:official workload; not automatically shared with FlipGuard | external_corelab_regression:official workload; not automatically shared with FlipGuard | external_heir_ckks_examples:no exact graph and raw output pair was established | external_ant_onnx_cnn:no exact graph and raw output pair was established | external_orion_nn:no exact graph and raw output pair was established | external_autofhe_cifar:no exact graph and raw output pair was established | external_bootstrap_deep:no exact graph and raw output pair was established | external_slothe_model:no exact graph and raw output pair was established"
HEILP,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,BUILD_BLOCKED,frozen_binary_tabular:official artifact did not reach executable output | frozen_mlp100:official artifact did not reach executable output | frozen_lenet5_small:official artifact did not reach executable output | frozen_sobel:official artifact did not reach executable output | frozen_harris:official artifact did not reach executable output | frozen_cnn_lite:official artifact did not reach executable output | frozen_deeper_polynomial:official artifact did not reach executable output | external_eva_sobel:official artifact did not reach executable output | external_eva_harris:official artifact did not reach executable output | external_eva_polynomial:official artifact did not reach executable output | external_corelab_mlp:official artifact did not reach executable output | external_corelab_lenet:official artifact did not reach executable output | external_corelab_regression:official artifact did not reach executable output | external_heir_ckks_examples:official artifact did not reach executable output | external_ant_onnx_cnn:official artifact did not reach executable output | external_orion_nn:official artifact did not reach executable output | external_autofhe_cifar:official artifact did not reach executable output | external_bootstrap_deep:official artifact did not reach executable output | external_slothe_model:official artifact did not reach executable output
DaCapo,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,NO_BOOTSTRAP_NOT_APPLICABLE,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,OUTPUT_NOT_EXPOSED,EXACT_OFFICIAL_PROVIDER_WORKLOAD,OUTPUT_NOT_EXPOSED,frozen_binary_tabular:frozen workloads do not require bootstrapping | frozen_mlp100:frozen workloads do not require bootstrapping | frozen_lenet5_small:frozen workloads do not require bootstrapping | frozen_sobel:frozen workloads do not require bootstrapping | frozen_harris:frozen workloads do not require bootstrapping | frozen_cnn_lite:frozen workloads do not require bootstrapping | frozen_deeper_polynomial:frozen workloads do not require bootstrapping | external_eva_sobel:no exact graph and raw output pair was established | external_eva_harris:no exact graph and raw output pair was established | external_eva_polynomial:no exact graph and raw output pair was established | external_corelab_mlp:no exact graph and raw output pair was established | external_corelab_lenet:no exact graph and raw output pair was established | external_corelab_regression:no exact graph and raw output pair was established | external_heir_ckks_examples:no exact graph and raw output pair was established | external_ant_onnx_cnn:no exact graph and raw output pair was established | external_orion_nn:no exact graph and raw output pair was established | external_autofhe_cifar:no exact graph and raw output pair was established | external_bootstrap_deep:official workload; not automatically shared with FlipGuard | external_slothe_model:no exact graph and raw output pair was established
