workload,declared_candidate_set,fastest_stable_candidate,catalog_over_direct_total_ratio,external_candidate_included,scope
split_seed_0/banknote/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.013474295372225,False,frozen internal common-executor arms
split_seed_0/banknote/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9160831594100434,False,frozen internal common-executor arms
split_seed_0/digits_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.99220593756354,False,frozen internal common-executor arms
split_seed_0/digits_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,2.049480134606135,False,frozen internal common-executor arms
split_seed_0/iris_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.171208427615701,False,frozen internal common-executor arms
split_seed_0/iris_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9221940156907582,False,frozen internal common-executor arms
split_seed_0/mnist_pool16/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.067716275098078,False,frozen internal common-executor arms
split_seed_0/mnist_pool16/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9569845909592363,False,frozen internal common-executor arms
split_seed_0/wdbc/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.967161612065418,False,frozen internal common-executor arms
split_seed_0/wdbc/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.974204149322098,False,frozen internal common-executor arms
split_seed_1/banknote/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.374838430515303,False,frozen internal common-executor arms
split_seed_1/banknote/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.915707978584788,False,frozen internal common-executor arms
split_seed_1/digits_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.9892120278524255,False,frozen internal common-executor arms
split_seed_1/digits_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9074250966253767,False,frozen internal common-executor arms
split_seed_1/iris_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.220431200556882,False,frozen internal common-executor arms
split_seed_1/iris_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.850580832747875,False,frozen internal common-executor arms
split_seed_1/mnist_pool16/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.9395178417384145,False,frozen internal common-executor arms
split_seed_1/mnist_pool16/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.8846703706665708,False,frozen internal common-executor arms
split_seed_1/wdbc/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.007447606525853,False,frozen internal common-executor arms
split_seed_1/wdbc/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9485162584060651,False,frozen internal common-executor arms
split_seed_2/banknote/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.3958283545020524,False,frozen internal common-executor arms
split_seed_2/banknote/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9550490187752907,False,frozen internal common-executor arms
split_seed_2/digits_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.884304545260313,False,frozen internal common-executor arms
split_seed_2/digits_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.8624359143689753,False,frozen internal common-executor arms
split_seed_2/iris_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.395566300180975,False,frozen internal common-executor arms
split_seed_2/iris_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.8834870766442366,False,frozen internal common-executor arms
split_seed_2/mnist_pool16/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.031092491993909,False,frozen internal common-executor arms
split_seed_2/mnist_pool16/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9340185105577485,False,frozen internal common-executor arms
split_seed_2/wdbc/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.311807466905127,False,frozen internal common-executor arms
split_seed_2/wdbc/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9035190448232717,False,frozen internal common-executor arms
split_seed_3/banknote/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.258382695310359,False,frozen internal common-executor arms
split_seed_3/banknote/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9341239894773623,False,frozen internal common-executor arms
split_seed_3/digits_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.768153266251525,False,frozen internal common-executor arms
split_seed_3/digits_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9819948204733853,False,frozen internal common-executor arms
split_seed_3/iris_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.4106714389699,False,frozen internal common-executor arms
split_seed_3/iris_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.8679315146753583,False,frozen internal common-executor arms
split_seed_3/mnist_pool16/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.824864299054827,False,frozen internal common-executor arms
split_seed_3/mnist_pool16/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9580082780551291,False,frozen internal common-executor arms
split_seed_3/wdbc/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.16934749540706,False,frozen internal common-executor arms
split_seed_3/wdbc/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9848978432880795,False,frozen internal common-executor arms
split_seed_4/banknote/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,5.405281588856681,False,frozen internal common-executor arms
split_seed_4/banknote/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9805414616508554,False,frozen internal common-executor arms
split_seed_4/digits_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.956406010944828,False,frozen internal common-executor arms
split_seed_4/digits_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9911350815304332,False,frozen internal common-executor arms
split_seed_4/iris_binary/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.983055110983771,False,frozen internal common-executor arms
split_seed_4/iris_binary/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9408363997825013,False,frozen internal common-executor arms
split_seed_4/mnist_pool16/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.864445059771666,False,frozen internal common-executor arms
split_seed_4/mnist_pool16/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,2.026305385276854,False,frozen internal common-executor arms
split_seed_4/wdbc/linear_poly3,direct; Security-V2 bounded-catalog; fixed reference,direct,4.878203876532585,False,frozen internal common-executor arms
split_seed_4/wdbc/mlp_square_linear_score,direct; Security-V2 bounded-catalog; fixed reference,direct,1.9913886535421363,False,frozen internal common-executor arms
