system,official_paper,pdf_sha256,source_locator
CHET,https://doi.org/10.1145/3314221.3314628,1933451d6493ee2a621e672cecdd64a55ef4a81d5274d6951da7eb701f079589,"PDF page 10, Figure 6"
EVA,https://doi.org/10.1145/3385412.3386023,80f1171a20b676b412081d5b3d517c42102030cdd8251546cd13e7ffded1ea66,PDF page 12 Table 5 and page 14 conclusion
HECO,https://www.usenix.org/conference/usenixsecurity23/presentation/viand,815039e85b3734869fd5262c847b96f757bac47238b66a8271912d7acdda5f1a,"PDF page 13, Roberts Cross evaluation narrative"
ANT-ACE,https://doi.org/10.1145/3696443.3708924,bc9b1aafb56b179f9d507f071c3a0706aad706a454912d163cc584eeeae8ace5,PDF page 2 abstract
HECATE,https://doi.org/10.1109/CGO53902.2022.9741265,0ae9ad193c58cddd0da4fca37a5033a379256fea0962c9de7a34fb1d4f46b6cb,PDF page 1 abstract and page 10 conclusion
ELASM,https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo,8c1ad29a2b8e7f43ed265a55576dc73c0569bf7d354dfd202746579f338b605f,"PDF page 11, Figure 12b"
DaCapo,https://doi.org/10.1145/3575693.3575711,20c7e84518987441d6b08ad1943f8cf3953423b70db7d64b5382859e764d0803,PDF page 1 abstract and page 2 contributions
ReSBM,https://ant-research.github.io/publications/resbm.pdf,ef90741b93742f37893f8780f1863d21a8758505b953d7ae760b8a1c43a5d6e0,PDF page 1 abstract and page 3 contributions
AutoFHE,https://www.usenix.org/conference/usenixsecurity24/presentation/ao,f340cc685e8559a86bcd7f2769f7550271dcac957fcd777aca9665293d95e8f7,PDF page 1 abstract and page 12 Figure 8
Orion,https://arxiv.org/abs/2311.03470,dcff5492c59d6b908159dc0a39203db8d6d7ac3925c1f9f5ec3d767c66ee35d7,"PDF page 11, Table 4"
LOHEN,https://doi.org/10.1109/HPCA56546.2023.10070986,f15b9e89e060af18676bde973967f8bee3581c0905cebb81d2c76f3b7e6aa91a,"PDF page 13, Table 13 narrative"
SLOTHE,https://doi.org/10.1145/3694715.3695978,fac36d42d1351037abfaf6e5eb404a5c943d8507bf734209806ec5db9c463f13,PDF page 3 contributions and page 15 discussion
FHE-Agent,https://arxiv.org/abs/2511.18653,347360507b510bfd66fa16abbd1d409f132593af282da1c5022721e830d82511,"preprint PDF page 6, Table 1"
FlipGuard,LOCAL_FROZEN_EVIDENCE,NOT_APPLICABLE,docs/evidence/final_confirmatory_suite_v1/manifest.json formal_trial_accounting
