provider,native_security_state,flipguard_policy_interpretation,comparability
CHET,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
EVA,NOT_EVALUATED_DIFFERENT_RUNTIME_DISTRIBUTION,SEPARATE_RUNTIME_INTERPRETATION,SECURITY_ASSUMPTIONS_DIFFER
HECO,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
HEIR,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
ANT-ACE,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
HEaaN.MLIR,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
HECATE,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
ELASM,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
HEILP,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
DaCapo,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
HALO,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
ReSBM,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
Orbit,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
AutoFHE,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
Orion,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
LOHEN,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
SLOTHE,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
Application-Aware Approximate HE,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
FHE-Agent,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
FHECrafter,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED
FlipGuard,SECURITY_POLICY_V2_ADMITTED,SECURITY_POLICY_V2_ADMITTED,SECURITY_POLICY_ALIGNED
