row_id,label,scaled_logit,polynomial_score,plaintext_decision,materialization_schema,source_data_sha256,source_model_sha256,source_feature_space,preprocessing_method,x_0,x_1,x_2,x_3
0,0,-0.58019224365122013,0.38648335230713432,false,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,1.48951549686,0.037854910372999998,-0.28199639278100003,1.362400918466
3,1,0.31651185130358717,0.56222600239171228,true,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,-0.65797428037299999,-0.29078340232,-0.105914636002,1.327229573796
4,0,-0.26100770425522535,0.44865260688376535,false,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,0.97155468582799998,-1.063617266919,0.53166494470500003,0.430579807368
7,1,0.29511424538672276,0.55803469748851697,true,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,-0.86006160325100001,-1.8053435079810001,1.7840472702779999,1.0217542761530001
9,1,0.40854142526352022,0.5802099085592779,true,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,-0.61333157728400001,-1.439244895007,0.78978867174300005,0.55708497796500001
11,0,-0.54695225034727124,0.39290490454304311,false,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,1.0591528087390001,0.759088645811,-0.72092356827699999,0.56325595025700004
12,0,-0.31099050888515539,0.43885517965807913,false,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,0.094431025343000005,1.224131906772,-0.86520893553400002,-0.089645898703999999
14,0,-0.37229251553499154,0.42686477596730793,false,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,1.3251459853300001,-0.77525355861300005,0.17635821863600001,1.0236059018970001
15,1,0.079452493668642959,0.51565013501409274,true,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,0.43141313019200001,0.35306380104700003,-1.3995321525119999,-0.62093840915700005
16,0,-0.55285599215610537,0.39176329072411759,false,flipguard_tabular_validation_v2,sha256:0e6bb60765fa2ccf23278e3c636618a1a4308e3f9b97beca2706fd9306d1874e,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,model_input,identity_model_input_v1,0.729710750987,1.343569060384,-1.0406973307680001,-0.85668663529800004
