row_id,label,scaled_logit,polynomial_score,plaintext_decision,materialization_schema,source_data_sha256,source_model_sha256,source_feature_space,preprocessing_method,x_0,x_1,x_2,x_3
1,0,-0.43029222425247476,0.41523243182226244,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.73862634371900004,0.84242744252699997,-0.88978783346599999,-0.31408684701799999
2,1,0.55550264517179482,0.60943402109884359,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.10809166005699999,-0.157062743522,1.1558172649889999,1.3078370351219999
7,1,0.45107012397796098,0.58886081442365834,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,0.83771036543800004,0.64252940531699998,1.1558172649889999,1.4880507998050001
9,0,-0.43233889434386563,0.41482923781425846,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.10809166005699999,0.64252940531699998,-0.819249726623,-1.0349419057460001
10,1,0.50534839790029051,0.59955363438635723,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,1.468245049101,0.242733330898,1.1558172649889999,1.3078370351219999
11,1,0.41214798937919156,0.58119315390770077,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.73862634371900004,-1.556349003991,0.30935998286999999,0.40676821171100003
13,0,-0.51221560454760628,0.39909352590412156,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.42335900188800002,0.64252940531699998,-1.030864047153,-1.0349419057460001
14,1,0.61130723465646952,0.62042752522732447,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,0.99534403635400004,-0.35696078073199999,1.296893478676,1.12762327044
17,0,-0.49945438953524351,0.40160748526155704,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.10809166005699999,1.242223516947,-0.96032594030899998,-1.0349419057460001
18,1,0.54122831568285124,0.60662197818952168,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,1.7835123909320001,-0.157062743522,1.085279158146,1.12762327044
19,0,-0.54845483642844095,0.39195439722359715,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.73862634371900004,0.242733330898,-1.1719402608389999,-1.0349419057460001
21,0,-0.4684472222190047,0.40771589722285606,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,0.52244302360600003,1.8419176285759999,-1.1719402608389999,-1.0349419057460001
22,1,0.56740535584796581,0.61177885510204932,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,0.20717568177500001,-0.157062743522,1.1558172649889999,1.3078370351219999
24,0,-0.60997604231366753,0.37983471966420751,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-1.2115273564669999,0.242733330898,-1.1014021539959999,-1.0349419057460001
26,1,0.52387558166926174,0.60320348958884451,true,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,1.310611378185,0.44263136810699999,1.296893478676,1.4880507998050001
29,0,-0.54739072051628568,0.3921640280582917,false,flipguard_tabular_validation_v2,sha256:0f94b83421c9eb3060abf8ea1a35ae3ca8c075b45f01b19144a6429ad2b8ac17,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,model_input,identity_model_input_v1,-0.73862634371900004,0.64252940531699998,-0.96032594030899998,-1.0349419057460001
