provider,workload,native_latency,common_executor_latency,headline_eligible,reason
CHET,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
EVA,seed0 development linear_poly3 native replay,mean_total_sample_ms=52.252991095,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
HECO,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
HEIR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
ANT-ACE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
HEaaN.MLIR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
HECATE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
ELASM,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
HEILP,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
DaCapo,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
HALO,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
ReSBM,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
Orbit,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
AutoFHE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
Orion,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
LOHEN,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
SLOTHE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
Application-Aware Approximate HE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
FHE-Agent,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
FHECrafter,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,false,no external PORTABLE_EXACT arm
