provider,candidate,static_policy,runtime_distribution_match,formal_security_state,headline_eligible
CHET,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
EVA,native_v1.0.1,PASS,false,NOT_EVALUATED_DIFFERENT_RUNTIME_DISTRIBUTION,false
HECO,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
HEIR,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
ANT-ACE,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
HEaaN.MLIR,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
HECATE,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
ELASM,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
HEILP,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
DaCapo,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
HALO,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
ReSBM,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
Orbit,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
AutoFHE,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
Orion,public_configs,FAIL_CLOSED,NOT_EVALUATED,NOT_ADMITTED,false
LOHEN,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
SLOTHE,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
Application-Aware Approximate HE,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
FHE-Agent,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
FHECrafter,NO_EXECUTED_CANDIDATE,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,false
