system,full_title,authors,venue,year,publication_status,peer_reviewed,official_paper,official_repository,artifact_revision,license,supported_scheme,backend,frontend_model_format,optimization_target,parameter_search_space,scale_management,bootstrapping,packing_layout,security_handling,error_correctness_metric,model_workload,public_reproduction_status,comparison_relevance,experimental_inclusion_class,exclusion_reason
CHET,CHET: An Optimizing Compiler for Fully-Homomorphic Neural-Network Inferencing,Roshan Dathathri; Olli Saarikivi; Hao Chen; Kim Laine; Kristin Lauter; Saeed Maleki; Madanlal Musuvathi; Todd Mytkowicz,ACM PLDI,2019,published,true,https://doi.org/10.1145/3314221.3314628,NR,NR,NR,CKKS,Microsoft SEAL,tensor circuits,tensor layout; rotation; encryption parameters; runtime,symbolic parameter and layout selection,compiler-managed,not central,tensor SIMD layouts,parameter selection under backend constraints,numerical accuracy and model inference,homomorphic neural-network inference,NO_SEPARATE_OFFICIAL_ARTIFACT_VERIFIED,foundational graph-to-parameter compiler,RELATED_WORK_ONLY,No separate official executable repository was verified; later CHET-on-EVA code is not the original artifact.
EVA,EVA: An Encrypted Vector Arithmetic Language and Compiler for Efficient Homomorphic Computation,Roshan Dathathri; Blagovesta Kostova; Olli Saarikivi; Wei Dai; Kim Laine; Madan Musuvathi,ACM PLDI,2020,published,true,https://doi.org/10.1145/3385412.3386023,https://github.com/microsoft/EVA,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,MIT,CKKS,Microsoft SEAL 3.6.4,EVA vector IR / Python DSL,rescale and relinearization insertion; parameter generation; vector code optimization,compiler-generated CKKS parameters from input scale and output range,automatic rescale insertion,not supported in frozen release,vector SIMD,SEAL parameter context; source replay used sec_level_type::none and is separately qualified,MSE and output ranges,vector polynomials; Sobel and Harris examples; CHET neural workloads,OFFICIAL_ARTIFACT_PINNED,closest foundational provider and native runtime control,REQUIRED_REPRODUCTION,Native runtime is eligible; no current frozen workload plan satisfies every PORTABLE_EXACT condition.
HECO,HECO: Fully Homomorphic Encryption Compiler,Alexander Viand; Patrick Jattke; Miro Haller; Anwar Hithnawi,USENIX Security,2023,published,true,https://www.usenix.org/conference/usenixsecurity23/presentation/viand,https://github.com/MarbleHE/HECO,artifact@cf396f05029930b6476c10266853b2099e23bd32,Apache-2.0,BFV; BGV; CKKS,SEAL and generated C++,Python-like imperative language / MLIR,scheme-aware lowering; SIMD vectorization; dataflow optimization,compiler lowering and backend parameter hooks,CKKS lowering support,not central,automatic SIMD batching,delegated to backend parameters,functional and runtime validation,general kernels and ML programs,OFFICIAL_ARTIFACT_PINNED,"modern general FHE compiler, not a decision-specific tuner",CONDITIONAL_REPRODUCTION,Common-executor inclusion requires an exact CKKS plan with exposed Q/P and schedule.
HEIR,HEIR: A Universal Compiler for Homomorphic Encryption,Asra Ali; Jaeho Choi; Bryant Gipson; Shruthi Gorantala; Jeremy Kun; Wouter Legiest; Lawrence Lim; Alexander Viand; Meron Zerihun Demissie; Hongren Zheng,arXiv,2025,preprint,false,https://arxiv.org/abs/2508.11095,https://github.com/google/heir,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,Apache-2.0 with MIT components,BGV; BFV; CKKS; CGGI,OpenFHE; Lattigo; tfhe-rs; Jaxite,MLIR; Python frontend,multi-scheme compiler IR and backend code generation,compiler passes and backend parameter generation,CKKS dialect and backend lowering,backend-dependent,tensor/SIMD transformations,backend parameter semantics,end-to-end compiler tests,general arithmetic; matvec; ML examples,OFFICIAL_RELEASE_PINNED,modern compiler toolchain and Lattigo CKKS backend,REQUIRED_REPRODUCTION,A build/runtime smoke is not a PORTABLE_EXACT FlipGuard workload plan.
ANT-ACE,ANT-ACE: An FHE Compiler Framework for Automating Neural Network Inference,Long Li; Jianxin Lai; Peng Yuan; Tianxiang Sui; Yan Liu; Qing Zhu; Xiaojing Zhang; Linjie Xiao; Wenguang Chen; Jingling Xue,ACM/IEEE CGO,2025,published,true,https://doi.org/10.1145/3696443.3708924,https://github.com/ant-research/ace-compiler,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,NO_LICENSE_DECLARED_IN_PINNED_REPOSITORY,RNS-CKKS,ACE runtime / generated C++,ONNX,automated neural-network compilation and packed encrypted inference,compiler-generated layouts and CKKS configurations,compiler-managed,deep-network support,packed CNN layouts,paper reports selected CKKS security parameters,encrypted-vs-plaintext accuracy,ResNet20/32/44/56/110 on CIFAR,OFFICIAL_ARTIFACT_PINNED_HIGH_RESOURCE,modern ONNX CKKS DNN compiler,REQUIRED_REPRODUCTION,Full artifact requests at least 400 GB RAM and uses different models/packing; build smoke is still audited.
HEaaN.MLIR,HEaaN.MLIR: An Optimizing Compiler for Fast Ring-Based Homomorphic Encryption,Sunjae Park; Woosung Song; Seunghyeon Nam; Hyeongyu Kim; Junbum Shin; Juneyoung Lee,ACM PLDI,2023,published,true,https://doi.org/10.1145/3591228,NR,NR,NR,ring-based HE / CKKS-oriented backend,HEaaN,MLIR,low-level modular and polynomial operation optimization,compiler transformations below application configuration,not the primary contribution,low-level support,ring-level operations,runtime parameters,compiler correctness and performance,HEaaN kernels,NO_OFFICIAL_EXECUTABLE_REPOSITORY_VERIFIED,low-level compiler landscape,RELATED_WORK_ONLY,No official public executable artifact was verified.
HECATE,HECATE: Performance-Aware Scale Optimization for Homomorphic Encryption Compiler,Yongwoo Lee; Seonyeong Heo; Seonyoung Cheon; Shinnung Jeong; Changsu Kim; Eunkyung Kim; Dongyoon Lee; Hanjun Kim,IEEE/ACM CGO,2022,published,true,https://doi.org/10.1109/CGO53902.2022.9741265,https://github.com/corelab-src/hecate-compiler,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,CKKS,SEAL; HEonGPU in current snapshot,Earth/MLIR; Python tracer,performance-aware scale placement,waterline scale schedules,central contribution,current repository also contains later planners,vector/tensor examples,128-bit backend setting in evaluation,RMSE and maximum error,regression; Sobel; Harris; MNIST MLP; LeNet,POST_PUBLICATION_SNAPSHOT_PINNED,closest scale-management baseline and matching model families,REQUIRED_REPRODUCTION,No paper-tagged revision; exact packing and schedule identity must be separately established.
ELASM,ELASM: Error-Latency-Aware Scale Management for Fully Homomorphic Encryption,Yongwoo Lee; Seonyoung Cheon; Dongkwan Kim; Dongyoon Lee; Hanjun Kim,USENIX Security,2023,published,true,https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo,https://github.com/corelab-src/elasm,main@3c37c11b29ca480525bb6681e0254bdf90029425,Apache-2.0,CKKS,Microsoft SEAL 4.0.0,Earth/MLIR; Python tracer,error-latency-aware scale planning,waterlines and sampled scale plans,central contribution,DaCapo separated into another repository,vector/tensor examples,128-bit backend setting in evaluation,output error and latency Pareto frontier,regression; image kernels; MNIST MLP/LeNet,OFFICIAL_REPOSITORY_PINNED,error-aware scale manager,REQUIRED_REPRODUCTION,Exact common-executor use requires complete emitted schedule and packing identity.
HEILP,HEILP: An ILP-Based Scale Management Method for Homomorphic Encryption Compiler,Weidong Yang; Shuya Ji; Jianfei Jiang; Naifeng Jing; Qin Wang; Zhigang Mao; Weiguang Sheng,DATE,2025,published,true,https://doi.org/10.23919/DATE64628.2025.10992881,NR,NR,NR,CKKS,paper-defined compiler flow,dataflow graph,ILP scale and level management,integer-program scale schedule,central contribution,not central,reported benchmark layouts,paper parameter setting,precision and latency,reported CKKS compiler benchmarks,NO_OFFICIAL_ARTIFACT_VERIFIED,recent scale-management optimization,CONDITIONAL_REPRODUCTION,No official executable artifact was verified.
DaCapo,DaCapo: Automatic Bootstrapping Management for Efficient Fully Homomorphic Encryption,Seonyoung Cheon; Yongwoo Lee; Dongkwan Kim; Ju Min Lee; Sunchul Jung; Taekyung Kim; Dongyoon Lee; Hanjun Kim,USENIX Security,2024,published,true,https://www.usenix.org/conference/usenixsecurity24/presentation/cheon,https://github.com/corelab-src/dacapo,main@4616402710f39df3e5f5bd7930a6c036025aaac3,MIT,CKKS,SEAL; HEaaN CPU/GPU,Earth/MLIR; Python models,automatic bootstrap placement integrated with scale planning,bootstrap placement candidates and scale schedules,joint with placement,central contribution,packed DNN examples,runtime-specific secure parameters,classification accuracy and numerical error,ResNet; AlexNet; VGG16; SqueezeNet; MobileNet,OFFICIAL_REPOSITORY_PINNED,bootstrap-placement baseline,REQUIRED_REPRODUCTION,"The four frozen workloads require no bootstrap, so performance comparison is NOT_APPLICABLE_NO_BOOTSTRAP."
HALO,HALO: Loop-aware Bootstrapping Management for Fully Homomorphic Encryption,Seonyoung Cheon; Yongwoo Lee; Hoyun Youm; Dongkwan Kim; Sungwoo Yun; Kunmo Jeong; Dongyoon Lee; Hanjun Kim,ACM ASPLOS,2025,published,true,https://doi.org/10.1145/3669940.3707275,https://github.com/corelab-src/hecate-compiler,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,CKKS,current HECATE stack,loop-aware MLIR,bootstrap placement across flat and nested loops,loop-aware placement plans,integrated,central contribution,program dependent,runtime parameters,execution correctness and latency,loop-heavy FHE programs,IMPLEMENTATION_IN_POST_PUBLICATION_REPOSITORY_NO_PAPER_TAG,recent bootstrap-management landscape,CONDITIONAL_REPRODUCTION,Current frozen workloads have no bootstrap and no paper-tagged artifact revision was verified.
ReSBM,ReSBM: Region-based Scale and Minimal-Level Bootstrapping Management for FHE via Min-Cut,Yan Liu; Jianxin Lai; Long Li; Tianxiang Sui; Linjie Xiao; Peng Yuan; Xiaojing Zhang; Qing Zhu; Wenguang Chen; Jingling Xue,ACM ASPLOS,2025,published,true,https://doi.org/10.1145/3669940.3707276,https://github.com/ant-research/ace-compiler,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,NO_LICENSE_DECLARED_IN_REPOSITORY,RNS-CKKS,ANT-ACE,ONNX / compiler IR,region-based scale and minimum-level bootstrap management,min-cut region and bootstrap plan,joint,central contribution,packed DNN layouts,ACE runtime parameters,model accuracy and runtime,deep CNN inference,SOURCE_INTEGRATED_AFTER_CGO_ARTIFACT,recent bootstrap/scale co-management,CONDITIONAL_REPRODUCTION,No bootstrap is needed by the frozen workloads; license and high-resource constraints are recorded.
Orbit,Orbit: Optimizing Rescale and Bootstrap Placement with Integer Linear Programming Techniques for Secure Inference,Zikai Zhou; William Seo; Edward Chen; Alex Ozdemir; Fraser Brown; Wenting Zheng,USENIX Security,2026,published,true,https://www.usenix.org/conference/usenixsecurity26/presentation/zhou,NR,NR,NR,CKKS,paper-defined runtime,inference graphs,joint ILP rescale and bootstrap placement,integer-program placement and rescaling,joint,central contribution,reported inference layouts,secure inference parameters,reported correctness and performance,secure inference graphs,NO_PUBLIC_EXECUTABLE_ARTIFACT_VERIFIED,latest joint placement landscape,CONDITIONAL_REPRODUCTION,No official executable artifact was verified and current workloads require no bootstrap.
AutoFHE,AutoFHE: Automated Adaption of CNNs for Efficient Evaluation over FHE,Wei Ao; Vishnu Naresh Boddeti,USENIX Security,2024,published,true,https://www.usenix.org/conference/usenixsecurity24/presentation/ao,https://github.com/human-analysis/AutoFHE,main@a43af0453e5237e2ff4a5630a10ece1a062b9d88,MIT,RNS-CKKS,OpenFHE-derived CNN implementation,PyTorch CNN search space,activation degree; bootstrap placement; accuracy-latency trade-off,multi-objective neural architecture and polynomial search,model-specific,jointly optimized,CNN packed inference,paper targets 128-bit parameters,top-1 accuracy and latency,ResNet/VGG on CIFAR-10/100,OFFICIAL_ARTIFACT_PINNED,application/model adaptation; different optimization object,CONDITIONAL_REPRODUCTION,It changes the network/activation search space and is not an exact frozen-model configuration provider.
Orion,Orion: A Fully Homomorphic Encryption Framework for Deep Learning,Austin Ebel; Karthik Garimella; Brandon Reagen,ACM ASPLOS,2025,published,true,https://doi.org/10.1145/3676641.3716008,https://github.com/baahl-nyu/orion,main@be8a827350a147d610fe3bb998b5bea8de814ff8,MIT,CKKS,Lattigo,PyTorch,packed neural-network compilation; rotations; bootstrapping,graph compilation and runtime parameters,compiler/runtime managed,supported,packed deep-learning tensors,Lattigo parameter literals,model accuracy and numerical behavior,LoLa; MLP; LeNet; AlexNet-family examples,OFFICIAL_ARTIFACT_PINNED,standard DNN compiler and base for FHE-Agent,REQUIRED_REPRODUCTION,Public configurations failed exact graph/security import in the existing fail-closed adapter audit.
