provider,workload,plans_generated,plans_executed,tuning_wall_clock,comparison_scope
CHET,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
EVA,seed0 development linear_poly3 native replay,1,1,NOT_SEPARATELY_RECORDED,NATIVE_ONLY
HECO,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
HEIR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
ANT-ACE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
HEaaN.MLIR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
HECATE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
ELASM,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
HEILP,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
DaCapo,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
HALO,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
ReSBM,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
Orbit,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
AutoFHE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
Orion,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
LOHEN,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
SLOTHE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
Application-Aware Approximate HE,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
FHE-Agent,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
FHECrafter,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
