mode,waterline,compile_status,compile_exit_status,compile_wall_seconds,execution_status,execution_exit_status,execution_wrapper_wall_seconds,reported_hevm_seconds,reported_rms_error,encrypted_end_to_end,actual_output_available,decision_output_available,evidence_level,failure_reason
eva,15,PASS,0,0.058888420,FAIL,1,0.030955565,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,16,PASS,0,0.025740044,FAIL,1,0.032058285,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,17,PASS,0,0.024616180,FAIL,1,0.037762076,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,18,PASS,0,0.022108867,FAIL,1,0.045201828,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,19,PASS,0,0.020765052,FAIL,1,0.042971012,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,20,PASS,0,0.025790113,FAIL,1,0.030588447,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,21,PASS,0,0.021014873,FAIL,1,0.030401612,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,22,PASS,0,0.019885403,FAIL,1,0.026467264,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,23,PASS,0,0.018150047,FAIL,1,0.033937967,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,24,PASS,0,0.020717715,FAIL,1,0.027527854,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,25,PASS,0,0.023869420,FAIL,1,0.029804937,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,26,PASS,0,0.028286357,FAIL,1,0.029903842,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,27,PASS,0,0.018943677,FAIL,1,0.027660933,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,28,PASS,0,0.028947839,FAIL,1,0.030569070,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,29,PASS,0,0.024062100,FAIL,1,0.029396440,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,30,PASS,0,0.023783437,FAIL,1,0.033868942,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,31,PASS,0,0.019735964,FAIL,1,0.032311055,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,32,PASS,0,0.022417825,FAIL,1,0.032546982,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,33,PASS,0,0.020889991,FAIL,1,0.028789922,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,34,PASS,0,0.020136675,FAIL,1,0.033847172,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,35,PASS,0,0.023302816,FAIL,1,0.026792344,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,36,PASS,0,0.019311387,FAIL,1,0.027501505,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,37,PASS,0,0.022903687,FAIL,1,0.032651649,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,38,PASS,0,0.020007603,FAIL,1,0.037512860,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,39,PASS,0,0.023414065,FAIL,1,0.032820485,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,40,PASS,0,0.022091152,FAIL,1,0.033118224,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,41,PASS,0,0.023637624,FAIL,1,0.031503464,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,42,PASS,0,0.025463681,FAIL,1,0.036028520,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,43,PASS,0,0.019222109,FAIL,1,0.028912417,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,44,PASS,0,0.019328659,FAIL,1,0.027224535,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,45,PASS,0,0.019439897,FAIL,1,0.030827485,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,46,PASS,0,0.024436363,FAIL,1,0.035722431,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,47,PASS,0,0.023540783,FAIL,1,0.030996042,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,48,PASS,0,0.021759430,FAIL,1,0.026476632,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,49,PASS,0,0.022762161,FAIL,1,0.034567884,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
eva,50,PASS,0,0.027421443,FAIL,1,0.029392104,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
elasm,15,PASS,0,46.645214628,FAIL,1,0.028007684,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
elasm,16,PASS,0,47.761870912,FAIL,1,0.025906782,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
elasm,17,PASS,0,46.135956762,FAIL,1,0.038281793,,,false,false,false,2,OFFICIAL_HEVM_EXECUTION_FAILED
