system,provider_queue_id,license,artifact_revision,source_status,official_repository,official_paper
EVA,eva,MIT,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,OFFICIAL_ARTIFACT_PINNED,https://github.com/microsoft/EVA,https://doi.org/10.1145/3385412.3386023
ELASM,corelab,Apache-2.0,main@3c37c11b29ca480525bb6681e0254bdf90029425,OFFICIAL_REPOSITORY_PINNED,https://github.com/corelab-src/elasm,https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo
HECATE,corelab,MIT,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,POST_PUBLICATION_SNAPSHOT_PINNED,https://github.com/corelab-src/hecate-compiler,https://doi.org/10.1109/CGO53902.2022.9741265
HEIR,heir,Apache-2.0 with MIT components,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,OFFICIAL_RELEASE_PINNED,https://github.com/google/heir,https://arxiv.org/abs/2508.11095
HECO,heco,Apache-2.0,artifact@cf396f05029930b6476c10266853b2099e23bd32,OFFICIAL_ARTIFACT_PINNED,https://github.com/MarbleHE/HECO,https://www.usenix.org/conference/usenixsecurity23/presentation/viand
Orion,orion,MIT,main@be8a827350a147d610fe3bb998b5bea8de814ff8,OFFICIAL_ARTIFACT_PINNED,https://github.com/baahl-nyu/orion,https://doi.org/10.1145/3676641.3716008
ANT-ACE,ant-ace,NO_LICENSE_DECLARED_IN_PINNED_REPOSITORY,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,OFFICIAL_ARTIFACT_PINNED_HIGH_RESOURCE,https://github.com/ant-research/ace-compiler,https://doi.org/10.1145/3696443.3708924
AutoFHE,autofhe,MIT,main@a43af0453e5237e2ff4a5630a10ece1a062b9d88,OFFICIAL_ARTIFACT_PINNED,https://github.com/human-analysis/AutoFHE,https://www.usenix.org/conference/usenixsecurity24/presentation/ao
DaCapo,dacapo,MIT,main@4616402710f39df3e5f5bd7930a6c036025aaac3,OFFICIAL_REPOSITORY_PINNED,https://github.com/corelab-src/dacapo,https://www.usenix.org/conference/usenixsecurity24/presentation/cheon
LOHEN,lohen,NR,NR,NO_OFFICIAL_SOURCE_ARTIFACT_VERIFIED,NR,https://www.usenix.org/conference/usenixsecurity25/presentation/nam-lohen
SLOTHE,slothe,NO_LICENSE_DECLARED_IN_REPOSITORY,master@33ccff3519c9df1dc255420e8a1bfe4da501b1f0,OFFICIAL_REPOSITORY_AND_ZENODO_VERIFIED,https://github.com/SNUSOR-PECT/SLOTHE,https://www.usenix.org/conference/usenixsecurity25/presentation/nam-slothe
HEaaN.MLIR,heaan-mlir,NR,NR,NO_OFFICIAL_EXECUTABLE_REPOSITORY_VERIFIED,NR,https://doi.org/10.1145/3591228
HEILP,heilp,NR,NR,NO_OFFICIAL_ARTIFACT_VERIFIED,NR,https://doi.org/10.23919/DATE64628.2025.10992881
HALO,halo,MIT,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,IMPLEMENTATION_IN_POST_PUBLICATION_REPOSITORY_NO_PAPER_TAG,https://github.com/corelab-src/hecate-compiler,https://doi.org/10.1145/3669940.3707275
ReSBM,resbm,NO_LICENSE_DECLARED_IN_REPOSITORY,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,SOURCE_INTEGRATED_AFTER_CGO_ARTIFACT,https://github.com/ant-research/ace-compiler,https://doi.org/10.1145/3669940.3707276
Orbit,orbit,NR,NR,NO_PUBLIC_EXECUTABLE_ARTIFACT_VERIFIED,NR,https://www.usenix.org/conference/usenixsecurity26/presentation/zhou
FHE-Agent,fhe-agent,NR,NR,NO_OFFICIAL_EXECUTABLE_REPOSITORY_VERIFIED,NR,https://arxiv.org/abs/2511.18653
FHECrafter,fhecrafter,NR,NR,OFFICIAL_DOI_METADATA_ONLY_NO_EXECUTABLE_ARTIFACT,NR,https://doi.org/10.1145/3774895.3812197
