provider,workload,arm,rms_error,max_absolute_error,validation_flips,audit_flips,gate_state
EVA,eva_official_baboon_sobel_harris_v1,sobel,0.01873284330470833,1.0122693565636922,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
EVA,eva_official_baboon_sobel_harris_v1,harris,0.0004347880411557362,0.004825155085011801,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
EVA,shared_polynomial_v1,eva_native_scale20_N14_QP240_403b0d9e5ee9,NOT_REPORTED,2.8716273019732945,21,NOT_APPLICABLE,REJECTED
EVA,shared_polynomial_v1,eva_native_scale30_N14_QP240_ef28317b2a3d,NOT_REPORTED,0.0016700491510947546,0,0,SAFE_AUDIT_PASS
EVA,shared_polynomial_v1,eva_native_scale40_N14_QP320_eeed1dcd1ccb,NOT_REPORTED,3.999614639482729e-09,0,NOT_APPLICABLE,SAFE
CoreLab,official_LinearRegression,eva_waterline_15,0.7693506868927265,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_16,0.029143887817593046,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_17,0.0010310392937862723,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_18,3.535474026056141e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_19,1.3395360369319338e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_20,0.022962372181885057,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_21,0.0025676505905899163,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_22,0.00019324472242907126,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_23,8.592888041598727e-06,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_24,0.00032684735594687084,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_25,5.112768348713136e-06,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_26,1.0319264137005249e-07,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_27,3.787817250051071e-08,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_28,2.253429670670303e-08,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_29,9.94507549386984e-09,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_30,4.338293989081133e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_31,8.416480717529794e-06,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_32,8.525905520629536e-07,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_33,1.0389274685270401e-07,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_34,1.1833862054721775e-08,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_35,5.063706513517867e-09,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_36,3.271554303427725e-07,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_37,1.0170822970077705e-08,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_38,1.221689824240066e-10,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_39,4.063115861326322e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_40,4.232093315334881e-08,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_41,6.086634278734517e-10,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_42,4.3525600777358436e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_43,3.178672105402182e-10,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_44,5.6566315860184276e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_45,5.582765322852138e-10,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_46,5.58726761371601e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_47,3.871582289330818e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_48,5.969395318674042e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_49,5.652415567937948e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,eva_waterline_50,5.652799294510366e-11,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_15,0.0003445201731458269,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_16,0.002801007602679013,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_17,0.00013798754595476832,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_18,0.00045153264783785556,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_19,1.3965713973474082e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_20,3.4906187285081053e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_21,0.001139987349791584,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_22,1.588804617393826e-06,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
CoreLab,official_LinearRegression,elasm_waterline_23,8.751721285027433e-07,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
