schema_version,provider_id,provider_commit,runtime,workload_id,evidence_level,model_digest,graph_digest,input_id,input_digest,split_role,context_or_key_id,pass_index,plaintext_output,decrypted_output,plaintext_decision,encrypted_decision,decision_margin_or_top_two_gap,numerical_error,decision_flip,provider_prediction,execution_status,gate_status,security_status,compile_time_ms,tuning_time_ms,keygen_time_ms,encryption_time_ms,evaluation_time_ms,decryption_time_ms,total_time_ms,raw_output_digest,candidate_id,threshold,error_violation
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_15,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.22088738477890688,""w_slot0"":1.7212001935520655}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.7693506868927265,NOT_EVALUATED,"{""c_slot0"":0.22088738477890688,""w_slot0"":1.7212001935520655}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,43.265594,NOT_SEPARATELY_RECORDED,14696.399402,60.433419,640.202653,83.330333,15598.247172,sha256:a9109223f61caf88d45ef7a1bba36ac1bd73f393a50c1ec1115f2f9dc30f0d3a,eva_15,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_16,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.03650411065315237,""w_slot0"":1.2341040661884708}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.029143887817593046,NOT_EVALUATED,"{""c_slot0"":0.03650411065315237,""w_slot0"":1.2341040661884708}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,60.598129,NOT_SEPARATELY_RECORDED,13584.022412,58.802148,646.995368,84.685673,14491.791029,sha256:b661a9d0eb9bbf027e4f10441fcff9c4dcc33b81e01fbf673c777eb70bbdf630,eva_16,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_17,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.039638352305344876,""w_slot0"":1.0136948949236495}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.0010310392937862723,NOT_EVALUATED,"{""c_slot0"":0.039638352305344876,""w_slot0"":1.0136948949236495}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,21.219061,NOT_SEPARATELY_RECORDED,13595.079962,55.58989,681.091884,86.264329,14539.284026,sha256:7fcc8a9652595284eb4b482b0fd72ede672eb970e1b3d517ae3c710217d10400,eva_17,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_18,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.03969707348067259,""w_slot0"":1.0128191487951692}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,3.535474026056141e-05,NOT_EVALUATED,"{""c_slot0"":0.03969707348067259,""w_slot0"":1.0128191487951692}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,19.860481999999998,NOT_SEPARATELY_RECORDED,12997.76339,54.556142,796.943346,80.571637,14036.541292,sha256:d18fdfa68203275c243d0f47b4aa5959a61c74f7c0f67bd92e35dcef510b686e,eva_18,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_19,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.03972347207556569,""w_slot0"":1.0132330990263354}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,1.3395360369319338e-05,NOT_EVALUATED,"{""c_slot0"":0.03972347207556569,""w_slot0"":1.0132330990263354}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,24.656485999999997,NOT_SEPARATELY_RECORDED,13794.140309,54.432398,686.440384,80.037796,14720.822424,sha256:069dbf1660149873372d9907454982ec9cadd62e7f193d484c5f9f0af12767f8,eva_19,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_20,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.22403463900960252,""w_slot0"":1.0118976780577658}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.022962372181885057,NOT_EVALUATED,"{""c_slot0"":0.22403463900960252,""w_slot0"":1.0118976780577658}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,75.874898,NOT_SEPARATELY_RECORDED,13795.538942,56.119816,617.229655,78.522758,14657.401891,sha256:4d5d58361feebbfb5fb9d1330d6e52c5eae0d390142ef8341b212d976d029ca2,eva_20,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_21,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.02064692565953484,""w_slot0"":1.0133256894171563}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.0025676505905899163,NOT_EVALUATED,"{""c_slot0"":0.02064692565953484,""w_slot0"":1.0133256894171563}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,34.370775,NOT_SEPARATELY_RECORDED,13325.087992,56.25307,595.633979,78.494184,14160.48617,sha256:f3cfcfdb89474d12d0134d53fc5e272111867e94a9684f9c87d93a954a66ce5e,eva_21,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_22,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.040464880188136675,""w_slot0"":1.013241820400237}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.00019324472242907126,NOT_EVALUATED,"{""c_slot0"":0.040464880188136675,""w_slot0"":1.013241820400237}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,24.2058,NOT_SEPARATELY_RECORDED,14373.191539,53.80181,601.707124,78.55886,15248.300339,sha256:613d10d408482e99f3ca0538b953f35f7b1c961415e3f22370b9bbf272c39235,eva_22,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_23,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.039704783357736875,""w_slot0"":1.013241334405113}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,8.592888041598727e-06,NOT_EVALUATED,"{""c_slot0"":0.039704783357736875,""w_slot0"":1.013241334405113}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,22.96478,NOT_SEPARATELY_RECORDED,13715.105306,53.726545,608.058372,80.728416,14557.573891,sha256:61fd0888cbfda2fbee22d90bcd7387d542a9290c6d71d6d41b88539242d343c4,eva_23,NOT_EVALUATED,NOT_EVALUATED
flipguard_provider_execution_record_v7,CoreLab EVA mode,3c37c11b29ca480525bb6681e0254bdf90029425,SEAL_HEVM,official_LinearRegression,3,NOT_APPLICABLE,sha256:f2339e82fe63bc30fd35b63242df88fe59ce19e3b2d0e5c3d86b14cb968c8292,official_linear_regression_seed_20260805,sha256:d66bf444fdaac8d46cd4225cc3315782db888ee0bec2255daa27c38b18d8255f,official_native_example,eva_24,NOT_SEPARATELY_RECORDED,"{""c"":0.03971323720258508,""w"":1.0132411334935296}","{""c_slot0"":0.03971112137861062,""w_slot0"":1.0133508302146328}",NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.00032684735594687084,NOT_EVALUATED,"{""c_slot0"":0.03971112137861062,""w_slot0"":1.0133508302146328}",PASS,NOT_EVALUATED,SECURITY_NOT_EVALUATED,29.961956,NOT_SEPARATELY_RECORDED,13533.420171,53.945059,591.626839,1922.614986,16208.777574,sha256:eb327e3ebb4b41ef47d7633f3187954bcecd32ca4e1e6d70420fc4f595549772,eva_24,NOT_EVALUATED,NOT_EVALUATED
