provider,workload,arm,portability_state,portable_exact,graph_equivalent_common_executor,headline_latency_eligible
EVA,eva_official_baboon_sobel_harris_v1,sobel,NATIVE_ONLY,False,False,False
EVA,eva_official_baboon_sobel_harris_v1,harris,NATIVE_ONLY,False,False,False
EVA,shared_polynomial_v1,eva_native_scale20_N14_QP240_403b0d9e5ee9,NATIVE_ONLY,False,False,False
EVA,shared_polynomial_v1,eva_native_scale30_N14_QP240_ef28317b2a3d,NATIVE_ONLY,False,False,False
EVA,shared_polynomial_v1,eva_native_scale40_N14_QP320_eeed1dcd1ccb,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_15,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_16,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_17,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_18,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_19,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_20,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_21,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_22,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_23,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_24,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_25,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_26,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_27,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_28,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_29,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_30,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_31,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_32,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_33,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_34,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_35,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_36,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_37,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_38,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_39,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_40,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_41,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_42,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_43,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_44,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_45,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_46,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_47,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_48,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_49,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,eva_waterline_50,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_15,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_16,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_17,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_18,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_19,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_20,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_21,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_22,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_23,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_24,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_25,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_26,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_27,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_28,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_29,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_30,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_31,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_32,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_33,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_34,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_35,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_36,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_37,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_38,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_39,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_40,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_41,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_42,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_43,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_44,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_45,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_46,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_47,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_48,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_49,NATIVE_ONLY,False,False,False
CoreLab,official_LinearRegression,elasm_waterline_50,NATIVE_ONLY,False,False,False
HEIR,official_dot_product_8f,OpenFHE,NATIVE_ONLY,False,False,False
HEIR,official_dot_product_8f,Lattigo,NATIVE_ONLY,False,False,False
HEIR,official_dot_product_8f,OpenFHE_output_capture_v1,NATIVE_ONLY,False,False,False
HECO,official_benchmark,official_bfv_pipeline,NOT_PORTABLE_DIFFERENT_SCHEME,False,False,False
