amendment,provider_or_scope,classification,semantic_change,policy_change,encrypted_rerun_count,source_path,payload_sha256,attempt,start_timestamp,end_timestamp,return_code
orchestration_amendment_001,eva,RECOVERABLE_IMPLEMENTATION_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_001.json,sha256:56aec506e0954083db6714228b5687ecea5b60c6194c13998095ea90c31369f6,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_002,corelab,RECOVERABLE_IMPLEMENTATION_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_002.json,sha256:339162ae19864288c7fbe01dad1fc902fe29539c964ee7c6c8b37d32e99759dd,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_003,HEIR,RECOVERABLE_OUTPUT_NORMALIZATION_FAILURE,False,False,0,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_003.json,sha256:c52a0d891758e78847a6c2489dc9e35264d667494f6c538649aa98e019617f96,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_004,HECO,RECOVERABLE_OUTPUT_NORMALIZATION_FAILURE,False,False,0,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_004.json,sha256:487ad319b5a1d0799030b16e0a27c583c9effba7998226dc045ed39776403f6f,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_005,Orion,RECOVERABLE_ENVIRONMENT_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_005.json,sha256:1738b25950c38ae16dde17294c034b9454ebe7f2937deb54adac45ea4228c779,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_006,V7 runtime output root and terminal-state providers,RECOVERABLE_RUNTIME_OWNERSHIP_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_006.json,sha256:27ea597d6a59eae83d6fe1ad9f6cb4b7edc0861773cda219694c88f264b6fc7e,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_007,CoreLab-ELASM,HARD_RESOURCE_RECOVERY_WITH_PREFIX_RESUME,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_007.json,sha256:befe5612fa33265035b0f016a60e8810605a8ca46bb7623291e8b2f3e8e74e28,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_008,HEIR,SUPPLEMENTARY_RAW_OUTPUT_CAPTURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_008.json,sha256:59684460b0e8da3d9ec969cdf7fe8497ff12e55196994ec0812c0c26f6bb4649,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_009,V7 finalization lifecycle,DEADLINE_FINALIZATION_INTEGRITY_FIX,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_009.json,sha256:42c7baddcd202bf89d22a2f62b6a4b1293f343fb7fea264ea4872fd6189e9f6d,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_010,V7 queue-exhausted QA wait,INTERRUPTIBLE_SERVICE_CONTROL_FIX,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_010.json,sha256:0186ed92e3aca6ec49f7fd9f676a970932ea18f4571bb62f84678d02e251ef6f,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
