provider,workload,arm,scheme,log_n,n,q_prime_bits,p_prime_bits,q_primes_exact,p_primes_exact,log_q,log_p,log_qp,scale_bits,secret_distribution,error_distribution,ciphertext_q_admission,evaluation_key_qp_admission,final_admission,security_state,headline_eligible,reason
EVA,eva_official_baboon_sobel_harris_v1,sobel,CKKS,14,16384,"[60,60,60,60,60]",NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED,False,Runtime distribution equivalence was not established
EVA,eva_official_baboon_sobel_harris_v1,harris,CKKS,14,16384,"[60,60,60,60,60]",NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED,False,Runtime distribution equivalence was not established
EVA,shared_polynomial_v1,eva_native_scale20_N14_QP240_403b0d9e5ee9,CKKS,14,16384,"[60,60,60]",[60],EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,180,60,240,20,uniform_ternary_-1_0_1,centered_binomial_stddev_3.2,PASS,PASS,PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,False,Runtime distribution equivalence was not established
EVA,shared_polynomial_v1,eva_native_scale30_N14_QP240_ef28317b2a3d,CKKS,14,16384,"[60,60,60]",[60],EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,180,60,240,30,uniform_ternary_-1_0_1,centered_binomial_stddev_3.2,PASS,PASS,PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,False,Runtime distribution equivalence was not established
EVA,shared_polynomial_v1,eva_native_scale40_N14_QP320_eeed1dcd1ccb,CKKS,14,16384,"[60,20,60,60,60]",[60],EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,260,60,320,40,uniform_ternary_-1_0_1,centered_binomial_stddev_3.2,PASS,PASS,PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_15,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_16,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_17,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_18,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_19,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_20,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_21,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_22,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_23,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_24,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_25,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_26,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
CoreLab,official_LinearRegression,eva_waterline_27,CKKS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,EXACT_VALUES_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,False,Runtime distribution equivalence was not established
