provider,phase,workload,unique_inputs,validation_inputs,audit_inputs,validation_audit_overlap,plans_or_arms,candidate_trials,encrypted_candidate_executions,fresh_contexts_or_keysets,key_runs,measurement_passes,warmup_encrypted_sample_evaluations,recorded_encrypted_sample_evaluations,total_encrypted_sample_evaluations,raw_output_rows,decision_bearing_rows,execution_state
Microsoft EVA,native_validation_and_locked_audit,shared_polynomial_threshold_v8,1000,500,500,0,5,5,5,15,15,1,0,7500,7500,7500,7500,PASS
Google HEIR,native_and_translated_validation_and_locked_audit,shared_polynomial_threshold_v8,1000,500,500,0,4,4,4,12,12,1,0,6000,6000,6000,6000,PASS
CoreLab EVA/ELASM,native_numerical_plan_grid,official_LinearRegression_multi_input_v8,200,200,NOT_APPLICABLE_NUMERICAL_ONLY,NOT_APPLICABLE,72,72,70,72,70,1,0,14000,14000,14000,0,PARTIAL_SCIENTIFIC_RESULT
FlipGuard direct,direct_synthesis_trials,shared_polynomial_threshold_v8,500,500,0,0,2,2,2,6,6,1,0,3000,3000,SUMMARY_ONLY_NO_PER_SAMPLE_LEDGER,3000,PASS
FlipGuard direct,provider_literal_validation,shared_polynomial_threshold_v8,500,500,0,0,1,1,1,3,3,1,0,1500,1500,SUMMARY_ONLY_NO_PER_SAMPLE_LEDGER,1500,PASS
FlipGuard direct,locked_audit,shared_polynomial_threshold_v8,500,0,500,0,1,1,1,3,3,1,0,1500,1500,SUMMARY_ONLY_NO_PER_SAMPLE_LEDGER,1500,PASS
Security-V2 bounded catalog,catalog_validation,shared_polynomial_threshold_v8,500,500,0,0,7,7,2,6,6,1,0,3000,3000,SUMMARY_ONLY_NO_PER_SAMPLE_LEDGER,3000,PARTIAL_PLAN_SUPPORT_2_OF_7
Security-V2 bounded catalog,fastest_safe_locked_audit,shared_polynomial_threshold_v8,500,0,500,0,1,1,1,3,3,1,0,1500,1500,SUMMARY_ONLY_NO_PER_SAMPLE_LEDGER,1500,PASS
Common Lattigo harness,paired_latency,shared_polynomial_threshold_v8,100,0,100,0,3,3,3,9,9,6,900,5400,6300,5400,5400,BLOCKED_DIAGNOSTIC_UNSAFE_ARM
Orion,official_untrained_self_test_preflight,official_Orion_MLP_seed42,10,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,1,NOT_APPLICABLE,1,1,1,1,0,10,10,10,10,OFFICIAL_SELF_TEST_ONLY_FULL_EXTENSION_BLOCKED
HECATE,official_mode_feasibility,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,HECATE_PAPER_BASELINE_ONLY
