provider_mode,plan_id,waterline,status,unique_inputs,raw_output_rows,reason_code
CoreLab ELASM,elasm_15,15,PASS,200,200,NONE
CoreLab ELASM,elasm_16,16,PASS,200,200,NONE
CoreLab ELASM,elasm_17,17,PASS,200,200,NONE
CoreLab ELASM,elasm_18,18,PASS,200,200,NONE
CoreLab ELASM,elasm_19,19,PASS,200,200,NONE
CoreLab ELASM,elasm_20,20,PASS,200,200,NONE
CoreLab ELASM,elasm_21,21,PASS,200,200,NONE
CoreLab ELASM,elasm_22,22,PASS,200,200,NONE
CoreLab ELASM,elasm_23,23,PASS,200,200,NONE
CoreLab ELASM,elasm_24,24,PASS,200,200,NONE
CoreLab ELASM,elasm_25,25,PASS,200,200,NONE
CoreLab ELASM,elasm_26,26,PASS,200,200,NONE
CoreLab ELASM,elasm_27,27,PASS,200,200,NONE
CoreLab ELASM,elasm_28,28,PASS,200,200,NONE
CoreLab ELASM,elasm_29,29,PASS,200,200,NONE
CoreLab ELASM,elasm_30,30,PASS,200,200,NONE
CoreLab ELASM,elasm_31,31,PASS,200,200,NONE
CoreLab ELASM,elasm_32,32,PASS,200,200,NONE
CoreLab ELASM,elasm_33,33,PASS,200,200,NONE
CoreLab ELASM,elasm_34,34,PASS,200,200,NONE
CoreLab ELASM,elasm_35,35,PASS,200,200,NONE
CoreLab ELASM,elasm_36,36,EXECUTION_FAILED,0,0,NATIVE_PLAN_EXECUTION_ABORT
CoreLab ELASM,elasm_37,37,PASS,200,200,NONE
CoreLab ELASM,elasm_38,38,PASS,200,200,NONE
CoreLab ELASM,elasm_39,39,PASS,200,200,NONE
CoreLab ELASM,elasm_40,40,PASS,200,200,NONE
CoreLab ELASM,elasm_41,41,EXECUTION_FAILED,0,0,NATIVE_PLAN_EXECUTION_ABORT
CoreLab ELASM,elasm_42,42,PASS,200,200,NONE
CoreLab ELASM,elasm_43,43,PASS,200,200,NONE
CoreLab ELASM,elasm_44,44,PASS,200,200,NONE
CoreLab ELASM,elasm_45,45,PASS,200,200,NONE
CoreLab ELASM,elasm_46,46,PASS,200,200,NONE
CoreLab ELASM,elasm_47,47,PASS,200,200,NONE
CoreLab ELASM,elasm_48,48,PASS,200,200,NONE
CoreLab ELASM,elasm_49,49,PASS,200,200,NONE
CoreLab ELASM,elasm_50,50,PASS,200,200,NONE
CoreLab EVA,eva_15,15,PASS,200,200,NONE
CoreLab EVA,eva_16,16,PASS,200,200,NONE
CoreLab EVA,eva_17,17,PASS,200,200,NONE
CoreLab EVA,eva_18,18,PASS,200,200,NONE
CoreLab EVA,eva_19,19,PASS,200,200,NONE
CoreLab EVA,eva_20,20,PASS,200,200,NONE
CoreLab EVA,eva_21,21,PASS,200,200,NONE
CoreLab EVA,eva_22,22,PASS,200,200,NONE
CoreLab EVA,eva_23,23,PASS,200,200,NONE
CoreLab EVA,eva_24,24,PASS,200,200,NONE
CoreLab EVA,eva_25,25,PASS,200,200,NONE
CoreLab EVA,eva_26,26,PASS,200,200,NONE
CoreLab EVA,eva_27,27,PASS,200,200,NONE
CoreLab EVA,eva_28,28,PASS,200,200,NONE
CoreLab EVA,eva_29,29,PASS,200,200,NONE
CoreLab EVA,eva_30,30,PASS,200,200,NONE
CoreLab EVA,eva_31,31,PASS,200,200,NONE
CoreLab EVA,eva_32,32,PASS,200,200,NONE
CoreLab EVA,eva_33,33,PASS,200,200,NONE
CoreLab EVA,eva_34,34,PASS,200,200,NONE
CoreLab EVA,eva_35,35,PASS,200,200,NONE
CoreLab EVA,eva_36,36,PASS,200,200,NONE
CoreLab EVA,eva_37,37,PASS,200,200,NONE
CoreLab EVA,eva_38,38,PASS,200,200,NONE
CoreLab EVA,eva_39,39,PASS,200,200,NONE
CoreLab EVA,eva_40,40,PASS,200,200,NONE
CoreLab EVA,eva_41,41,PASS,200,200,NONE
CoreLab EVA,eva_42,42,PASS,200,200,NONE
CoreLab EVA,eva_43,43,PASS,200,200,NONE
CoreLab EVA,eva_44,44,PASS,200,200,NONE
CoreLab EVA,eva_45,45,PASS,200,200,NONE
CoreLab EVA,eva_46,46,PASS,200,200,NONE
CoreLab EVA,eva_47,47,PASS,200,200,NONE
CoreLab EVA,eva_48,48,PASS,200,200,NONE
CoreLab EVA,eva_49,49,PASS,200,200,NONE
CoreLab EVA,eva_50,50,PASS,200,200,NONE
HECATE,NOT_EXECUTED,NOT_EVALUATED,HECATE_PAPER_BASELINE_ONLY,NOT_EVALUATED,0,OFFICIAL_STANDALONE_HECATE_MODE_NOT_EXPOSED
