split_seed,dataset_id,model_id,alpha,catalog_outcome,catalog_candidate_count,catalog_safe_count,catalog_rejected_count,catalog_failed_count,v_cert,v_amb,coverage_rate,catalog_oracle_candidate,catalog_oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,latency_only_candidate,latency_only_status,latency_only_mean_total_ms,direct_outcome,direct_candidate,direct_contract_digest,direct_log_n,direct_q_prime_count,direct_log_default_scale,direct_trials,direct_key_runs,direct_mean_total_ms,diagnostic_speedup_vs_catalog,diagnostic_bounded_regret,latency_evidence
0,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,147.2558752,default__rescale_aware,147.2558752,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_940085e2ae5c,sha256:940085e2ae5c5994c565735627ae95788a8cb4ae26447924fd5ac7258879a730,13,7,24,2,6,77.4181902878,1.90208366603,-0.474260771038,UNPAIRED_DIAGNOSTIC
0,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.06848859,default__rescale_aware,279.9944667024,short_chain_3__rescale_aware,REJECTED,100.0947065317,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_3d287ebd064d,sha256:3d287ebd064d474822d2334b3c3b3f431e682e263c1b707b37f514008a4318e9,13,6,20,1,3,116.377909262,1.80505466993,-0.446000159078,UNPAIRED_DIAGNOSTIC
0,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,264,6,0.9777777777777777,default__rescale_aware,240.537270907,default__rescale_aware,240.5372709074,short_chain_3__baseline_non_rescale,REJECTED,142.5038057889,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_c6ed1f915412,sha256:c6ed1f9154125699690ce900089a2b6fa630cd1c0cfe6b8e8ccd9b873892fcfb,13,7,24,2,6,121.479151557,1.98007038924,-0.494967448917,UNPAIRED_DIAGNOSTIC
0,digits_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,254,16,0.9407407407407408,short_chain_6_scale38__rescale_aware,290.137427144,default__rescale_aware,358.9257504259,short_chain_3__rescale_aware,REJECTED,138.2587538815,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_60e1d89bca4f,sha256:60e1d89bca4faaf6bc7f49131d4898b4f22620d9526f019c6116e8ecc143b117,13,6,20,1,3,156.07387062,1.85897502248,-0.462069157517,UNPAIRED_DIAGNOSTIC
0,iris_binary,linear_poly3,0.5,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,158.358347,default__rescale_aware,158.358347,short_chain_3__baseline_non_rescale,REJECTED,129.8929377143,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_6cfedb1337de,sha256:6cfedb1337de8c0fdfc7d08bb52b6247cde902ec04d839b96f280fed477d8113,13,7,20,1,3,74.8200645238,2.11652245969,-0.527526865863,UNPAIRED_DIAGNOSTIC
0,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.279040571,default__rescale_aware,268.098697,short_chain_3__rescale_aware,REJECTED,106.3323036429,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_eda7715b34f1,sha256:eda7715b34f125f9e2f889cd2b8436135b0d3b415a22d082a99f22deaa73e6ea,13,6,20,1,3,114.621557095,1.94796726052,-0.486644349591,UNPAIRED_DIAGNOSTIC
0,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,241,8,0.9678714859437751,default__rescale_aware,362.489577787,default__rescale_aware,362.4895777871,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_3278ebe978f2,sha256:3278ebe978f2bc0ae2fa6674e2857b0829044a0d0616a3d1e42fbd8905ab8599,13,7,24,2,6,187.799516456,1.93019441491,-0.48191747304,UNPAIRED_DIAGNOSTIC
0,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.198443807,default__rescale_aware,531.6359602972,short_chain_3__rescale_aware,REJECTED,218.0188712249,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_a9a3b0081a20,sha256:a9a3b0081a209a995d82e494bdb8154ef9f13cd78bd7f74f94c8fa2c124d7426,13,6,20,1,3,238.232541003,1.784804217,-0.439714456926,UNPAIRED_DIAGNOSTIC
0,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,221.1671256,default__rescale_aware,221.1671256,short_chain_3__baseline_non_rescale,REJECTED,139.9071384,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_d83530e1c9c4,sha256:d83530e1c9c41bce1e48d9608cfa9c1825f3e7bb8cf8fdfcca525772cbb41d7f,13,7,24,2,6,125.946865039,1.75603517826,-0.430535326181,UNPAIRED_DIAGNOSTIC
0,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.704138129,default__rescale_aware,335.7254278,short_chain_3__rescale_aware,REJECTED,133.7301593059,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_6d755fca5e14,sha256:6d755fca5e14dd3a4160412f12ed4908d74bd1c3b5d00a81fd39bce21d78b5c1,13,6,20,1,3,167.25923191,1.60651304601,-0.377533844197,UNPAIRED_DIAGNOSTIC
1,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,148.002136224,default__rescale_aware,148.0021362244,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_cabfebc33906,sha256:cabfebc33906e8a51ce7ec11730b152ab285a0999465881b3d7c0fc8f02ecbe2,13,7,24,2,6,91.7582069138,1.61295802525,-0.380021064191,UNPAIRED_DIAGNOSTIC
