split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms
0,banknote,linear_poly3,0.1,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,147.2558752,default__rescale_aware,147.2558752,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951
0,banknote,linear_poly3,0.25,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,147.2558752,default__rescale_aware,147.2558752,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951
0,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,147.2558752,default__rescale_aware,147.2558752,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951
0,banknote,linear_poly3,0.75,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,147.2558752,default__rescale_aware,147.2558752,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951
0,banknote,linear_poly3,0.9,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,147.2558752,default__rescale_aware,147.2558752,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951
0,banknote,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,default__rescale_aware,279.9944667024,1.3328722864694433,short_chain_3__rescale_aware,REJECTED,100.0947065317
0,banknote,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,default__rescale_aware,279.9944667024,1.3328722864694433,short_chain_3__rescale_aware,REJECTED,100.0947065317
0,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,default__rescale_aware,279.9944667024,1.3328722864694433,short_chain_3__rescale_aware,REJECTED,100.0947065317
0,banknote,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,default__rescale_aware,279.9944667024,1.3328722864694433,short_chain_3__rescale_aware,REJECTED,100.0947065317
0,banknote,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,default__rescale_aware,279.9944667024,1.3328722864694433,short_chain_3__rescale_aware,REJECTED,100.0947065317
