split_seed,dataset_id,model_id,alpha,protected_margin,decision_budget,sensitivity,unit_error_budget,multiplicative_depth,add_ops,mul_ops,rot_ops,rescale_ops,planned_chain_length,planned_scale_bits,planned_logN,estimated_log_qp,ideal_candidate_count,projected_candidate_count,projected_candidate_ids,planning_overhead_us,plan_reason
0,banknote,linear_poly3,0.1,0.004312115264,0.0004312115264,3,0.000143737175467,2,6,8,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,115.236,budget=0.000431212 sensitivity=3 unit_budget=0.000143737 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,banknote,linear_poly3,0.25,0.004312115264,0.001078028816,3,0.000359342938667,2,6,8,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,111.57,budget=0.00107803 sensitivity=3 unit_budget=0.000359343 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,banknote,linear_poly3,0.5,0.004312115264,0.002156057632,3,0.000718685877333,2,6,8,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,114.004,budget=0.00215606 sensitivity=3 unit_budget=0.000718686 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,banknote,linear_poly3,0.75,0.004312115264,0.003234086448,3,0.001078028816,2,6,8,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,117.23,budget=0.00323409 sensitivity=3 unit_budget=0.00107803 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,banknote,linear_poly3,0.9,0.004312115264,0.0038809037376,3,0.0012936345792,2,6,8,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,113.623,budget=0.0038809 sensitivity=3 unit_budget=0.00129363 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,banknote,mlp_square_linear_score,0.1,0.012219452992,0.0012219452992,6.05,0.00020197442962,1,21,25,0,1,3,30,14,210,7,8,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_3__baseline_non_rescale;short_chain_3__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,133.08,budget=0.00122195 sensitivity=6.05 unit_budget=0.000201974 depth=1 chain=3 scale=30 logN=14 logQP≈210
0,banknote,mlp_square_linear_score,0.25,0.012219452992,0.003054863248,6.05,0.00050493607405,1,21,25,0,1,3,30,14,210,7,8,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_3__baseline_non_rescale;short_chain_3__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,118.803,budget=0.00305486 sensitivity=6.05 unit_budget=0.000504936 depth=1 chain=3 scale=30 logN=14 logQP≈210
0,banknote,mlp_square_linear_score,0.5,0.012219452992,0.006109726496,6.05,0.0010098721481,1,21,25,0,1,3,30,14,210,7,8,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_3__baseline_non_rescale;short_chain_3__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,115.226,budget=0.00610973 sensitivity=6.05 unit_budget=0.00100987 depth=1 chain=3 scale=30 logN=14 logQP≈210
0,banknote,mlp_square_linear_score,0.75,0.012219452992,0.009164589744,6.05,0.00151480822215,1,21,25,0,1,3,30,14,210,7,8,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_3__baseline_non_rescale;short_chain_3__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,113.192,budget=0.00916459 sensitivity=6.05 unit_budget=0.00151481 depth=1 chain=3 scale=30 logN=14 logQP≈210
0,banknote,mlp_square_linear_score,0.9,0.012219452992,0.0109975076928,6.05,0.00181776986658,1,21,25,0,1,3,30,14,210,7,8,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_3__baseline_non_rescale;short_chain_3__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,113.112,budget=0.0109975 sensitivity=6.05 unit_budget=0.00181777 depth=1 chain=3 scale=30 logN=14 logQP≈210
0,digits_binary,linear_poly3,0.1,0.001090786265,0.0001090786265,3.8,2.87049017105e-05,2,10,12,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,117.511,budget=0.000109079 sensitivity=3.8 unit_budget=2.87049e-05 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,digits_binary,linear_poly3,0.25,0.001090786265,0.00027269656625,3.8,7.17622542763e-05,2,10,12,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,105.788,budget=0.000272697 sensitivity=3.8 unit_budget=7.17623e-05 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,digits_binary,linear_poly3,0.5,0.001090786265,0.0005453931325,3.8,0.000143524508553,2,10,12,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,107.101,budget=0.000545393 sensitivity=3.8 unit_budget=0.000143525 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,digits_binary,linear_poly3,0.75,0.001090786265,0.00081808969875,3.8,0.000215286762829,2,10,12,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,972.84,budget=0.00081809 sensitivity=3.8 unit_budget=0.000215287 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,digits_binary,linear_poly3,0.9,0.001090786265,0.0009817076385,3.8,0.000258344115395,2,10,12,0,2,4,30,14,240,7,6,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,105.408,budget=0.000981708 sensitivity=3.8 unit_budget=0.000258344 depth=2 chain=4 scale=30 logN=14 logQP≈240
0,digits_binary,mlp_square_linear_score,0.1,0.001114205795,0.0001114205795,9.25,1.20454680541e-05,1,37,41,0,1,3,30,14,210,7,8,deep_chain_8_scale45__rescale_aware;default__rescale_aware;short_chain_3__baseline_non_rescale;short_chain_3__rescale_aware;short_chain_5__baseline_non_rescale;short_chain_5__rescale_aware;short_chain_6_scale38__baseline_non_rescale;short_chain_6_scale38__rescale_aware,103.875,budget=0.000111421 sensitivity=9.25 unit_budget=1.20455e-05 depth=1 chain=3 scale=30 logN=14 logQP≈210
