row_id,label,scaled_logit,polynomial_score,plaintext_decision,materialization_schema,source_data_sha256,source_model_sha256,source_feature_space,preprocessing_method,x_0,x_1,x_2,x_3
8,0,-0.65316513292460865,0.37132646881385212,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-1.6500911775918874,-0.44183608216846115,-0.99014879134951483,-1.0578612824959455
16,0,-0.71329389575184587,0.35948110253688637,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.083548920384399872,1.6621452614908825,-1.05890912408212,-0.68776404080640163
20,0,-0.54009317015160974,0.39360164548013288,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.083548920384399872,0.61015458966121072,-0.78386779315169908,-1.0578612824959455
23,0,-0.43777376147658237,0.41375856898911328,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.55351159754664725,0.39975645529527615,-0.78386779315169908,-0.50271541996162983
25,0,-0.49608466950523694,0.4022713201074683,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.71016582326739552,-0.23143794780252661,-0.85262812588430426,-1.0578612824959455
30,0,-0.58973785056387462,0.38382164343891667,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-1.0234742747088932,-0.021039813436592055,-0.85262812588430426,-1.0578612824959455
35,0,-0.67487398569630974,0.367049824817827,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.71016582326739552,0.18935832092934252,-1.1276694568147252,-1.0578612824959455
38,0,-0.72493544991143422,0.35718771636744745,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-1.6500911775918874,-0.23143794780252661,-1.05890912408212,-1.0578612824959455
46,0,-0.77221538539214452,0.34787356907774752,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.55351159754664725,1.451747127124948,-0.85262812588430426,-1.0578612824959455
48,0,-0.71207353636373238,0.35972151333634472,false,flipguard_tabular_validation_v2,sha256:f6b9f9e3536866b7c5d7fc40208438df7d09508c499b783220fd39e07aca246d,sha256:1ce33e0a356996ae7feb0d6dfde1afc96ee6b91a6c17b94a7c0ca05844cf6c97,raw,selected_feature_standardization_v1,-0.24020314610514948,1.2413489927590144,-0.92138845861690954,-1.0578612824959455
