model_name,role,gap_bin,unique_samples,fresh_key_observations,argmax_flips,reserve_policy_rejections,plaintext_correct,ckks_correct,max_pairwise_observed_error,max_minimum_cap_required,min_top_two_gap,max_top_two_gap
lenet5_small,configuration_validation,1,100,300,0,0,282,282,5.818851889216603e-08,8.9320504796847806e-07,0.019203927749238403,9.7172808216168551
lenet5_small,configuration_validation,2,100,300,0,0,300,300,6.2728697347580464e-08,5.0368093004257502e-09,9.7557645193887517,14.808019533521611
lenet5_small,configuration_validation,3,100,300,0,0,300,300,1.145318897499692e-07,6.0025204220738236e-09,14.814201086842942,20.20724596255717
lenet5_small,configuration_validation,4,100,300,0,0,300,300,6.8581682555191037e-08,3.2844503282527147e-09,20.304280615944499,28.382984961761927
lenet5_small,configuration_validation,5,100,300,0,0,300,300,1.4313577167968106e-07,3.0715763809468462e-09,28.45668277629531,62.000131048226692
lenet5_small,locked_audit,1,118,354,0,0,333,333,7.2765460323864772e-08,3.1632967056565881e-08,0.36079731807418303,9.7352368738957544
lenet5_small,locked_audit,2,108,324,0,0,324,324,6.9490354803747323e-08,6.3682172841716518e-09,9.7634448562717218,14.808725379207548
lenet5_small,locked_audit,3,90,270,0,0,270,270,8.3421496377411586e-08,4.1449973845965703e-09,14.87479591692118,20.182665040382883
lenet5_small,locked_audit,4,83,249,0,0,249,249,7.9934032726214355e-08,3.4927283614987135e-09,20.267436209419444,28.284680001428786
lenet5_small,locked_audit,5,101,303,0,0,303,303,1.6347291875717929e-07,3.5245783615074059e-09,28.573139086544728,84.443916357702605
mlp_100,configuration_validation,1,100,300,0,0,255,255,0.00018378311098166122,0.0018313528165830159,0.042498195165657116,7.2213641755655624
mlp_100,configuration_validation,2,100,300,0,0,300,300,0.00025626577602455569,3.369672822033873e-05,7.232831498858916,10.565880261886502
mlp_100,configuration_validation,3,100,300,0,0,300,300,0.00020144160723134519,1.8602746311815759e-05,10.624206311276389,15.216304998358616
mlp_100,configuration_validation,4,100,300,0,0,300,300,0.0002715312176009288,1.7523556874231832e-05,15.225706650551137,22.015026582911048
mlp_100,configuration_validation,5,100,300,0,0,300,300,0.00028581892728851699,1.2267303771479789e-05,22.047234793427801,58.965385342865808
mlp_100,locked_audit,1,99,297,0,0,261,261,0.0002302387793102767,0.0029057998080674629,0.012545230086129955,7.2202916180179626
mlp_100,locked_audit,2,91,273,0,0,273,273,0.00022774689018856265,2.4198752086014364e-05,7.227685153823451,10.512526004739735
mlp_100,locked_audit,3,111,333,0,0,333,333,0.00020838162135561333,1.709123533856808e-05,10.598107448334854,15.078770946049396
mlp_100,locked_audit,4,94,282,0,0,282,282,0.00030749861141377011,1.9937284236706704e-05,15.225316492964337,22.015357547683994
mlp_100,locked_audit,5,105,315,0,0,315,315,0.00050021685701640006,1.3764682184559224e-05,22.152420101704731,47.57540568670899
