model_name,model_id,arm,profile,role,status,fresh_key_runs,mean_total_ms,median_total_ms,p95_total_ms,mean_eval_only_ms,comparison_status
lenet5_small,mnist_lenet5_small_square_v1,direct_selected,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,configuration_validation,SAFE,3,3875321.3653493337,3868471.1107219998,3902805.4781169998,2726425.9086243333,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
lenet5_small,mnist_lenet5_small_square_v1,direct_selected,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,locked_audit,SAFE,3,4009140.2937403335,3957362.1102530002,4139263.1619770001,2809540.6298820004,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,deep_chain_8_scale45,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,deep_chain_9_scale45,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,short_chain_3,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,short_chain_5,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,short_chain_6_scale38,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,short_chain_6_scale40,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
lenet5_small,mnist_lenet5_small_square_v1,security_v2_bounded_catalog,short_chain_6_scale42,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
mlp_100,mnist_mlp_square_784_100_10_v1,direct_selected,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,configuration_validation,SAFE,3,20810.203070666666,20347.641218000001,21881.830924999998,15094.732901000001,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,direct_selected,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,locked_audit,SAFE,3,20156.410609666666,20022.161007999999,20706.961809,15134.674231333333,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,deep_chain_8_scale45,configuration_validation,SAFE,3,130759.87254966666,127245.45252599999,140328.877783,94803.766325666671,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,deep_chain_9_scale45,configuration_validation,SAFE,3,141332.99661233334,141604.976035,141839.917716,106170.80580633333,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,short_chain_3,configuration_validation,PLAN_UNSUPPORTED_LEVELS,0,,,,,STATIC_PLAN_UNSUPPORTED
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,short_chain_5,configuration_validation,SAFE,3,40038.202489666663,40401.733932000003,40819.931597000003,29518.232994999998,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,short_chain_6_scale38,configuration_validation,SAFE,3,47369.603396999999,46976.197967,48376.538522000003,35529.246012666663,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,short_chain_6_scale40,configuration_validation,SAFE,3,48444.914197333332,48337.967078000001,49588.289418,36269.145525333333,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
mlp_100,mnist_mlp_square_784_100_10_v1,security_v2_bounded_catalog,short_chain_6_scale42,configuration_validation,SAFE,3,47228.733665333333,47057.121665999999,47882.182384,35535.277838999995,DESCRIPTIVE_UNPAIRED_EXTENSION_TIMING
