model_name,model_id,role,candidate_id,sample_id,key_run,label,plaintext_top_1,plaintext_top_2,ckks_top_1,top_two_gap,pairwise_decision_budget,pairwise_observed_error,minimum_cap_required,margin_utilization_cap,certifiable,plaintext_tie,argmax_flip,reserve_policy_pass,reserve_policy_rejection,gap_bin,plaintext_logits,ckks_logits,per_logit_absolute_error
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60003,1,0,0,6,0,18.5803163651901,9.2901581825950501,4.8643780363066824e-05,4.1133884809978057e-06,0.5,true,false,false,true,false,4,"[19.568769940472908,-15.390465770692478,-2.8885004650509982,-10.213018344947482,-13.010017342144861,-9.825513103012124,0.9884535752828081,-4.608228538829949,-14.921532214949748,-4.495664170644616]","[19.568776338586325,-15.39044741618191,-2.8884733418161375,-10.213008938533886,-13.010052317623732,-9.825511257779338,0.9884958209497543,-4.608321590103582,-14.9215777721877,-4.495755589415227]","[6.3981134168500375e-06,1.835451056741988e-05,2.7123234860759737e-05,9.406413596479979e-06,3.497547887043595e-05,1.8452327861240292e-06,4.224566694621679e-05,9.30512736330158e-05,4.555723795185429e-05,9.14187706104741e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60003,2,0,0,6,0,18.5803163651901,9.2901581825950501,1.3524578104662233e-05,1.0231678566469545e-06,0.5,true,false,false,true,false,4,"[19.568769940472908,-15.390465770692478,-2.8885004650509982,-10.213018344947482,-13.010017342144861,-9.825513103012124,0.9884535752828081,-4.608228538829949,-14.921532214949748,-4.495664170644616]","[19.56875783965035,-15.390454022753714,-2.888507788758817,-10.213019172583483,-13.010000628363507,-9.825514718053087,0.9884549990383537,-4.608241175135104,-14.921531491471256,-4.495667389130608]","[1.2100822559091284e-05,1.1747938764017363e-05,7.3237078188626015e-06,8.276360006220784e-07,1.671378135448265e-05,1.6150409631876528e-06,1.4237555455709483e-06,1.2636305155133698e-05,7.234784913379144e-07,3.2184859914963226e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60003,3,0,0,6,0,18.5803163651901,9.2901581825950501,2.0054421638437958e-05,1.1247208099627417e-06,0.5,true,false,false,true,false,4,"[19.568769940472908,-15.390465770692478,-2.8885004650509982,-10.213018344947482,-13.010017342144861,-9.825513103012124,0.9884535752828081,-4.608228538829949,-14.921532214949748,-4.495664170644616]","[19.568785477440272,-15.390469765879265,-2.8884907438590024,-10.213019494069899,-13.01002550002513,-9.82550735123317,0.9884580927370823,-4.608224821500901,-14.921524107690374,-4.4956668999336085]","[1.553696736422694e-05,3.995186787619787e-06,9.721191995826217e-06,1.1491224167770042e-06,8.157880268200302e-06,5.7517789535666e-06,4.517454274211019e-06,3.717329048136264e-06,8.107259374057207e-06,2.729288992142642e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60025,1,0,0,6,0,38.684052186689925,19.342026093344963,4.0954634350498509e-05,1.0950998999025835e-06,0.5,true,false,false,true,false,5,"[50.29925234637192,-45.32186673869178,-0.5116172624967399,-33.388496306628696,-6.712810860473965,-40.08696567357822,11.615200159681994,-17.690330530025644,-17.951459324961405,7.126034123357957]","[50.2992361199933,-45.32182762926371,-0.5115836543842782,-33.3884838206731,-6.7127646529478735,-40.0870172126753,11.615224887937725,-17.690323632152847,-17.951468048678006,7.126042118584278]","[1.6226378619421666e-05,3.9109428072947594e-05,3.360811246166939e-05,1.248595559388832e-05,4.620752609163503e-05,5.153909707900084e-05,2.4728255731076842e-05,6.897872797395621e-06,8.723716600655962e-06,7.99522632100036e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60025,2,0,0,6,0,38.684052186689925,19.342026093344963,3.5163206177912798e-06,1.2602541837433226e-07,0.5,true,false,false,true,false,5,"[50.29925234637192,-45.32186673869178,-0.5116172624967399,-33.388496306628696,-6.712810860473965,-40.08696567357822,11.615200159681994,-17.690330530025644,-17.951459324961405,7.126034123357957]","[50.29925077022105,-45.32186209180186,-0.5116158179112346,-33.38849909718565,-6.712813710380365,-40.0869639264915,11.61520209985174,-17.690328351138188,-17.951458731303088,7.12603025858594]","[1.5761508720402162e-06,4.646889919968089e-06,1.444585505328e-06,2.790556955289958e-06,2.849906399760016e-06,1.7470867206270668e-06,1.9401697457510636e-06,2.1788874562389537e-06,5.936583171717302e-07,3.864772017081464e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60025,3,0,0,6,0,38.684052186689925,19.342026093344963,3.2903120885663384e-05,9.9382106519416323e-07,0.5,true,false,false,true,false,5,"[50.29925234637192,-45.32186673869178,-0.5116172624967399,-33.388496306628696,-6.712810860473965,-40.08696567357822,11.615200159681994,-17.690330530025644,-17.951459324961405,7.126034123357957]","[50.29922898575748,-45.32189718297173,-0.5116187806126153,-33.38854617349694,-6.712778144338719,-40.08703214069125,11.615209702188437,-17.69031752591431,-17.951448854384488,7.126045561353626]","[2.3360614441969574e-05,3.0444279950359032e-05,1.5181158754540292e-06,4.986686824537401e-05,3.2716135246246836e-05,6.646711302948916e-05,9.54250644369381e-06,1.3004111334424806e-05,1.047057691749842e-05,1.1437995668828194e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60033,1,4,4,0,4,9.040056217035545,4.5200281085177725,9.9766565204717494e-06,1.103605583964315e-06,0.5,true,false,false,true,false,2,"[1.7382954440438323,-10.976981380425602,-10.499700742272752,-10.573574993186979,10.778351661079377,-9.432747522052113,0.8078695794291862,-6.993565083552779,-13.791117967433472,-5.280054173536413]","[1.738290882787513,-10.976988471110236,-10.499690862652127,-10.573572154149172,10.778357076479578,-9.432760377618504,0.8078743098584753,-6.99357672366517,-13.79113436328042,-5.280057387411121]","[4.561256319313145e-06,7.090684633226374e-06,9.879620625596885e-06,2.8390378066234234e-06,5.4154002011586044e-06,1.2855566390967965e-05,4.730429289057092e-06,1.164011239040974e-05,1.6395846948569215e-05,3.2138747085852515e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60033,2,4,4,0,4,9.040056217035545,4.5200281085177725,3.7256602563928709e-05,4.1212799643569096e-06,0.5,true,false,false,true,false,2,"[1.7382954440438323,-10.976981380425602,-10.499700742272752,-10.573574993186979,10.778351661079377,-9.432747522052113,0.8078695794291862,-6.993565083552779,-13.791117967433472,-5.280054173536413]","[1.7382757930557795,-10.976986171942952,-10.499703067458537,-10.57356180065649,10.778334055464866,-9.432741152506084,0.8078598254174465,-6.993586026586595,-13.79111800546274,-5.280062515938224]","[1.965098805278842e-05,4.791517350000163e-06,2.3251857843575863e-06,1.319253048848168e-05,1.760561451114029e-05,6.369546028395234e-06,9.754011739748769e-06,2.0943033815612466e-05,3.802926862306322e-08,8.342401811134437e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60033,3,4,4,0,4,9.040056217035545,4.5200281085177725,4.0537430935572161e-05,4.4842011998975568e-06,0.5,true,false,false,true,false,2,"[1.7382954440438323,-10.976981380425602,-10.499700742272752,-10.573574993186979,10.778351661079377,-9.432747522052113,0.8078695794291862,-6.993565083552779,-13.791117967433472,-5.280054173536413]","[1.7382666806789797,-10.976962372027433,-10.499713157926127,-10.573561454193552,10.778339887013294,-9.432734092786067,0.8078459588988012,-6.993589113301361,-13.791151455073974,-5.280032792538617]","[2.8763364852579798e-05,1.9008398169262364e-05,1.241565337473105e-05,1.3538993426820412e-05,1.1774066082992363e-05,1.3429266045861254e-05,2.362053038507117e-05,2.402974858206619e-05,3.3487640502372074e-05,2.1380997795361623e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60043,1,2,2,1,2,2.2617202444408484,1.1308601222204242,3.5758674853170191e-05,1.5810388106602723e-05,0.5,true,false,false,true,false,1,"[-7.99877850843515,4.901569668082753,7.163289912523601,-7.226801499857421,4.5637649331067776,-10.594978961766884,-1.0715705577845211,-2.6500247815755524,-8.11593098468696,-23.288289956261394]","[-7.9988154881221885,4.901555645766065,7.163268176165436,-7.226805342502575,4.563751793968644,-10.595013770015168,-1.0716066007912197,-2.649989403515422,-8.115879729138708,-23.288268888645376]","[3.697968703875176e-05,1.4022316688233616e-05,2.1736358164936576e-05,3.8426451540729545e-06,1.3139138133944073e-05,3.48082482837242e-05,3.6043006698571745e-05,3.5378060130319966e-05,5.125554825191614e-05,2.10676160179446e-05]"
