estimator_model,model_id,arm,candidate_id,object_type,attack,attack_status,log2_rop,beta,dimension,samples
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,CIPHERTEXT_Q,primal_usvp,PASS,141.939798223922,365,63735,
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,CIPHERTEXT_Q,primal_bdd,PASS,141.930778424602,365,63216,
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,CIPHERTEXT_Q,dual_hybrid,PASS,141.978190806549,365,,32768
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,EVALUATION_KEY_QP,primal_usvp,PASS,132.288414671257,332,63059,
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,EVALUATION_KEY_QP,primal_bdd,PASS,132.046927836598,331,64971,
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,EVALUATION_KEY_QP,dual_hybrid,PASS,132.050682356806,331,,32768
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,CIPHERTEXT_Q,primal_usvp,PASS,258.918510378251,769,32105,
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,CIPHERTEXT_Q,primal_bdd,PASS,258.628554958028,768,31968,
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,CIPHERTEXT_Q,dual_hybrid,PASS,257.482295986037,764,,16384
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,EVALUATION_KEY_QP,primal_usvp,PASS,166.923286645524,454,31768,
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,EVALUATION_KEY_QP,primal_bdd,PASS,166.651000919503,453,32056,
