estimator_model,model_id,arm,candidate_id,object_type,exact_modulus_bit_length,exact_log2_modulus,minimum_log2_rop,status
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,CIPHERTEXT_Q,803,802.0000005966602,141.930778424602,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,EVALUATION_KEY_QP,857,856.0000005968124,132.046927836598,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,CIPHERTEXT_Q,236,235.0000000107701,257.482295986037,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,EVALUATION_KEY_QP,346,345.0000000107596,166.389858258149,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_mlp_square_784_100_10_v1,gap_aware_direct,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,CIPHERTEXT_Q,155,154.9992070672203,186.465007595774,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_mlp_square_784_100_10_v1,gap_aware_direct,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,EVALUATION_KEY_QP,194,193.9992076261664,145.229851075969,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_mlp_square_784_100_10_v1,graph_only_fixed_tolerance,synth_analysis_minimum_rescale_N13_Q5_S32_cd07c4b74140,CIPHERTEXT_Q,171,170.0000989256511,168.296938552252,PASS_ESTIMATOR_MODEL
current-3e48ef4,mnist_mlp_square_784_100_10_v1,graph_only_fixed_tolerance,synth_analysis_minimum_rescale_N13_Q5_S32_cd07c4b74140,EVALUATION_KEY_QP,213,212.0000991030086,131.786862707963,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,CIPHERTEXT_Q,803,802.0000005966602,141.930538431345,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_lenet5_small_square_v1,gap_aware_direct,synth_analysis_minimum_rescale_N15_Q18_S44_3d9a3ac648cc,EVALUATION_KEY_QP,857,856.0000005968124,132.047170820551,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,CIPHERTEXT_Q,236,235.0000000107701,257.482295986037,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_mlp_square_784_100_10_v1,bounded_catalog_fastest_safe,catalog_short_chain_5__rescale,EVALUATION_KEY_QP,346,345.0000000107596,166.389858258149,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_mlp_square_784_100_10_v1,gap_aware_direct,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,CIPHERTEXT_Q,155,154.9992070672203,186.465007595774,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_mlp_square_784_100_10_v1,gap_aware_direct,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,EVALUATION_KEY_QP,194,193.9992076261664,145.229851075969,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_mlp_square_784_100_10_v1,graph_only_fixed_tolerance,synth_analysis_minimum_rescale_N13_Q5_S32_cd07c4b74140,CIPHERTEXT_Q,171,170.0000989256511,168.296938552252,PASS_ESTIMATOR_MODEL
guidelines-pinned-8f1ff7e,mnist_mlp_square_784_100_10_v1,graph_only_fixed_tolerance,synth_analysis_minimum_rescale_N13_Q5_S32_cd07c4b74140,EVALUATION_KEY_QP,213,212.0000991030086,131.78730817584,PASS_ESTIMATOR_MODEL
