split_seed,dataset_id,model_id,status,action,error
1,banknote,linear_poly3,ok,run,
1,banknote,mlp_square_linear_score,ok,run,
1,digits_binary,linear_poly3,ok,run,
1,digits_binary,mlp_square_linear_score,ok,run,
1,iris_binary,linear_poly3,ok,run,
1,iris_binary,mlp_square_linear_score,ok,run,
1,mnist_pool16,linear_poly3,ok,run,
1,mnist_pool16,mlp_square_linear_score,ok,run,
1,wdbc,linear_poly3,ok,run,
1,wdbc,mlp_square_linear_score,ok,run,
2,banknote,linear_poly3,ok,run,
2,banknote,mlp_square_linear_score,ok,run,
2,digits_binary,linear_poly3,ok,run,
2,digits_binary,mlp_square_linear_score,ok,run,
2,iris_binary,linear_poly3,ok,run,
2,iris_binary,mlp_square_linear_score,ok,run,
2,mnist_pool16,linear_poly3,ok,run,
2,mnist_pool16,mlp_square_linear_score,ok,run,
2,wdbc,linear_poly3,ok,run,
2,wdbc,mlp_square_linear_score,ok,run,
3,banknote,linear_poly3,ok,run,
3,banknote,mlp_square_linear_score,ok,run,
3,digits_binary,linear_poly3,ok,run,
3,digits_binary,mlp_square_linear_score,ok,run,
3,iris_binary,linear_poly3,ok,run,
3,iris_binary,mlp_square_linear_score,ok,run,
3,mnist_pool16,linear_poly3,ok,run,
3,mnist_pool16,mlp_square_linear_score,ok,run,
3,wdbc,linear_poly3,ok,run,
3,wdbc,mlp_square_linear_score,ok,run,
4,banknote,linear_poly3,ok,run,
4,banknote,mlp_square_linear_score,ok,run,
4,digits_binary,linear_poly3,ok,run,
4,digits_binary,mlp_square_linear_score,ok,run,
4,iris_binary,linear_poly3,ok,run,
4,iris_binary,mlp_square_linear_score,ok,run,
4,mnist_pool16,linear_poly3,ok,run,
4,mnist_pool16,mlp_square_linear_score,ok,run,
4,wdbc,linear_poly3,ok,run,
4,wdbc,mlp_square_linear_score,ok,run,
