split_seed,dataset_id,model_id,expected_outcome,outcome,trial_status,failure_signal,decision_flips,error_violations,max_observed_error,max_error_budget_usage,v_cert,v_amb,candidate_id,log_n,q_prime_count,log_default_scale,result_path,result_sha256
1,banknote,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,4,36,0.01930234637399475,5.6628444919749,207,0,synth_analysis_minimum_rescale_N13_Q7_S20_1df8572c834f,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_banknote_linear_poly3.json,sha256:0802b77bc4e190b7e847025aee2322dede23af8828709a1b9fa43b77bd625b4d
1,banknote,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0007594391575346249,0.0539144176742809,207,0,synth_analysis_minimum_rescale_N13_Q6_S20_58b1df750542,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_banknote_mlp_square_linear_score.json,sha256:b3e2b9a0fb8b6674c50107576de75542ac7e48e1b80e0742bdc3406c1d2aa384
1,digits_binary,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,104,466,0.018302349427596787,21.047553111299056,264,6,synth_analysis_minimum_rescale_N13_Q7_S20_43e4a2dcdf2f,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_digits_binary_linear_poly3.json,sha256:25f0f949b98c082d7ef6be4f7ecde4c07c23a8f0676e4d263d841c92b53f204c
1,digits_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,7.426836899815381e-05,0.055304064730473806,249,21,synth_analysis_minimum_rescale_N13_Q6_S20_1c6d4ac00e7f,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_digits_binary_mlp_square_linear_score.json,sha256:4e42f1fd59f1fdbb14219c6103be7c721c449dfa94bdc0b3cb15c598ecb74887
1,iris_binary,linear_poly3,SELECTED,SELECTED,SAFE,,0,0,0.014720285163134395,0.4982445016169217,16,0,synth_analysis_minimum_rescale_N13_Q7_S20_4a6ba92d6166,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_iris_binary_linear_poly3.json,sha256:2669710c5e52de2b8bfc89b4237936973a78b955fd278cdb202263b7deaab44a
1,iris_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.00028509810813875935,0.007547248972152207,16,0,synth_analysis_minimum_rescale_N13_Q6_S20_70c9a4bc21bc,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_iris_binary_mlp_square_linear_score.json,sha256:a6a9a9597b194ada6a38199f688bee75ec888d2f8f57ef9af3548b5cc2f71517
1,mnist_pool16,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,99,368,0.016380295760894392,23.61691842048231,248,3,synth_analysis_minimum_rescale_N13_Q7_S20_e52ceede16cd,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_mnist_pool16_linear_poly3.json,sha256:9679888913c3c2621a59e49fcd202bf45758d8b6dfd56021f9c0ad66b37e55f6
1,mnist_pool16,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.00018303328661772866,0.31027486405854365,247,4,synth_analysis_minimum_rescale_N13_Q6_S20_31f9891046d8,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_mnist_pool16_mlp_square_linear_score.json,sha256:56f02988dc6eff11fe376533e565b49e0e189db8d244c26ec195e8b637b860df
1,wdbc,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,12,57,0.015904094798782964,15.186721493404784,85,1,synth_analysis_minimum_rescale_N13_Q7_S20_51ff35fdf4e2,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_wdbc_linear_poly3.json,sha256:6cea4b566ffc4c605ba042d0e11d739fa3fc513d73462e5594f2d9740beffaad
1,wdbc,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.00021603936287528658,0.07478532548374675,84,2,synth_analysis_minimum_rescale_N13_Q6_S20_e089940a8341,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed1_wdbc_mlp_square_linear_score.json,sha256:d4dc284261720a9578c7afae6034aad67f91d3672b1bad8cd2df482a67777c3b
