split_seed,dataset_id,model_id,alpha,domain_id,candidate_count,safe_count,rejected_count,failed_count,restricted_outcome,selected_candidate,full_catalog_outcome,full_catalog_candidate
0,banknote,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
0,banknote,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale40__baseline_non_rescale
0,digits_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
0,digits_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__rescale_aware
0,iris_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
0,iris_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale40__baseline_non_rescale
0,mnist_pool16,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
0,mnist_pool16,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale42__baseline_non_rescale
0,wdbc,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
0,wdbc,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale42__baseline_non_rescale
1,banknote,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
1,banknote,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
1,digits_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
1,digits_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
1,iris_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
1,iris_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale40__baseline_non_rescale
1,mnist_pool16,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
1,mnist_pool16,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
1,wdbc,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
1,wdbc,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
2,banknote,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
2,banknote,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale42__baseline_non_rescale
2,digits_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
2,digits_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale40__baseline_non_rescale
2,iris_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
2,iris_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale40__baseline_non_rescale
2,mnist_pool16,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
2,mnist_pool16,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
2,wdbc,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
2,wdbc,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
3,banknote,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
3,banknote,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale42__baseline_non_rescale
3,digits_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
3,digits_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale42__baseline_non_rescale
3,iris_binary,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
3,iris_binary,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale40__baseline_non_rescale
3,mnist_pool16,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
3,mnist_pool16,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale42__baseline_non_rescale
3,wdbc,linear_poly3,0.5,short_chain_3_two_path_v1,2,0,1,1,NO_SAFE,,SELECTED,default__rescale_aware
3,wdbc,mlp_square_linear_score,0.5,short_chain_3_two_path_v1,2,0,2,0,NO_SAFE,,SELECTED,short_chain_6_scale38__baseline_non_rescale
