row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,1,0.1420549742,0.1420549762,0.0000000020,0.5279733635,-0.0000000000,0.5279733635,0.0010000000,527.9733634650,true,true,false,true,true,false,76.3328590000,10.1277160000,21.6329580000,31.7606740000,31.3699640000,139.4684860000,2,2,2,1,1
1,1,-0.0238925718,-0.0238925690,0.0000000029,0.4952932179,0.0000000000,0.4952932179,0.0010000000,495.2932179060,true,false,false,false,false,false,81.3510020000,6.7552370000,36.2005650000,42.9558020000,26.5154600000,150.8265630000,2,2,2,1,1
2,0,-0.3348836167,-0.3348836227,0.0000000060,0.4341781523,0.0000000000,0.4341781523,0.0010000000,434.1781523290,true,false,false,false,true,true,87.4974220000,3.6109460000,19.5542110000,23.1651570000,31.5513150000,142.2186330000,2,2,2,1,1
4,0,-0.1968906607,-0.1968906630,0.0000000023,0.4612430704,0.0000000000,0.4612430704,0.0010000000,461.2430704490,true,false,false,false,true,true,81.1432870000,20.3916180000,22.1131080000,42.5047260000,73.8393390000,197.4928130000,2,2,2,1,1
6,0,-0.1491008947,-0.1491008980,0.0000000033,0.4706403824,0.0000000000,0.4706403824,0.0010000000,470.6403824400,true,false,false,false,true,true,171.6146090000,4.6452580000,44.1199420000,48.7652000000,36.8945030000,257.2793710000,2,2,2,1,1
10,1,-0.0326393935,-0.0326393930,0.0000000005,0.4935701786,-0.0000000000,0.4935701786,0.0010000000,493.5701785680,true,false,false,false,false,false,93.9850460000,8.0700440000,26.2879380000,34.3579820000,46.4202130000,174.7684120000,2,2,2,1,1
13,0,-0.0141221698,-0.0141221687,0.0000000011,0.4972179438,0.0000000000,0.4972179438,0.0010000000,497.2179438160,true,false,false,false,true,true,95.0924250000,6.2851340000,17.0145850000,23.2997190000,30.8160750000,149.2143410000,2,2,2,1,1
15,1,0.1204549322,0.1204549325,0.0000000003,0.5237226307,-0.0000000000,0.5237226307,0.0010000000,523.7226307300,true,true,false,true,true,false,85.9816920000,5.7947950000,23.1654680000,28.9602630000,37.9484960000,152.8946690000,2,2,2,1,1
16,0,-0.1324533614,-0.1324533608,0.0000000007,0.4739159828,-0.0000000000,0.4739159828,0.0010000000,473.9159827880,true,false,false,false,true,true,74.3825990000,5.7559070000,18.8650270000,24.6209340000,34.2949200000,133.3038240000,2,2,2,1,1
21,1,0.1474000994,0.1474001006,0.0000000012,0.5290250095,0.0000000000,0.5290250095,0.0010000000,529.0250094560,true,true,false,true,true,false,74.1559030000,4.0104860000,18.6247180000,22.6352040000,37.1543660000,133.9503820000,2,2,2,1,1
24,1,0.1345156660,0.1345156675,0.0000000015,0.5264898503,0.0000000000,0.5264898503,0.0010000000,526.4898502550,true,true,false,true,true,false,79.7106980000,4.7141410000,18.3394160000,23.0535570000,36.8684290000,139.6368420000,2,2,2,1,1
25,1,0.1141771853,0.1141771846,0.0000000007,0.5224869517,-0.0000000000,0.5224869517,0.0010000000,522.4869516590,true,true,false,true,true,false,69.9952070000,5.5233660000,17.5373110000,23.0606770000,32.0160870000,125.0764700000,2,2,2,1,1
27,0,-0.1298708239,-0.1298708174,0.0000000065,0.4744242095,0.0000000000,0.4744242095,0.0010000000,474.4242095160,true,false,false,false,true,true,66.1877200000,5.3698020000,21.6648770000,27.0346790000,30.2083660000,123.4348130000,2,2,2,1,1
