row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.6440121120,0.0000000000,0.6440121120,0.3731296139,0.0000000000,0.3731296139,0.0010000000,373.1296139410,true,false,false,false,true,true,37.1544350000,64.9184990000,0.7471120000,65.6656110000,1.4782840000,104.3009150000,2,0,0,1,1
2,1,0.5555026452,0.0000000000,0.5555026452,0.6094340211,-0.0000000000,0.6094340211,0.0010000000,609.4340210990,true,true,false,true,true,false,32.0144290000,49.3211830000,0.5500420000,49.8712250000,1.1388470000,83.0266560000,2,0,0,1,1
3,0,-0.3835035849,0.0000000000,0.3835035849,0.4244497938,0.0000000000,0.4244497938,0.0010000000,424.4497937750,true,false,false,false,true,true,38.1720850000,52.3253410000,0.5611830000,52.8865240000,1.1440870000,92.2066230000,2,0,0,1,1
6,1,0.5690894358,0.0000000000,0.5690894358,0.6121106189,-0.0000000000,0.6121106189,0.0010000000,612.1106188620,true,true,false,true,true,false,34.9538210000,53.3511200000,0.5550520000,53.9061720000,1.1299300000,89.9926380000,2,0,0,1,1
12,0,-0.5603137709,-0.0000000000,0.5603137709,0.3896181871,0.0000000000,0.3896181871,0.0010000000,389.6181871280,true,false,false,false,true,true,34.8096850000,49.9910000000,0.5590790000,50.5500790000,1.2242280000,86.5861960000,2,0,0,1,1
13,0,-0.5122156045,0.0000000000,0.5122156045,0.3990935259,-0.0000000000,0.3990935259,0.0010000000,399.0935259040,true,false,false,false,true,true,31.5727710000,67.1544340000,0.6195130000,67.7739470000,2.7499310000,102.1001450000,2,0,0,1,1
15,1,0.5628763724,0.0000000000,0.5628763724,0.6108866454,-0.0000000000,0.6108866454,0.0010000000,610.8866453580,true,true,false,true,true,false,40.8618130000,85.6157290000,0.5993950000,86.2151240000,5.4184900000,132.4991230000,2,0,0,1,1
17,0,-0.4994543895,0.0000000000,0.4994543895,0.4016074853,0.0000000000,0.4016074853,0.0010000000,401.6074852620,true,false,false,false,true,true,49.1333350000,66.4269040000,0.5626460000,66.9895500000,19.3826740000,135.5084750000,2,0,0,1,1
18,1,0.5412283157,0.0000000000,0.5412283157,0.6066219782,-0.0000000000,0.6066219782,0.0010000000,606.6219781900,true,true,false,true,true,false,40.1766780000,53.9748410000,0.5599000000,54.5347410000,1.1477630000,95.8615880000,2,0,0,1,1
19,0,-0.5484548364,0.0000000000,0.5484548364,0.3919543972,-0.0000000000,0.3919543972,0.0010000000,391.9543972230,true,false,false,false,true,true,30.8986260000,54.0624560000,0.6537270000,54.7161830000,1.1577130000,86.7754870000,2,0,0,1,1
20,0,-0.5417383040,-0.0000000000,0.5417383040,0.3932775541,-0.0000000000,0.3932775541,0.0010000000,393.2775541060,true,false,false,false,true,true,33.0739830000,54.5121250000,0.5674750000,55.0796000000,1.1240800000,89.2808480000,2,0,0,1,1
22,1,0.5674053558,-0.0000000000,0.5674053558,0.6117788551,0.0000000000,0.6117788551,0.0010000000,611.7788551020,true,true,false,true,true,false,35.0096150000,56.1898030000,2.0810050000,58.2708080000,1.4313560000,94.7145760000,2,0,0,1,1
23,1,0.5215761822,-0.0000000000,0.5215761822,0.6027505079,-0.0000000000,0.6027505079,0.0010000000,602.7505078870,true,true,false,true,true,false,30.2762080000,47.2371820000,0.5497520000,47.7869340000,1.3311880000,79.3971750000,2,0,0,1,1
25,0,-0.7478192854,-0.0000000000,0.7478192854,0.3526796008,0.0000000000,0.3526796008,0.0010000000,352.6796007820,true,false,false,false,true,true,36.2414670000,52.0470480000,0.5538800000,52.6009280000,1.6011140000,90.4463260000,2,0,0,1,1
26,1,0.5238755817,-0.0000000000,0.5238755817,0.6032034896,-0.0000000000,0.6032034896,0.0010000000,603.2034895890,true,true,false,true,true,false,31.3911650000,52.9259630000,0.7976570000,53.7236200000,1.7082660000,86.8260460000,2,0,0,1,1
28,1,0.7360955478,0.0000000000,0.7360955478,0.6450108229,-0.0000000000,0.6450108229,0.0010000000,645.0108229260,true,true,false,true,true,false,29.0286870000,56.1589610000,0.5712820000,56.7302430000,1.2476010000,87.0085140000,2,0,0,1,1
