row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.0880510556,-0.0000000000,0.0880510556,0.4826539420,0.0000000000,0.4826539420,0.0010000000,482.6539420480,true,false,false,false,true,true,154.2896110000,68.2934820000,1.2266820000,69.5201640000,32.6043050000,256.4166960000,2,2,2,1,1
3,1,0.0964384048,-0.0000000000,0.0964384048,0.5189983657,-0.0000000000,0.5189983657,0.0010000000,518.9983657470,true,true,false,true,true,false,138.7726470000,65.2959830000,1.4293320000,66.7253150000,31.0718100000,236.5736090000,2,2,2,1,1
4,1,0.2618470641,-0.0000000000,0.2618470641,0.5515838716,0.0000000000,0.5515838716,0.0010000000,551.5838716240,true,true,false,true,true,false,151.1739190000,89.6321870000,1.3894580000,91.0216450000,82.0622870000,324.2623790000,2,2,2,1,1
6,0,-0.0771548939,-0.0000000000,0.0771548939,0.4848004859,-0.0000000000,0.4848004859,0.0010000000,484.8004859000,true,false,false,false,true,true,137.5570490000,68.1580230000,1.3752510000,69.5332740000,36.7634120000,243.8579040000,2,2,2,1,1
7,0,-0.0665647652,0.0000000000,0.0665647652,0.4868867413,0.0000000000,0.4868867413,0.0010000000,486.8867412580,true,false,false,false,true,true,151.9687150000,69.2988530000,1.5035210000,70.8023740000,32.4537300000,255.2284470000,2,2,2,1,1
10,1,0.0724161790,0.0000000000,0.0724161790,0.5142659873,0.0000000000,0.5142659873,0.0010000000,514.2659872690,true,true,false,true,true,false,161.3808880000,78.5142590000,4.6460690000,83.1603280000,39.4899580000,284.0351020000,2,2,2,1,1
11,0,-0.0470139324,0.0000000000,0.0470139324,0.4907382553,0.0000000000,0.4907382553,0.0010000000,490.7382553170,true,false,false,false,true,true,203.1206190000,88.1133270000,5.0749640000,93.1882910000,45.8682430000,342.1817920000,2,2,2,1,1
12,0,-0.1075231866,-0.0000000000,0.1075231866,0.4788179322,0.0000000000,0.4788179322,0.0010000000,478.8179322440,true,false,false,false,true,true,173.5818110000,97.1379230000,1.3293850000,98.4673080000,43.0261050000,315.0790900000,2,2,2,1,1
14,0,-0.1818034286,-0.0000000000,0.1818034286,0.4641847246,0.0000000000,0.4641847246,0.0010000000,464.1847245660,true,false,false,false,true,true,189.7630070000,86.5503380000,3.3394420000,89.8897800000,32.5586310000,312.2148950000,2,2,2,1,1
17,0,-0.1504593546,-0.0000000000,0.1504593546,0.4703595072,0.0000000000,0.4703595072,0.0010000000,470.3595071520,true,false,false,false,true,true,160.3328470000,76.9546570000,1.7934760000,78.7481330000,37.4775120000,276.5622980000,2,2,2,1,1
18,0,-0.1078979585,-0.0000000000,0.1078979585,0.4787441022,0.0000000000,0.4787441022,0.0010000000,478.7441021810,true,false,false,false,true,true,134.9288980000,67.5792930000,1.2233350000,68.8026280000,36.2044170000,239.9389290000,2,2,2,1,1
19,1,0.1620038361,-0.0000000000,0.1620038361,0.5319147557,0.0000000000,0.5319147557,0.0010000000,531.9147557080,true,true,false,true,true,false,171.7351350000,69.1832720000,1.5367240000,70.7199960000,34.6564280000,277.1145050000,2,2,2,1,1
22,0,-0.1251893178,0.0000000000,0.1251893178,0.4753377044,0.0000000000,0.4753377044,0.0010000000,475.3377043930,true,false,false,false,true,true,133.9112740000,66.0962390000,1.2333550000,67.3295940000,34.0975990000,235.3421730000,2,2,2,1,1
24,1,0.2120910305,0.0000000000,0.2120910305,0.5417819330,-0.0000000000,0.5417819330,0.0010000000,541.7819330160,true,true,false,true,true,false,132.3700510000,74.1810950000,1.5162860000,75.6973810000,38.3924650000,246.4631730000,2,2,2,1,1
25,0,-0.0781419470,0.0000000000,0.0781419470,0.4846060364,-0.0000000000,0.4846060364,0.0010000000,484.6060364460,true,false,false,false,true,true,138.8586420000,56.7979240000,1.3010620000,58.0989860000,30.9027190000,227.8632930000,2,2,2,1,1
