row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.1241759767,-0.1241759592,0.0000000175,0.4755449916,-0.0000000000,0.4755449916,0.0010000000,475.5449916020,true,false,false,false,true,true,94.7384600000,6.7746330000,20.3470340000,27.1216670000,33.2377350000,155.1036840000,2,2,2,1,1
1,1,0.1486879600,0.1486879379,0.0000000220,0.5292783793,-0.0000000000,0.5292783793,0.0010000000,529.2783792760,true,true,false,true,true,false,72.4460460000,3.2905750000,24.2717500000,27.5623250000,34.1321480000,134.1457970000,2,2,2,1,1
2,1,0.2133202322,0.2133202250,0.0000000072,0.5419852567,-0.0000000000,0.5419852567,0.0010000000,541.9852567440,true,true,false,true,true,false,83.3878750000,6.3095210000,19.8165030000,26.1260240000,46.1079440000,155.6261400000,2,2,2,1,1
4,0,-0.0203606767,-0.0203606851,0.0000000084,0.4959889805,-0.0000000000,0.4959889805,0.0010000000,495.9889804520,true,false,false,false,true,true,84.3945190000,14.6283420000,30.1805630000,44.8089050000,76.9323640000,206.1410670000,2,2,2,1,1
5,0,-0.2026731644,-0.2026731712,0.0000000067,0.4601066870,-0.0000000000,0.4601066870,0.0010000000,460.1066869500,true,false,false,false,true,true,165.4388410000,18.4482690000,32.6540460000,51.1023150000,57.2279600000,273.7734340000,2,2,2,1,1
9,0,-0.7144641126,-0.7144641157,0.0000000031,0.3607093883,-0.0000000000,0.3607093883,0.0010000000,360.7093882760,true,false,false,false,true,true,96.0795980000,7.7335030000,29.5614160000,37.2949190000,63.0231310000,196.4026770000,2,2,2,1,1
10,1,0.3199837432,0.3199837205,0.0000000227,0.5629057454,0.0000000000,0.5629057454,0.0010000000,562.9057453910,true,true,false,true,true,false,76.3120860000,5.2624760000,23.1767350000,28.4392110000,30.9415770000,135.6970010000,2,2,2,1,1
12,0,-0.1461286543,-0.1461286234,0.0000000310,0.4712251366,0.0000000000,0.4712251366,0.0010000000,471.2251365810,true,false,false,false,true,true,77.9901440000,4.1445580000,20.7881220000,24.9326800000,36.8578090000,139.7859530000,2,2,2,1,1
13,0,0.0705229832,0.0705229948,0.0000000116,0.5138916247,-0.0000000000,0.5138916247,0.0010000000,513.8916247150,true,true,false,true,false,true,71.8162030000,3.3621700000,24.0594200000,27.4215900000,36.4860070000,135.7282780000,2,2,2,1,1
16,0,-0.2906494758,-0.2906494715,0.0000000043,0.4428402662,0.0000000000,0.4428402662,0.0010000000,442.8402661880,true,false,false,false,true,true,65.7949730000,4.3509360000,35.3924540000,39.7433900000,59.3169860000,164.8606200000,2,2,2,1,1
19,1,0.1143895057,0.1143894980,0.0000000077,0.5225287455,0.0000000000,0.5225287455,0.0010000000,522.5287454960,true,true,false,true,true,false,69.5855170000,3.3760860000,27.0439820000,30.4200680000,40.0377660000,140.0474280000,2,2,2,1,1
22,1,0.0901187076,0.0901187289,0.0000000213,0.5177504578,0.0000000000,0.5177504578,0.0010000000,517.7504578480,true,true,false,true,true,false,73.8718870000,5.9906520000,18.3146400000,24.3052920000,36.7537940000,134.9347000000,2,2,2,1,1
24,0,-0.4195183820,-0.4195184031,0.0000000211,0.4176502124,-0.0000000000,0.4176502124,0.0010000000,417.6502124320,true,false,false,false,true,true,69.0032700000,5.0176170000,24.6532000000,29.6708170000,28.3962590000,127.0758960000,2,2,2,1,1
26,1,0.1933384275,0.1933384337,0.0000000062,0.5380587624,0.0000000000,0.5380587624,0.0010000000,538.0587624420,true,true,false,true,true,false,71.1895970000,4.6015350000,18.2847440000,22.8862790000,27.7075830000,121.7877970000,2,2,2,1,1
30,1,0.0895860862,0.0895860641,0.0000000220,0.5176455830,0.0000000000,0.5176455830,0.0010000000,517.6455830250,true,true,false,true,true,false,70.6065730000,5.5215670000,16.6037590000,22.1253260000,33.2702410000,126.0064380000,2,2,2,1,1
36,1,0.0736063246,0.0736063291,0.0000000045,0.5144988508,0.0000000000,0.5144988508,0.0010000000,514.4988507820,true,true,false,true,true,false,66.8107560000,3.2735530000,22.5675320000,25.8410850000,31.9134040000,124.5698430000,2,2,2,1,1
38,1,0.2182399987,0.2182399924,0.0000000063,0.5429517018,0.0000000000,0.5429517018,0.0010000000,542.9517018040,true,true,false,true,true,false,71.1659140000,4.0429770000,22.9454700000,26.9884470000,30.0064800000,128.1654300000,2,2,2,1,1
