row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.6516496851,-0.6516496812,0.0000000039,0.3727318972,-0.0000000000,0.3727318972,0.0010000000,372.7318971820,true,false,false,false,true,true,41.4312220000,3.5744490000,21.4909810000,25.0654300000,41.7469240000,108.2482940000,2,2,2,1,1
3,0,-0.4198707450,-0.4198707497,0.0000000046,0.4175815417,0.0000000000,0.4175815417,0.0010000000,417.5815417030,true,false,false,false,true,true,32.9661050000,2.6455650000,22.4144690000,25.0600340000,35.1783870000,93.2092860000,2,2,2,1,1
7,1,0.6136977721,0.6136977759,0.0000000038,0.6199739255,-0.0000000000,0.6199739255,0.0010000000,619.9739255200,true,true,false,true,true,false,32.8531140000,2.1484420000,20.5221930000,22.6706350000,27.7451470000,83.2723520000,2,2,2,1,1
10,1,0.7199746146,0.7199746094,0.0000000052,0.6403421650,-0.0000000000,0.6403421650,0.0010000000,640.3421649900,true,true,false,true,true,false,38.0603550000,2.1303880000,20.2009600000,22.3313480000,33.1551400000,93.5512720000,2,2,2,1,1
11,1,0.3314338729,0.3314338685,0.0000000043,0.5651468430,-0.0000000000,0.5651468430,0.0010000000,565.1468430180,true,true,false,true,true,false,32.5096430000,2.5246180000,28.8479530000,31.3725710000,30.7013150000,94.5874970000,2,2,2,1,1
13,0,-0.5995243672,-0.5995243807,0.0000000135,0.3827556465,-0.0000000000,0.3827556465,0.0010000000,382.7556465490,true,false,false,false,true,true,30.0073030000,3.0445540000,23.3854310000,26.4299850000,44.2146700000,100.6568470000,2,2,2,1,1
14,1,0.7448370303,0.7448370209,0.0000000094,0.6450800057,-0.0000000000,0.6450800057,0.0010000000,645.0800056590,true,true,false,true,true,false,48.1059730000,8.1409220000,25.7381010000,33.8790230000,91.4549680000,173.4447640000,2,2,2,1,1
16,0,-0.5377934001,-0.5377933737,0.0000000264,0.3946768664,-0.0000000000,0.3946768664,0.0010000000,394.6768663580,true,false,false,false,true,true,43.1167990000,3.2108350000,22.9428670000,26.1537020000,29.3417090000,98.6157970000,2,2,2,1,1
17,0,-0.6391413162,-0.6391413156,0.0000000007,0.3751335218,-0.0000000000,0.3751335218,0.0010000000,375.1335217610,true,false,false,false,true,true,35.3783620000,2.8686330000,18.0094720000,20.8781050000,35.7062680000,91.9663730000,2,2,2,1,1
18,1,0.7694733968,0.7694733876,0.0000000093,0.6497638713,-0.0000000000,0.6497638713,0.0010000000,649.7638712900,true,true,false,true,true,false,31.8306550000,2.3049160000,17.0733700000,19.3782860000,39.1143430000,90.3282830000,2,2,2,1,1
19,0,-0.6075258361,-0.6075258270,0.0000000091,0.3812143314,-0.0000000000,0.3812143314,0.0010000000,381.2143314040,true,false,false,false,true,true,41.4560270000,2.9236760000,22.1890520000,25.1127280000,28.5126740000,95.0856870000,2,2,2,1,1
21,0,-0.6994139453,-0.6994139288,0.0000000166,0.3635840097,-0.0000000000,0.3635840097,0.0010000000,363.5840096540,true,false,false,false,true,true,37.3168900000,2.2425590000,21.5872710000,23.8298300000,35.1614090000,96.3117960000,2,2,2,1,1
23,1,0.5245340799,0.5245340774,0.0000000025,0.6027559409,0.0000000000,0.6027559409,0.0010000000,602.7559409020,true,true,false,true,true,false,34.3976930000,4.1778050000,19.8439800000,24.0217850000,46.5280510000,104.9515760000,2,2,2,1,1
25,0,-0.8496086357,-0.8496086441,0.0000000085,0.3350802072,0.0000000000,0.3350802072,0.0010000000,335.0802072010,true,false,false,false,true,true,33.7733060000,2.5386840000,29.6486600000,32.1873440000,37.3511500000,103.3155170000,2,2,2,1,1
27,1,0.2786565470,0.2786565545,0.0000000075,0.5548087896,-0.0000000000,0.5548087896,0.0010000000,554.8087896270,true,true,false,true,true,false,49.6652230000,7.4113690000,26.8548820000,34.2662510000,35.6298640000,119.5660970000,2,2,2,1,1
28,1,1.0047469057,1.0047469122,0.0000000065,0.6938779067,0.0000000000,0.6938779067,0.0010000000,693.8779067300,true,true,false,true,true,false,42.1013300000,2.9848910000,23.5444540000,26.5293450000,39.3866990000,108.0227950000,2,2,2,1,1
