row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.2045274093,-0.2045274051,0.0000000042,0.4597423231,0.0000000000,0.4597423231,0.0010000000,459.7423230900,true,false,false,false,true,true,158.6572830000,11.6871070000,17.1977940000,28.8849010000,38.5378160000,226.0850000000,2,2,2,1,1
3,1,0.1354352218,0.1354352211,0.0000000007,0.5266708017,0.0000000000,0.5266708017,0.0010000000,526.6708017040,true,true,false,true,true,false,138.1631540000,11.2482190000,20.8249260000,32.0731450000,31.2719460000,201.5128430000,2,2,2,1,1
4,1,0.3254739935,0.3254739985,0.0000000049,0.5639804626,-0.0000000000,0.5639804626,0.0010000000,563.9804625610,true,true,false,true,true,false,161.5029980000,8.5267820000,22.1200520000,30.6468340000,76.3842560000,268.5390360000,2,2,2,1,1
6,0,-0.2373932027,-0.2373931987,0.0000000040,0.4532870528,0.0000000000,0.4532870528,0.0010000000,453.2870527570,true,false,false,false,true,true,184.3265340000,9.7088250000,17.7654130000,27.4742380000,28.4373280000,240.2420580000,2,2,2,1,1
12,0,-0.0863872339,-0.0863872384,0.0000000045,0.4829842937,0.0000000000,0.4829842937,0.0010000000,482.9842936630,true,false,false,false,true,true,151.7238060000,11.8166350000,30.1309350000,41.9475700000,32.6061300000,226.2820150000,2,2,2,1,1
14,0,-0.3829112556,-0.3829112512,0.0000000044,0.4247910540,0.0000000000,0.4247910540,0.0010000000,424.7910540130,true,false,false,false,true,true,128.8327530000,8.5807180000,19.9943180000,28.5750360000,28.9697460000,186.3822020000,2,2,2,1,1
20,1,0.7780266988,0.7780267086,0.0000000099,0.6513874219,0.0000000000,0.6513874219,0.0010000000,651.3874219160,true,true,false,true,true,false,139.4737670000,7.3625070000,19.8316460000,27.1941530000,36.6551550000,203.3275530000,2,2,2,1,1
21,0,-0.3044321659,-0.3044321779,0.0000000120,0.4401397211,0.0000000000,0.4401397211,0.0010000000,440.1397211200,true,false,false,false,true,true,157.1285390000,10.0171240000,26.8451990000,36.8623230000,37.3996900000,231.3943880000,2,2,2,1,1
24,1,0.0519195533,0.0519195491,0.0000000042,0.5102275922,0.0000000000,0.5102275922,0.0010000000,510.2275921760,true,true,false,true,true,false,169.9720270000,7.0786390000,26.9152100000,33.9938490000,37.7366430000,241.7068670000,2,2,2,1,1
25,0,-0.0558642097,-0.0558642067,0.0000000030,0.4889954481,-0.0000000000,0.4889954481,0.0010000000,488.9954480590,true,false,false,false,true,true,163.3068090000,11.1633580000,23.8269240000,34.9902820000,32.2145650000,230.5164770000,2,2,2,1,1
26,0,-0.3430923614,-0.3430923694,0.0000000080,0.4325723497,-0.0000000000,0.4325723497,0.0010000000,432.5723496560,true,false,false,false,true,true,172.6248000000,10.2142090000,32.2664830000,42.4806920000,39.0694750000,254.1814080000,2,2,2,1,1
27,0,-0.1198457681,-0.1198457632,0.0000000049,0.4763972691,-0.0000000000,0.4763972691,0.0010000000,476.3972690580,true,false,false,false,true,true,137.9712330000,10.7940260000,19.3367790000,30.1308050000,39.3915690000,207.4983750000,2,2,2,1,1
30,0,-0.2513059048,-0.2513058978,0.0000000070,0.4505562213,0.0000000000,0.4505562213,0.0010000000,450.5562213070,true,false,false,false,true,true,155.6322260000,11.3841540000,18.5549110000,29.9390650000,34.4924690000,220.0695520000,2,2,2,1,1
31,1,0.0973014244,0.0973014274,0.0000000031,0.5191646958,0.0000000000,0.5191646958,0.0010000000,519.1646957730,true,true,false,true,true,false,146.5948260000,6.7718690000,22.9386170000,29.7104860000,32.9655450000,209.2761060000,2,2,2,1,1
32,0,-0.3916810661,-0.3916810626,0.0000000035,0.4230791875,-0.0000000000,0.4230791875,0.0010000000,423.0791875070,true,false,false,false,true,true,143.2853350000,6.8181700000,17.9964430000,24.8146130000,39.0579480000,207.1631160000,2,2,2,1,1
34,0,-0.1601102427,-0.1601102469,0.0000000042,0.4684747001,-0.0000000000,0.4684747001,0.0010000000,468.4747000770,true,false,false,false,true,true,128.1458530000,9.4680580000,18.8892530000,28.3573110000,34.6724880000,191.1791590000,2,2,2,1,1
35,1,0.2611160235,0.2611160251,0.0000000016,0.5513686434,-0.0000000000,0.5513686434,0.0010000000,551.3686434230,true,true,false,true,true,false,136.5437280000,8.5434730000,17.9602850000,26.5037580000,33.4829450000,196.5349900000,2,2,2,1,1
37,1,-0.0774160709,-0.0774160792,0.0000000083,0.4847508899,-0.0000000000,0.4847508899,0.0010000000,484.7508899290,true,false,false,false,false,false,131.3582820000,6.2860070000,19.0012690000,25.2872760000,27.1393050000,183.7902230000,2,2,2,1,1
40,1,0.0602658081,0.0602658061,0.0000000020,0.5118714887,0.0000000000,0.5118714887,0.0010000000,511.8714886630,true,true,false,true,true,false,120.5919220000,8.0314520000,16.7622060000,24.7936580000,36.7504770000,182.1399460000,2,2,2,1,1
41,0,-0.1388501180,-0.1388501223,0.0000000043,0.4726572345,0.0000000000,0.4726572345,0.0010000000,472.6572345070,true,false,false,false,true,true,127.4251200000,7.4529530000,18.0374200000,25.4903730000,29.4500470000,182.3698970000,2,2,2,1,1
42,1,-0.0437358698,-0.0437358720,0.0000000022,0.4913843683,0.0000000000,0.4913843683,0.0010000000,491.3843682940,true,false,false,false,false,false,137.3352740000,8.3981550000,15.7169250000,24.1150800000,31.3949220000,192.8500450000,2,2,2,1,1
46,1,0.3541498474,0.3541498442,0.0000000032,0.5695898470,-0.0000000000,0.5695898470,0.0010000000,569.5898470450,true,true,false,true,true,false,139.0310160000,7.6506180000,18.5166800000,26.1672980000,34.1934790000,199.3960700000,2,2,2,1,1
48,0,-0.1788574325,-0.1788574331,0.0000000006,0.4647879724,-0.0000000000,0.4647879724,0.0010000000,464.7879723750,true,false,false,false,true,true,121.6266900000,5.5982060000,19.2113630000,24.8095690000,27.7454940000,174.1858800000,2,2,2,1,1
49,0,-0.0552385824,-0.0552385894,0.0000000070,0.4891186735,-0.0000000000,0.4891186735,0.0010000000,489.1186734680,true,false,false,false,true,true,134.7322640000,10.4448760000,22.7333230000,33.1781990000,34.8072660000,202.7233290000,2,2,2,1,1
50,1,-0.0369310029,-0.0369310049,0.0000000020,0.4927247939,-0.0000000000,0.4927247939,0.0010000000,492.7247939190,true,false,false,false,false,false,142.5126400000,6.9863210000,22.4487880000,29.4351090000,32.2870310000,204.2389080000,2,2,2,1,1
51,1,0.1606050784,0.1606050783,0.0000000001,0.5316226299,-0.0000000000,0.5316226299,0.0010000000,531.6226298650,true,true,false,true,true,false,140.6386790000,9.2376260000,20.4177170000,29.6553430000,31.4157460000,201.7141750000,2,2,2,1,1
52,0,-0.1181269284,-0.1181269270,0.0000000014,0.4767355885,0.0000000000,0.4767355885,0.0010000000,476.7355884660,true,false,false,false,true,true,137.3755390000,8.3071000000,19.4226190000,27.7297190000,29.4364870000,194.5473160000,2,2,2,1,1
53,0,-0.2911737906,-0.2911737842,0.0000000065,0.4427375086,0.0000000000,0.4427375086,0.0010000000,442.7375086330,true,false,false,false,true,true,131.5304060000,12.5056230000,24.0029300000,36.5085530000,32.0505470000,200.0944950000,2,2,2,1,1
54,1,0.3342227209,0.3342227245,0.0000000036,0.5656925389,0.0000000000,0.5656925389,0.0010000000,565.6925388600,true,true,false,true,true,false,166.3124340000,6.4486160000,20.6253660000,27.0739820000,52.6250920000,246.0161080000,2,2,2,1,1
55,1,0.3337235855,0.3337235825,0.0000000030,0.5655948773,0.0000000000,0.5655948773,0.0010000000,565.5948772530,true,true,false,true,true,false,134.4274080000,7.6512180000,19.7399750000,27.3911930000,37.7927180000,199.6166390000,2,2,2,1,1
56,0,-0.1436243575,-0.1436243707,0.0000000131,0.4717178523,0.0000000000,0.4717178523,0.0010000000,471.7178522710,true,false,false,false,true,true,159.0689860000,8.4391870000,29.3826810000,37.8218680000,48.4898380000,245.3872550000,2,2,2,1,1
59,1,0.1414945498,0.1414945482,0.0000000016,0.5278630950,-0.0000000000,0.5278630950,0.0010000000,527.8630950310,true,true,false,true,true,false,148.3430970000,12.5742430000,24.3400670000,36.9143100000,37.9919670000,223.2540620000,2,2,2,1,1
60,1,0.0992930354,0.0992930383,0.0000000029,0.5195568122,-0.0000000000,0.5195568122,0.0010000000,519.5568122170,true,true,false,true,true,false,166.3189010000,6.0709030000,18.0432560000,24.1141590000,37.5419480000,227.9800560000,2,2,2,1,1
67,1,-0.0178997224,-0.0178997155,0.0000000069,0.4964737776,-0.0000000000,0.4964737776,0.0010000000,496.4737776260,true,false,false,false,false,false,138.3622620000,6.9484400000,21.3401180000,28.2885580000,35.8601010000,202.5157290000,2,2,2,1,1
68,1,0.1777685628,0.1777685671,0.0000000043,0.5349979357,0.0000000000,0.5349979357,0.0010000000,534.9979357390,true,true,false,true,true,false,145.6622860000,10.7793140000,19.5443670000,30.3236810000,32.5444700000,208.5349450000,2,2,2,1,1
69,1,-0.0800354289,-0.0800354268,0.0000000022,0.4842350712,0.0000000000,0.4842350712,0.0010000000,484.2350712210,true,false,false,false,false,false,152.4493830000,7.9763290000,20.7485920000,28.7249210000,33.6114130000,214.7900240000,2,2,2,1,1
71,0,-0.1071276162,-0.1071276163,0.0000000001,0.4789007773,0.0000000000,0.4789007773,0.0010000000,478.9007773350,true,false,false,false,true,true,137.0447390000,8.7420250000,20.0208970000,28.7629220000,36.4026990000,202.2144980000,2,2,2,1,1
72,0,-0.1686469227,-0.1686469299,0.0000000073,0.4667957427,-0.0000000000,0.4667957427,0.0010000000,466.7957427130,true,false,false,false,true,true,129.6696690000,8.3140320000,18.2073540000,26.5213860000,32.7056920000,188.9025280000,2,2,2,1,1
77,0,-0.3953366842,-0.3953366765,0.0000000077,0.4223658236,-0.0000000000,0.4223658236,0.0010000000,422.3658236310,true,false,false,false,true,true,146.0514960000,6.6699920000,20.4811760000,27.1511680000,33.0681720000,206.3016540000,2,2,2,1,1
79,0,-0.1308732590,-0.1308732619,0.0000000029,0.4742269343,-0.0000000000,0.4742269343,0.0010000000,474.2269342660,true,false,false,false,true,true,144.7902590000,7.8495910000,24.5302940000,32.3798850000,29.3512470000,206.5261510000,2,2,2,1,1
85,1,0.1175658720,0.1175658681,0.0000000039,0.5231539769,-0.0000000000,0.5231539769,0.0010000000,523.1539769230,true,true,false,true,true,false,135.9028210000,9.6644060000,23.3674830000,33.0318890000,30.2072290000,199.1465270000,2,2,2,1,1
87,1,-0.0398924544,-0.0398924605,0.0000000061,0.4921414404,0.0000000000,0.4921414404,0.0010000000,492.1414404260,true,false,false,false,false,false,139.1294160000,7.0526460000,21.8546780000,28.9073240000,35.1589360000,203.2001940000,2,2,2,1,1
91,0,-0.1308045838,-0.1308045798,0.0000000041,0.4742404492,0.0000000000,0.4742404492,0.0010000000,474.2404491630,true,false,false,false,true,true,131.3617540000,9.2070980000,19.6557860000,28.8628840000,34.4175100000,194.6471980000,2,2,2,1,1
94,0,-0.2198082607,-0.2198082699,0.0000000092,0.4567402534,0.0000000000,0.4567402534,0.0010000000,456.7402533730,true,false,false,false,true,true,143.2188440000,6.5323780000,18.9302150000,25.4625930000,39.3020470000,207.9886550000,2,2,2,1,1
95,0,-0.1305493175,-0.1305493152,0.0000000022,0.4742906843,0.0000000000,0.4742906843,0.0010000000,474.2906843330,true,false,false,false,true,true,130.9227600000,8.7964780000,17.4042710000,26.2007490000,35.7584900000,192.8869280000,2,2,2,1,1
97,1,-0.0526111916,-0.0526111910,0.0000000006,0.4896361778,0.0000000000,0.4896361778,0.0010000000,489.6361777570,true,false,false,false,false,false,130.2774850000,7.9701970000,18.6714290000,26.6416260000,35.6896120000,192.6142040000,2,2,2,1,1
99,0,-0.0316435427,-0.0316435375,0.0000000051,0.4937663488,-0.0000000000,0.4937663488,0.0010000000,493.7663488360,true,false,false,false,true,true,124.5910520000,7.0523450000,16.5825700000,23.6349150000,26.8068310000,175.0373080000,2,2,2,1,1
100,1,0.0461365831,0.0461365916,0.0000000086,0.5090885140,0.0000000000,0.5090885140,0.0010000000,509.0885140430,true,true,false,true,true,false,168.2094380000,12.1318860000,22.7131540000,34.8450400000,47.3846820000,250.4454460000,2,2,2,1,1
104,1,0.0446788425,0.0446788380,0.0000000046,0.5088013752,-0.0000000000,0.5088013752,0.0010000000,508.8013752280,true,true,false,true,true,false,157.0632810000,7.3248220000,58.1979160000,65.5227380000,48.2313120000,270.8210400000,2,2,2,1,1
105,1,0.0221655044,0.0221654968,0.0000000076,0.5043665608,-0.0000000000,0.5043665608,0.0010000000,504.3665608060,true,true,false,true,true,false,162.7457860000,9.1445350000,31.1160740000,40.2606090000,40.1363080000,243.1476710000,2,2,2,1,1
107,0,-0.2175781221,-0.2175781260,0.0000000039,0.4571783107,0.0000000000,0.4571783107,0.0010000000,457.1783107500,true,false,false,false,true,true,160.8788310000,11.8060560000,22.4409070000,34.2469630000,32.9310260000,228.0611090000,2,2,2,1,1
111,1,0.3351312822,0.3351312702,0.0000000120,0.5658703042,-0.0000000000,0.5658703042,0.0010000000,565.8703042360,true,true,false,true,true,false,147.7981340000,9.4725670000,24.2789170000,33.7514840000,31.9986260000,213.5537130000,2,2,2,1,1
113,1,0.0511032082,0.0511032092,0.0000000010,0.5100667982,-0.0000000000,0.5100667982,0.0010000000,510.0667981810,true,true,false,true,true,false,123.1443680000,8.3658800000,17.3375470000,25.7034270000,50.0694830000,198.9230170000,2,2,2,1,1
117,0,0.0498983550,0.0498983552,0.0000000002,0.5098294790,0.0000000000,0.5098294790,0.0010000000,509.8294789800,true,true,false,true,false,true,135.7742090000,8.0832090000,17.5577390000,25.6409480000,39.7437150000,201.1640030000,2,2,2,1,1
121,1,0.0899980053,0.0899979959,0.0000000094,0.5177266912,-0.0000000000,0.5177266912,0.0010000000,517.7266912350,true,true,false,true,true,false,391.3089310000,71.6230160000,36.8932960000,108.5163120000,40.8892740000,540.7195760000,2,2,2,1,1
124,1,0.2435598192,0.2435598174,0.0000000018,0.5479234912,0.0000000000,0.5479234912,0.0010000000,547.9234911650,true,true,false,true,true,false,157.8468270000,9.8270170000,18.5960480000,28.4230650000,37.7585290000,224.0331090000,2,2,2,1,1
125,0,-0.4566415817,-0.4566415884,0.0000000066,0.4104224868,0.0000000000,0.4104224868,0.0010000000,410.4224868090,true,false,false,false,true,true,142.2009160000,6.8976750000,17.3626440000,24.2603190000,35.9631180000,202.4292810000,2,2,2,1,1
127,1,-0.0282458939,-0.0282459108,0.0000000169,0.4944356490,-0.0000000000,0.4944356490,0.0010000000,494.4356490420,true,false,false,false,false,false,134.1399280000,7.5558590000,21.0267700000,28.5826290000,29.3629740000,192.0912820000,2,2,2,1,1
130,0,0.0518211724,0.0518211792,0.0000000068,0.5102082143,0.0000000000,0.5102082143,0.0010000000,510.2082143190,true,true,false,true,false,true,140.2332720000,7.4514680000,15.3886690000,22.8401370000,39.2265790000,202.3040770000,2,2,2,1,1
132,0,-0.0143954671,-0.0143954782,0.0000000111,0.4971641049,-0.0000000000,0.4971641049,0.0010000000,497.1641049110,true,false,false,false,true,true,129.9518480000,10.8484530000,20.1589510000,31.0074040000,30.4358180000,191.4005200000,2,2,2,1,1
133,1,-0.0188326171,-0.0188326154,0.0000000017,0.4962900012,-0.0000000000,0.4962900012,0.0010000000,496.2900011540,true,false,false,false,false,false,137.9544360000,6.7422030000,22.0911170000,28.8333200000,39.6944370000,206.4862900000,2,2,2,1,1
135,0,-0.1105968654,-0.1105968490,0.0000000163,0.4782178287,0.0000000000,0.4782178287,0.0010000000,478.2178286580,true,false,false,false,true,true,136.2149260000,10.3204680000,16.9514420000,27.2719100000,34.7734020000,198.2651170000,2,2,2,1,1
137,0,0.1248741177,0.1248741311,0.0000000135,0.5245924123,-0.0000000000,0.5245924123,0.0010000000,524.5924122620,true,true,false,true,false,true,137.0943010000,10.8860590000,22.0874500000,32.9735090000,35.7942230000,205.8662710000,2,2,2,1,1
139,1,0.3207787388,0.3207787407,0.0000000018,0.5630613803,-0.0000000000,0.5630613803,0.0010000000,563.0613803080,true,true,false,true,true,false,136.1213760000,8.0788510000,19.8755500000,27.9544010000,33.8854150000,197.9666540000,2,2,2,1,1
142,1,-0.0350608633,-0.0350608513,0.0000000120,0.4930931823,0.0000000000,0.4930931823,0.0010000000,493.0931823240,true,false,false,false,false,false,158.0835460000,26.2892650000,20.1264600000,46.4157250000,38.0183810000,242.5224830000,2,2,2,1,1
144,0,-0.0788452368,-0.0788452292,0.0000000076,0.4844694489,0.0000000000,0.4844694489,0.0010000000,484.4694489440,true,false,false,false,true,true,200.4109940000,6.7380290000,26.4126670000,33.1506960000,37.6444650000,271.2106140000,2,2,2,1,1
151,0,-0.2211730136,-0.2211730181,0.0000000045,0.4564721932,-0.0000000000,0.4564721932,0.0010000000,456.4721932400,true,false,false,false,true,true,149.8121230000,9.5360950000,17.9263920000,27.4624870000,38.2498770000,215.5290960000,2,2,2,1,1
152,0,-0.2119802283,-0.2119802351,0.0000000068,0.4582779969,-0.0000000000,0.4582779969,0.0010000000,458.2779968830,true,false,false,false,true,true,172.4180020000,11.0899420000,22.8040450000,33.8939870000,33.8379270000,240.1544830000,2,2,2,1,1
153,1,-0.0364944480,-0.0364944517,0.0000000037,0.4928107882,-0.0000000000,0.4928107882,0.0010000000,492.8107881690,true,false,false,false,false,false,157.1222420000,7.9659750000,18.4343640000,26.4003390000,31.8588620000,215.3861210000,2,2,2,1,1
154,1,0.5789039169,0.5789039221,0.0000000053,0.6132680399,0.0000000000,0.6132680399,0.0010000000,613.2680399320,true,true,false,true,true,false,141.5293590000,8.9914700000,19.7601320000,28.7516020000,49.8307350000,220.1171970000,2,2,2,1,1
156,1,0.2416941190,0.2416941159,0.0000000031,0.5475572662,-0.0000000000,0.5475572662,0.0010000000,547.5572661930,true,true,false,true,true,false,139.6120110000,9.1342310000,18.4865520000,27.6207830000,35.9592470000,203.1960810000,2,2,2,1,1
158,1,0.3470034885,0.3470034961,0.0000000076,0.5681925545,-0.0000000000,0.5681925545,0.0010000000,568.1925545040,true,true,false,true,true,false,139.8754360000,8.9472810000,19.0593520000,28.0066330000,37.6419000000,205.5277370000,2,2,2,1,1
160,1,-0.0325742688,-0.0325742624,0.0000000065,0.4935830073,0.0000000000,0.4935830073,0.0010000000,493.5830072990,true,false,false,false,false,false,130.7365760000,9.7917560000,18.2796040000,28.0713600000,34.1293190000,192.9424240000,2,2,2,1,1
162,1,0.1586850507,0.1586850413,0.0000000095,0.5312449716,-0.0000000000,0.5312449716,0.0010000000,531.2449716380,true,true,false,true,true,false,141.6526160000,9.7023680000,22.7990210000,32.5013890000,38.6725690000,212.8311430000,2,2,2,1,1
164,0,-0.1903571140,-0.1903571175,0.0000000035,0.4625272395,0.0000000000,0.4625272395,0.0010000000,462.5272395300,true,false,false,false,true,true,159.4928260000,11.7910830000,20.0381300000,31.8292130000,34.1167640000,225.4436220000,2,2,2,1,1
167,1,0.3219574947,0.3219574891,0.0000000056,0.5632921343,0.0000000000,0.5632921343,0.0010000000,563.2921343410,true,true,false,true,true,false,131.6534570000,6.8710940000,18.0844480000,24.9555420000,30.6806270000,187.2942040000,2,2,2,1,1
168,1,-0.0694273742,-0.0694273736,0.0000000006,0.4863241459,0.0000000000,0.4863241459,0.0010000000,486.3241458820,true,false,false,false,false,false,125.5781800000,7.9010480000,18.8554850000,26.7565330000,32.7261810000,185.0652010000,2,2,2,1,1
171,0,-0.0586686074,-0.0586686097,0.0000000023,0.4884430921,-0.0000000000,0.4884430921,0.0010000000,488.4430921000,true,false,false,false,true,true,122.1515950000,9.3003280000,18.6593670000,27.9596950000,37.6886530000,187.8059140000,2,2,2,1,1
172,0,-0.0038634188,-0.0038634217,0.0000000030,0.4992389067,0.0000000000,0.4992389067,0.0010000000,499.2389067330,true,false,false,false,true,true,132.7925740000,8.4005540000,17.4650860000,25.8656400000,28.1787720000,186.8414840000,2,2,2,1,1
175,1,0.0678399059,0.0678399177,0.0000000118,0.5133632126,-0.0000000000,0.5133632126,0.0010000000,513.3632126000,true,true,false,true,true,false,137.1744920000,8.0967850000,18.8260150000,26.9228000000,40.5245440000,204.6271860000,2,2,2,1,1
180,0,-0.1101051339,-0.1101051411,0.0000000072,0.4783146279,-0.0000000000,0.4783146279,0.0010000000,478.3146279030,true,false,false,false,true,true,135.2230710000,10.3254020000,23.3670970000,33.6924990000,31.2107460000,200.1317960000,2,2,2,1,1
187,0,-0.2184992169,-0.2184992052,0.0000000117,0.4569973805,0.0000000000,0.4569973805,0.0010000000,456.9973805460,true,false,false,false,true,true,130.0460290000,8.8943970000,21.2338780000,30.1282750000,31.9921830000,192.1713060000,2,2,2,1,1
189,0,-0.2993651466,-0.2993651458,0.0000000008,0.4411323819,-0.0000000000,0.4411323819,0.0010000000,441.1323819210,true,false,false,false,true,true,139.4471020000,8.2360710000,18.3793610000,26.6154320000,44.6103630000,210.6781670000,2,2,2,1,1
192,0,-0.0294906494,-0.0294906482,0.0000000012,0.4941904447,-0.0000000000,0.4941904447,0.0010000000,494.1904446530,true,false,false,false,true,true,137.8505110000,8.8136850000,28.1638130000,36.9774980000,41.7343250000,216.5670930000,2,2,2,1,1
193,1,0.4328185092,0.4328185057,0.0000000036,0.5849409235,-0.0000000000,0.5849409235,0.0010000000,584.9409235330,true,true,false,true,true,false,174.9120670000,10.1129440000,21.9167700000,32.0297140000,35.7664810000,242.7147030000,2,2,2,1,1
194,0,0.0177751789,0.0177751735,0.0000000054,0.5035016878,0.0000000000,0.5035016878,0.0010000000,503.5016877700,true,true,false,true,false,true,150.2365800000,16.4815300000,18.6740650000,35.1555950000,34.6300680000,220.0268110000,2,2,2,1,1
