row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.5801922437,-0.5801922529,0.0000000093,0.3864833523,0.0000000000,0.3864833523,0.0010000000,386.4833523070,true,false,false,false,true,true,39.7623800000,3.6436380000,21.2320550000,24.8756930000,34.3497620000,98.9913010000,2,2,2,1,1
2,0,-0.4277693732,-0.4277693730,0.0000000002,0.4160425378,-0.0000000000,0.4160425378,0.0010000000,416.0425377920,true,false,false,false,true,true,35.7167870000,2.1416690000,17.4694530000,19.6111220000,30.6541460000,85.9855740000,2,2,2,1,1
3,1,0.3165118513,0.3165118550,0.0000000037,0.5622260024,-0.0000000000,0.5622260024,0.0010000000,562.2260023920,true,true,false,true,true,false,35.9494990000,2.8028200000,23.8219610000,26.6247810000,32.1320810000,94.7108590000,2,2,2,1,1
4,0,-0.2610077043,-0.2610076939,0.0000000103,0.4486526069,-0.0000000000,0.4486526069,0.0010000000,448.6526068840,true,false,false,false,true,true,33.8724760000,2.6627470000,18.4489820000,21.1117290000,32.3930600000,87.3810330000,2,2,2,1,1
7,1,0.2951142454,0.2951142386,0.0000000068,0.5580346975,-0.0000000000,0.5580346975,0.0010000000,558.0346974880,true,true,false,true,true,false,32.8944770000,5.8183330000,19.9806260000,25.7989590000,35.0862990000,93.7835530000,2,2,2,1,1
9,1,0.4085414253,0.4085414145,0.0000000107,0.5802099086,-0.0000000000,0.5802099086,0.0010000000,580.2099085590,true,true,false,true,true,false,34.9950540000,3.6871590000,17.4042020000,21.0913610000,32.2057580000,88.2963400000,2,2,2,1,1
11,0,-0.5469522503,-0.5469523182,0.0000000679,0.3929049045,0.0000000000,0.3929049045,0.0010000000,392.9049045430,true,false,false,false,true,true,49.2846800000,16.4631450000,21.2811420000,37.7442870000,44.1669850000,131.2018540000,2,2,2,1,1
12,0,-0.3109905089,-0.3109905240,0.0000000151,0.4388551797,-0.0000000000,0.4388551797,0.0010000000,438.8551796580,true,false,false,false,true,true,48.7097610000,17.4225510000,44.8094360000,62.2319870000,89.4495300000,200.3963570000,2,2,2,1,1
13,0,-0.2845655330,-0.2845655159,0.0000000171,0.4440327637,0.0000000000,0.4440327637,0.0010000000,444.0327636730,true,false,false,false,true,true,112.2772740000,2.1889380000,39.5645590000,41.7534970000,51.7356290000,205.7710590000,2,2,2,1,1
15,1,0.0794524937,0.0794524695,0.0000000242,0.5156501350,0.0000000000,0.5156501350,0.0010000000,515.6501350140,true,true,false,true,true,false,41.3546830000,3.9970710000,17.6625620000,21.6596330000,34.9788570000,97.9982130000,2,2,2,1,1
16,0,-0.5528559922,-0.5528560222,0.0000000301,0.3917632907,0.0000000000,0.3917632907,0.0010000000,391.7632907240,true,false,false,false,true,true,33.1521200000,5.7133020000,17.1982350000,22.9115370000,40.9386920000,97.0072580000,2,2,2,1,1
18,0,-0.1890970465,-0.1890970467,0.0000000002,0.4627749285,-0.0000000000,0.4627749285,0.0010000000,462.7749285380,true,false,false,false,true,true,32.4916610000,2.4124070000,20.9019400000,23.3143470000,42.8244010000,98.6342860000,2,2,2,1,1
20,0,0.0694755350,0.0694755348,0.0000000002,0.5136853390,0.0000000000,0.5136853390,0.0010000000,513.6853389990,true,true,false,true,false,true,42.7687010000,2.5285060000,21.1015750000,23.6300810000,31.1678960000,97.5704250000,2,2,2,1,1
22,1,0.3044748396,0.3044748296,0.0000000101,0.5598686381,0.0000000000,0.5598686381,0.0010000000,559.8686381350,true,true,false,true,true,false,36.2606690000,4.2882130000,19.8105680000,24.0987810000,32.4611530000,92.8244580000,2,2,2,1,1
25,0,-0.6229205374,-0.6229205330,0.0000000044,0.3782515015,0.0000000000,0.3782515015,0.0010000000,378.2515015470,true,false,false,false,true,true,34.7490210000,4.6410400000,21.5875620000,26.2286020000,33.1785140000,94.1596240000,2,2,2,1,1
26,1,0.1818232935,0.1818232875,0.0000000060,0.5357951447,-0.0000000000,0.5357951447,0.0010000000,535.7951447160,true,true,false,true,true,false,47.8792680000,2.2121710000,27.5935630000,29.8057340000,40.4096000000,118.0995910000,2,2,2,1,1
29,1,0.2465513264,0.2465512724,0.0000000540,0.5485106623,0.0000000000,0.5485106623,0.0010000000,548.5106622840,true,true,false,true,true,false,41.9290260000,2.8913260000,25.1845820000,28.0759080000,36.5919400000,106.6015520000,2,2,2,1,1
31,0,-0.8179717265,-0.8179716905,0.0000000360,0.3410487166,0.0000000000,0.3410487166,0.0010000000,341.0487166000,true,false,false,false,true,true,44.1286740000,2.4122370000,17.6637690000,20.0760060000,39.5606150000,103.7705040000,2,2,2,1,1
34,0,-0.4624172077,-0.4624172481,0.0000000403,0.4092993242,0.0000000000,0.4092993242,0.0010000000,409.2993241580,true,false,false,false,true,true,35.5432830000,4.4798670000,17.0495450000,21.5294120000,33.2444280000,90.3222530000,2,2,2,1,1
35,1,0.4745226872,0.4745226894,0.0000000022,0.5930535729,0.0000000000,0.5930535729,0.0010000000,593.0535729050,true,true,false,true,true,false,31.7398290000,2.7453420000,19.1938540000,21.9391960000,34.0092030000,87.6923360000,2,2,2,1,1
37,0,-0.3777977389,-0.3777976954,0.0000000435,0.4257895394,-0.0000000000,0.4257895394,0.0010000000,425.7895394260,true,false,false,false,true,true,33.8299060000,2.1859120000,19.4125700000,21.5984820000,42.7680520000,98.2011090000,2,2,2,1,1
39,1,0.2794637846,0.2794638352,0.0000000506,0.5549670611,-0.0000000000,0.5549670611,0.0010000000,554.9670610790,true,true,false,true,true,false,32.8337770000,2.2452540000,16.5829950000,18.8282490000,32.3650720000,84.0322970000,2,2,2,1,1
42,1,0.5452660657,0.5452660856,0.0000000199,0.6067689516,0.0000000000,0.6067689516,0.0010000000,606.7689516450,true,true,false,true,true,false,35.2903270000,2.5856520000,18.7229770000,21.3086290000,35.3631250000,91.9666290000,2,2,2,1,1
43,1,0.4974840005,0.4974839732,0.0000000273,0.5975118582,0.0000000000,0.5975118582,0.0010000000,597.5118581790,true,true,false,true,true,false,46.2931410000,2.2941560000,33.2826890000,35.5768450000,46.9562140000,128.8299180000,2,2,2,1,1
44,1,0.3697469350,0.3697469678,0.0000000328,0.5726379496,0.0000000000,0.5726379496,0.0010000000,572.6379496420,true,true,false,true,true,false,30.8412590000,3.7455480000,16.9253740000,20.6709220000,50.0776730000,101.5949220000,2,2,2,1,1
49,1,0.1646846324,0.1646846719,0.0000000394,0.5324250069,-0.0000000000,0.5324250069,0.0010000000,532.4250069210,true,true,false,true,true,false,41.7750610000,2.7024160000,24.0736930000,26.7761090000,33.4725610000,102.0286810000,2,2,2,1,1
50,0,-0.4358244976,-0.4358245042,0.0000000066,0.4144737012,-0.0000000000,0.4144737012,0.0010000000,414.4737012140,true,false,false,false,true,true,31.1644050000,3.4730730000,21.9477580000,25.4208310000,30.2994560000,86.8895500000,2,2,2,1,1
59,0,-0.5445243696,-0.5445243871,0.0000000175,0.3933745199,0.0000000000,0.3933745199,0.0010000000,393.3745198690,true,false,false,false,true,true,32.6548910000,5.4021380000,16.6997290000,22.1018670000,33.7210130000,88.4819090000,2,2,2,1,1
63,1,0.3472449366,0.3472449256,0.0000000110,0.5682397707,0.0000000000,0.5682397707,0.0010000000,568.2397706650,true,true,false,true,true,false,33.3276390000,6.7769880000,22.0948330000,28.8718210000,36.5242230000,98.7294540000,2,2,2,1,1
65,1,0.5115046464,0.5115045922,0.0000000543,0.6002311012,0.0000000000,0.6002311012,0.0010000000,600.2311011700,true,true,false,true,true,false,34.5041370000,3.7752450000,18.4246070000,22.1998520000,32.3842590000,89.0925350000,2,2,2,1,1
66,0,-0.4371763970,-0.4371764273,0.0000000304,0.4142104680,0.0000000000,0.4142104680,0.0010000000,414.2104680110,true,false,false,false,true,true,32.4040660000,2.6919970000,18.4793690000,21.1713660000,31.4606200000,85.0405900000,2,2,2,1,1
69,0,-0.4015954664,-0.4015954482,0.0000000182,0.4211447686,0.0000000000,0.4211447686,0.0010000000,421.1447686480,true,false,false,false,true,true,30.1283500000,2.5556060000,20.1994520000,22.7550580000,34.7043310000,87.5938910000,2,2,2,1,1
70,0,-0.3335211721,-0.3335211485,0.0000000236,0.4344447278,0.0000000000,0.4344447278,0.0010000000,434.4447278280,true,false,false,false,true,true,36.0763720000,2.6501640000,22.0433080000,24.6934720000,33.9833960000,94.7573170000,2,2,2,1,1
73,0,-0.7039780514,-0.7039780330,0.0000000185,0.3627118480,0.0000000000,0.3627118480,0.0010000000,362.7118479890,true,false,false,false,true,true,35.5296810000,2.1831370000,18.3777990000,20.5609360000,30.9883940000,87.0831380000,2,2,2,1,1
74,0,-0.5590670176,-0.5590670753,0.0000000577,0.3905627564,-0.0000000000,0.3905627564,0.0010000000,390.5627563740,true,false,false,false,true,true,33.7642930000,2.9759500000,22.1140600000,25.0900100000,32.4293580000,91.2869470000,2,2,2,1,1
76,1,0.3205334321,0.3205334452,0.0000000131,0.5630133576,-0.0000000000,0.5630133576,0.0010000000,563.0133575580,true,true,false,true,true,false,33.1497860000,6.6576650000,17.2377190000,23.8953840000,33.3880280000,90.4372240000,2,2,2,1,1
77,0,-0.5730884473,-0.5730884662,0.0000000189,0.3878544545,0.0000000000,0.3878544545,0.0010000000,387.8544544820,true,false,false,false,true,true,34.4815590000,2.5770060000,20.1957300000,22.7727360000,33.6191010000,90.8775550000,2,2,2,1,1
78,1,0.3902323878,0.3902323735,0.0000000143,0.5766380800,-0.0000000000,0.5766380800,0.0010000000,576.6380799900,true,true,false,true,true,false,33.0907450000,4.6226900000,16.7261230000,21.3488130000,38.1806670000,92.6236210000,2,2,2,1,1
80,1,0.5003104811,0.5003104869,0.0000000057,0.5980602328,0.0000000000,0.5980602328,0.0010000000,598.0602327590,true,true,false,true,true,false,31.3953780000,5.9638770000,18.2621310000,24.2260080000,29.6413320000,85.2666650000,2,2,2,1,1
82,0,-0.6590585234,-0.6590585563,0.0000000329,0.3713105406,-0.0000000000,0.3713105406,0.0010000000,371.3105406110,true,false,false,false,true,true,33.3991530000,2.2131040000,17.8320690000,20.0451730000,34.6988270000,88.1471800000,2,2,2,1,1
86,0,-0.3811917853,-0.3811917836,0.0000000017,0.4251267779,-0.0000000000,0.4251267779,0.0010000000,425.1267779000,true,false,false,false,true,true,33.6440780000,2.9574700000,17.4436550000,20.4011250000,27.8311190000,81.8800990000,2,2,2,1,1
89,1,0.1855747243,0.1855746781,0.0000000463,0.5365326574,-0.0000000000,0.5365326574,0.0010000000,536.5326574200,true,true,false,true,true,false,52.8029770000,3.2849840000,18.3480470000,21.6330310000,31.7737180000,106.2140450000,2,2,2,1,1
92,0,-0.4981255100,-0.4981255053,0.0000000047,0.4023636721,-0.0000000000,0.4023636721,0.0010000000,402.3636721090,true,false,false,false,true,true,42.0538960000,6.9677810000,18.6836530000,25.6514340000,28.9327700000,96.6425070000,2,2,2,1,1
93,1,0.4196746935,0.4196747087,0.0000000152,0.5823802507,0.0000000000,0.5823802507,0.0010000000,582.3802506940,true,true,false,true,true,false,40.7542570000,3.0967860000,24.1855420000,27.2823280000,32.5497140000,100.5895070000,2,2,2,1,1
94,0,-0.4591193015,-0.4591192826,0.0000000188,0.4099406096,0.0000000000,0.4099406096,0.0010000000,409.9406096230,true,false,false,false,true,true,54.7031580000,3.1244130000,17.5771210000,20.7015340000,31.2856820000,106.6946630000,2,2,2,1,1
97,0,-0.4771983480,-0.4771983222,0.0000000257,0.4064265926,-0.0000000000,0.4064265926,0.0010000000,406.4265925650,true,false,false,false,true,true,33.6918060000,2.6289640000,21.9160240000,24.5449880000,29.8265990000,88.0675720000,2,2,2,1,1
98,1,0.2983740454,0.2983740570,0.0000000117,0.5586734335,-0.0000000000,0.5586734335,0.0010000000,558.6734334660,true,true,false,true,true,false,33.5357650000,2.3834430000,21.7322990000,24.1157420000,32.6070570000,90.2624400000,2,2,2,1,1
99,0,-0.5938380534,-0.5938380434,0.0000000099,0.3838515563,0.0000000000,0.3838515563,0.0010000000,383.8515563250,true,false,false,false,true,true,28.6445750000,6.3083290000,17.4807150000,23.7890440000,30.7854930000,83.2229990000,2,2,2,1,1
100,0,-0.2944432674,-0.2944432741,0.0000000067,0.4420967855,-0.0000000000,0.4420967855,0.0010000000,442.0967855290,true,false,false,false,true,true,34.6503910000,2.2976720000,21.1523390000,23.4500110000,33.9421530000,92.0483370000,2,2,2,1,1
101,0,-0.0648075385,-0.0648075196,0.0000000189,0.4872340037,-0.0000000000,0.4872340037,0.0010000000,487.2340036830,true,false,false,false,true,true,36.4451590000,2.5601650000,21.8986960000,24.4588610000,32.9714610000,93.8808100000,2,2,2,1,1
102,0,-0.2598317316,-0.2598316860,0.0000000456,0.4488833165,0.0000000000,0.4488833165,0.0010000000,448.8833164660,true,false,false,false,true,true,33.9129860000,3.5087140000,27.7214430000,31.2301570000,33.0158340000,98.1637980000,2,2,2,1,1
103,1,0.5626049189,0.5626048693,0.0000000496,0.6101208565,-0.0000000000,0.6101208565,0.0010000000,610.1208565320,true,true,false,true,true,false,34.9317750000,2.1456070000,22.3957830000,24.5413900000,30.9860360000,90.4636280000,2,2,2,1,1
104,0,-0.4552260500,-0.4552260493,0.0000000008,0.4106978155,-0.0000000000,0.4106978155,0.0010000000,410.6978154980,true,false,false,false,true,true,35.6992490000,3.7675400000,17.9228010000,21.6903410000,34.0817130000,91.4762820000,2,2,2,1,1
108,0,-0.5264852878,-0.5264852780,0.0000000098,0.3968661373,0.0000000000,0.3968661373,0.0010000000,396.8661373080,true,false,false,false,true,true,38.0444510000,4.2611270000,20.2516550000,24.5127820000,33.3837690000,95.9465130000,2,2,2,1,1
