row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
1,1,-0.0035887911,0.0000000000,0.0035887911,0.4992930082,0.0000000000,0.4992930082,0.0010000000,499.2930081520,true,false,false,false,false,false,205.5735880000,96.7359020000,1.6232870000,98.3591890000,34.3995160000,338.3362710000,2,2,2,1,1
5,0,-0.0442281113,0.0000000000,0.0442281113,0.4912870621,0.0000000000,0.4912870621,0.0010000000,491.2870620700,true,false,false,false,true,true,65.2714200000,58.7266450000,1.2033490000,59.9299940000,34.8513940000,160.0556820000,2,2,2,1,1
9,1,-0.0183517919,0.0000000000,0.0183517919,0.4963846970,0.0000000000,0.4963846970,0.0010000000,496.3846969880,true,false,false,false,false,false,58.6662850000,48.4625420000,1.2229450000,49.6854870000,38.3844290000,146.7392170000,2,2,2,1,1
11,1,0.0879106280,-0.0000000000,0.0879106280,0.5173183937,0.0000000000,0.5173183937,0.0010000000,517.3183937230,true,true,false,true,true,false,69.0156480000,58.1851170000,1.1971970000,59.3823140000,32.3176280000,160.7179240000,2,2,2,1,1
14,1,0.0039021665,-0.0000000000,0.0039021665,0.5007687268,-0.0000000000,0.5007687268,0.0010000000,500.7687267990,true,true,false,true,true,false,66.3734490000,63.6847430000,1.2489940000,64.9337370000,34.5853200000,167.0973980000,2,2,2,1,1
16,0,-0.0486688507,0.0000000000,0.0486688507,0.4904122364,0.0000000000,0.4904122364,0.0010000000,490.4122364200,true,false,false,false,true,true,64.8719170000,53.6351740000,1.6626400000,55.2978140000,45.2471980000,165.4204350000,2,2,2,1,1
17,1,0.0657332713,0.0000000000,0.0657332713,0.5129494544,0.0000000000,0.5129494544,0.0010000000,512.9494544400,true,true,false,true,true,false,67.9773040000,56.2186720000,1.2143690000,57.4330410000,36.5922000000,162.0050300000,2,2,2,1,1
18,1,0.0878281263,-0.0000000000,0.0878281263,0.5173021409,0.0000000000,0.5173021409,0.0010000000,517.3021408880,true,true,false,true,true,false,68.4781080000,50.0084480000,1.2965640000,51.3050120000,100.4488460000,220.2346410000,2,2,2,1,1
20,1,0.0004263497,0.0000000000,0.0004263497,0.5000839909,-0.0000000000,0.5000839909,0.0010000000,500.0839908920,true,true,false,true,true,false,132.9817640000,64.4094870000,3.4950950000,67.9045820000,35.7574380000,236.6475710000,2,2,2,1,1
22,1,0.0511559047,-0.0000000000,0.0511559047,0.5100777132,-0.0000000000,0.5100777132,0.0010000000,510.0777132260,true,true,false,true,true,false,68.4765310000,65.3533450000,1.2096700000,66.5630150000,36.9958730000,172.0382050000,2,2,2,1,1
28,1,0.0547109332,0.0000000000,0.0547109332,0.5107780538,-0.0000000000,0.5107780538,0.0010000000,510.7780538460,true,true,false,true,true,false,75.4465210000,56.8731350000,1.4158270000,58.2889620000,31.7936350000,165.5334070000,2,2,2,1,1
29,1,0.0074758413,-0.0000000000,0.0074758413,0.5014727407,0.0000000000,0.5014727407,0.0010000000,501.4727407440,true,true,false,true,true,false,72.6371540000,51.4168260000,1.3491520000,52.7659780000,35.1774700000,160.5832260000,2,2,2,1,1
31,0,-0.0425215916,0.0000000000,0.0425215916,0.4916232465,0.0000000000,0.4916232465,0.0010000000,491.6232464550,true,false,false,false,true,true,70.1456140000,52.5489310000,1.7599230000,54.3088540000,35.3040420000,159.7620560000,2,2,2,1,1
32,0,-0.0192894461,0.0000000000,0.0192894461,0.4961999791,-0.0000000000,0.4961999791,0.0010000000,496.1999791200,true,false,false,false,true,true,71.4742820000,62.0595890000,1.2431130000,63.3027020000,28.8783240000,163.6578530000,2,2,2,1,1
35,0,-0.0056787023,0.0000000000,0.0056787023,0.4988812957,-0.0000000000,0.4988812957,0.0010000000,498.8812956550,true,false,false,false,true,true,77.4475460000,74.8379930000,1.2204000000,76.0583930000,38.2203410000,191.7288970000,2,2,2,1,1
36,1,0.0429001897,-0.0000000000,0.0429001897,0.5084513374,0.0000000000,0.5084513374,0.0010000000,508.4513373690,true,true,false,true,true,false,84.5403670000,72.3644370000,6.3213430000,78.6857800000,33.5751540000,196.8061000000,2,2,2,1,1
37,0,-0.0473080997,0.0000000000,0.0473080997,0.4906803044,-0.0000000000,0.4906803044,0.0010000000,490.6803043670,true,false,false,false,true,true,85.5794770000,85.3320270000,1.2275940000,86.5596210000,35.2595490000,207.4021440000,2,2,2,1,1
41,1,0.0368223355,0.0000000000,0.0368223355,0.5072540001,0.0000000000,0.5072540001,0.0010000000,507.2540001010,true,true,false,true,true,false,78.7984110000,60.6553430000,1.3975130000,62.0528560000,33.9388210000,174.7936240000,2,2,2,1,1
42,1,0.1912896918,-0.0000000000,0.1912896918,0.5376840693,0.0000000000,0.5376840693,0.0010000000,537.6840692890,true,true,false,true,true,false,63.5781430000,68.2226390000,5.6373790000,73.8600180000,31.5969610000,169.0403430000,2,2,2,1,1
45,1,0.0489710657,-0.0000000000,0.0489710657,0.5096472999,-0.0000000000,0.5096472999,0.0010000000,509.6472999380,true,true,false,true,true,false,81.6217540000,50.3315000000,1.3991350000,51.7306350000,30.1882670000,163.5437130000,2,2,2,1,1
47,1,0.0126230634,-0.0000000000,0.0126230634,0.5024867435,-0.0000000000,0.5024867435,0.0010000000,502.4867434820,true,true,false,true,true,false,63.8394440000,50.2569390000,1.2202800000,51.4772190000,32.9925650000,148.3122530000,2,2,2,1,1
48,0,-0.0365502151,0.0000000000,0.0365502151,0.4927996076,0.0000000000,0.4927996076,0.0010000000,492.7996076160,true,false,false,false,true,true,70.2932050000,47.4548460000,2.3254040000,49.7802500000,32.0485430000,152.1260360000,2,2,2,1,1
49,0,0.0295517311,-0.0000000000,0.0295517311,0.5058216910,0.0000000000,0.5058216910,0.0010000000,505.8216910170,true,true,false,true,false,true,59.0745970000,54.6413270000,1.8206470000,56.4619740000,33.9139090000,149.4542770000,2,2,2,1,1
50,1,0.0178909068,0.0000000000,0.0178909068,0.5035245086,0.0000000000,0.5035245086,0.0010000000,503.5245086330,true,true,false,true,true,false,66.3648330000,49.4799360000,1.1940900000,50.6740260000,33.6611950000,150.7029510000,2,2,2,1,1
51,0,-0.1008437501,0.0000000000,0.1008437501,0.4801337812,-0.0000000000,0.4801337812,0.0010000000,480.1337812270,true,false,false,false,true,true,68.8860600000,55.6328430000,1.2043600000,56.8372030000,30.2173370000,155.9431040000,2,2,2,1,1
54,0,-0.0386972391,-0.0000000000,0.0386972391,0.4923766439,-0.0000000000,0.4923766439,0.0010000000,492.3766438920,true,false,false,false,true,true,73.3613130000,55.7748940000,1.2045100000,56.9794040000,27.6717200000,158.0155830000,2,2,2,1,1
55,1,0.1919910371,-0.0000000000,0.1919910371,0.5378222343,-0.0000000000,0.5378222343,0.0010000000,537.8222343040,true,true,false,true,true,false,58.8657000000,55.1137130000,1.2343060000,56.3480190000,32.4809850000,147.6972800000,2,2,2,1,1
56,1,0.0990645585,0.0000000000,0.0990645585,0.5195157180,0.0000000000,0.5195157180,0.0010000000,519.5157180320,true,true,false,true,true,false,73.7478930000,56.1632630000,3.6124750000,59.7757380000,33.7630810000,167.2901080000,2,2,2,1,1
57,1,0.0243072741,-0.0000000000,0.0243072741,0.5047885330,-0.0000000000,0.5047885330,0.0010000000,504.7885330030,true,true,false,true,true,false,69.5845050000,60.0120560000,1.2981060000,61.3101620000,33.5703190000,164.4677620000,2,2,2,1,1
58,0,-0.0416964167,0.0000000000,0.0416964167,0.4917858059,-0.0000000000,0.4917858059,0.0010000000,491.7858059010,true,false,false,false,true,true,69.4107990000,52.6761800000,2.2831540000,54.9593340000,32.8800890000,157.2544500000,2,2,2,1,1
59,0,0.0135564952,0.0000000000,0.0135564952,0.5026706295,-0.0000000000,0.5026706295,0.0010000000,502.6706295490,true,true,false,true,false,true,68.5827100000,57.1865440000,3.3080730000,60.4946170000,31.7163560000,160.7983710000,2,2,2,1,1
60,1,-0.0072488071,0.0000000000,0.0072488071,0.4985719850,0.0000000000,0.4985719850,0.0010000000,498.5719850080,true,false,false,false,false,false,66.2400380000,55.0025550000,1.9509710000,56.9535260000,32.4362710000,155.6333520000,2,2,2,1,1
61,0,-0.0390148075,0.0000000000,0.0390148075,0.4923140829,-0.0000000000,0.4923140829,0.0010000000,492.3140829210,true,false,false,false,true,true,70.7909340000,62.2335900000,1.2909420000,63.5245320000,36.5560870000,170.8746810000,2,2,2,1,1
63,0,-0.0506788334,0.0000000000,0.0506788334,0.4900162698,-0.0000000000,0.4900162698,0.0010000000,490.0162698110,true,false,false,false,true,true,60.1329630000,50.4907580000,1.9940620000,52.4848200000,29.0408540000,141.6621440000,2,2,2,1,1
66,0,-0.0136802159,0.0000000000,0.0136802159,0.4973049975,0.0000000000,0.4973049975,0.0010000000,497.3049974700,true,false,false,false,true,true,64.3875820000,51.7495050000,1.5363940000,53.2858990000,31.3878040000,149.0644900000,2,2,2,1,1
67,0,-0.0436797047,0.0000000000,0.0436797047,0.4913950982,0.0000000000,0.4913950982,0.0010000000,491.3950981670,true,false,false,false,true,true,62.3096030000,58.1330250000,1.2511580000,59.3841830000,35.0174550000,156.7136250000,2,2,2,1,1
