row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
1,1,-0.0035887911,-0.0000000000,0.0035887911,0.4992930082,0.0000000000,0.4992930082,0.0010000000,499.2930081520,true,false,false,false,false,false,76.6420650000,132.7364140000,0.6340200000,133.3704340000,1.1759670000,211.1905390000,2,0,0,1,1
5,0,-0.0442281113,0.0000000000,0.0442281113,0.4912870621,0.0000000000,0.4912870621,0.0010000000,491.2870620700,true,false,false,false,true,true,153.9072890000,97.1430480000,0.5663430000,97.7093910000,1.1517720000,252.7719070000,2,0,0,1,1
9,1,-0.0183517919,-0.0000000000,0.0183517919,0.4963846970,-0.0000000000,0.4963846970,0.0010000000,496.3846969880,true,false,false,false,false,false,83.8241430000,84.1824550000,11.6316480000,95.8141030000,2.2400840000,181.8818870000,2,0,0,1,1
11,1,0.0879106280,0.0000000000,0.0879106280,0.5173183937,-0.0000000000,0.5173183937,0.0010000000,517.3183937230,true,true,false,true,true,false,122.7534240000,75.0225200000,0.5650610000,75.5875810000,1.1270150000,199.4709950000,2,0,0,1,1
14,1,0.0039021665,-0.0000000000,0.0039021665,0.5007687268,-0.0000000000,0.5007687268,0.0010000000,500.7687267990,true,true,false,true,true,false,73.0581040000,55.7080990000,0.5593890000,56.2674880000,1.1889310000,130.5174590000,2,0,0,1,1
16,0,-0.0486688507,-0.0000000000,0.0486688507,0.4904122364,0.0000000000,0.4904122364,0.0010000000,490.4122364200,true,false,false,false,true,true,61.2144580000,109.4610340000,0.5542600000,110.0152940000,1.2867250000,172.5189610000,2,0,0,1,1
17,1,0.0657332713,-0.0000000000,0.0657332713,0.5129494544,0.0000000000,0.5129494544,0.0010000000,512.9494544400,true,true,false,true,true,false,59.7418790000,58.0363030000,0.6123890000,58.6486920000,1.3333120000,119.7265590000,2,0,0,1,1
18,1,0.0878281263,-0.0000000000,0.0878281263,0.5173021409,0.0000000000,0.5173021409,0.0010000000,517.3021408880,true,true,false,true,true,false,60.8404300000,114.2983020000,0.5577170000,114.8560190000,1.1315740000,176.8304870000,2,0,0,1,1
20,1,0.0004263497,-0.0000000000,0.0004263497,0.5000839909,-0.0000000000,0.5000839909,0.0010000000,500.0839908920,true,true,false,true,true,false,79.9519910000,60.2154930000,0.5774440000,60.7929370000,1.1911760000,141.9389990000,2,0,0,1,1
22,1,0.0511559047,-0.0000000000,0.0511559047,0.5100777132,-0.0000000000,0.5100777132,0.0010000000,510.0777132260,true,true,false,true,true,false,112.9678580000,69.3928710000,0.6526050000,70.0454760000,1.1416020000,184.1589350000,2,0,0,1,1
