row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
0,0,-0.0880510556,-0.0000000000,0.0880510556,0.4826539420,-0.0000000000,0.4826539420,0.0010000000,482.6539420480,true,false,false,false,true,true,157.3245910000,92.4555160000,0.6586770000,93.1141930000,1.1523830000,251.5938810000,2,0,0,1,1
3,1,0.0964384048,-0.0000000000,0.0964384048,0.5189983657,-0.0000000000,0.5189983657,0.0010000000,518.9983657470,true,true,false,true,true,false,153.5514260000,80.8882280000,0.5697700000,81.4579980000,1.8945350000,236.9078760000,2,0,0,1,1
6,0,-0.0771548939,-0.0000000000,0.0771548939,0.4848004859,0.0000000000,0.4848004859,0.0010000000,484.8004859000,true,false,false,false,true,true,308.1577360000,355.9664510000,0.9089650000,356.8754160000,1.7827250000,666.8183330000,2,0,0,1,1
8,0,-0.0802911600,-0.0000000000,0.0802911600,0.4841826415,0.0000000000,0.4841826415,0.0010000000,484.1826414850,true,false,false,false,true,true,238.6162410000,114.3304880000,0.8235150000,115.1540030000,3.1697190000,356.9431490000,2,0,0,1,1
9,0,-0.0636100004,0.0000000000,0.0636100004,0.4874688299,-0.0000000000,0.4874688299,0.0010000000,487.4688299280,true,false,false,false,true,true,225.6730460000,108.7518040000,0.5494510000,109.3012550000,4.7569770000,339.7343640000,2,0,0,1,1
10,1,0.0724161790,0.0000000000,0.0724161790,0.5142659873,0.0000000000,0.5142659873,0.0010000000,514.2659872690,true,true,false,true,true,false,190.8024930000,109.1760830000,0.5707510000,109.7468340000,1.2929460000,301.8452690000,2,0,0,1,1
11,0,-0.0470139324,0.0000000000,0.0470139324,0.4907382553,-0.0000000000,0.4907382553,0.0010000000,490.7382553170,true,false,false,false,true,true,156.9919380000,107.2073380000,0.5640780000,107.7714160000,2.3506730000,267.1166030000,2,0,0,1,1
12,0,-0.1075231866,0.0000000000,0.1075231866,0.4788179322,-0.0000000000,0.4788179322,0.0010000000,478.8179322440,true,false,false,false,true,true,121.6495470000,69.3508920000,0.5529180000,69.9038100000,33.6490470000,225.2049480000,2,0,0,1,1
13,0,-0.1235315660,-0.0000000000,0.1235315660,0.4756642815,-0.0000000000,0.4756642815,0.0010000000,475.6642815030,true,false,false,false,true,true,198.0438830000,79.5627950000,0.5921820000,80.1549770000,1.2167490000,279.4185930000,2,0,0,1,1
15,1,0.0921228130,0.0000000000,0.0921228130,0.5181481942,0.0000000000,0.5181481942,0.0010000000,518.1481941560,true,true,false,true,true,false,167.2956440000,73.0232680000,0.6866280000,73.7098960000,1.2236560000,242.2324930000,2,0,0,1,1
18,0,-0.1078979585,0.0000000000,0.1078979585,0.4787441022,0.0000000000,0.4787441022,0.0010000000,478.7441021810,true,false,false,false,true,true,125.0176870000,88.0358730000,0.5517750000,88.5876480000,1.2115440000,214.8193230000,2,0,0,1,1
20,1,0.6299824406,-0.0000000000,0.6299824406,0.6241065408,0.0000000000,0.6241065408,0.0010000000,624.1065407990,true,true,false,true,true,false,133.0322290000,87.6717020000,0.5792470000,88.2509490000,1.2286050000,222.5148890000,2,0,0,1,1
21,0,-0.1970965714,0.0000000000,0.1970965714,0.4611719754,0.0000000000,0.4611719754,0.0010000000,461.1719754280,true,false,false,false,true,true,135.8653260000,82.1587320000,0.5597900000,82.7185220000,1.3222110000,219.9090460000,2,0,0,1,1
22,0,-0.1251893178,-0.0000000000,0.1251893178,0.4753377044,0.0000000000,0.4753377044,0.0010000000,475.3377043930,true,false,false,false,true,true,137.9023530000,69.5524450000,0.5593090000,70.1117540000,1.1274560000,209.1437070000,2,0,0,1,1
24,1,0.2120910305,-0.0000000000,0.2120910305,0.5417819330,-0.0000000000,0.5417819330,0.0010000000,541.7819330160,true,true,false,true,true,false,137.4002360000,82.6894270000,0.6807780000,83.3702050000,1.3065120000,222.0798380000,2,0,0,1,1
25,0,-0.0781419470,-0.0000000000,0.0781419470,0.4846060364,0.0000000000,0.4846060364,0.0010000000,484.6060364460,true,false,false,false,true,true,129.1209800000,71.5446530000,0.5848480000,72.1295010000,1.3879950000,202.6413010000,2,0,0,1,1
31,1,0.0767596681,0.0000000000,0.0767596681,0.5151216546,0.0000000000,0.5151216546,0.0010000000,515.1216546250,true,true,false,true,true,false,145.4861300000,75.4101670000,0.5594700000,75.9696370000,1.1333370000,222.5920100000,2,0,0,1,1
32,0,-0.1415920133,-0.0000000000,0.1415920133,0.4721063734,-0.0000000000,0.4721063734,0.0010000000,472.1063733830,true,false,false,false,true,true,135.8866110000,68.4701490000,0.6782220000,69.1483710000,1.1559090000,206.1935360000,2,0,0,1,1
35,1,0.1472224320,-0.0000000000,0.1472224320,0.5290028191,-0.0000000000,0.5290028191,0.0010000000,529.0028191020,true,true,false,true,true,false,137.5506330000,73.5051980000,0.8695520000,74.3747500000,1.2300690000,213.1589780000,2,0,0,1,1
36,1,0.0121216200,0.0000000000,0.0121216200,0.5023879591,0.0000000000,0.5023879591,0.0010000000,502.3879591440,true,true,false,true,true,false,133.2359710000,77.4840290000,1.0012990000,78.4853280000,1.4670830000,213.1925500000,2,0,0,1,1
37,1,-0.0174795244,-0.0000000000,0.0174795244,0.4965565337,0.0000000000,0.4965565337,0.0010000000,496.5565336850,true,false,false,false,false,false,124.2869920000,64.2357270000,0.5705510000,64.8062780000,1.3144070000,190.4106320000,2,0,0,1,1
39,1,0.3828904025,-0.0000000000,0.3828904025,0.5754294093,-0.0000000000,0.5754294093,0.0010000000,575.4294092880,true,true,false,true,true,false,117.3597770000,61.5049630000,0.6677030000,62.1726660000,1.5374960000,181.0732950000,2,0,0,1,1
42,1,-0.0007815783,0.0000000000,0.0007815783,0.4998460291,0.0000000000,0.4998460291,0.0010000000,499.8460290830,true,false,false,false,false,false,123.5673710000,70.8788390000,0.5535980000,71.4324370000,1.2365100000,196.2384940000,2,0,0,1,1
45,0,-0.0529334523,-0.0000000000,0.0529334523,0.4895721099,0.0000000000,0.4895721099,0.0010000000,489.5721098950,true,false,false,false,true,true,119.7951680000,80.8570240000,0.6860670000,81.5430910000,1.1639050000,202.5052900000,2,0,0,1,1
47,1,0.0420580203,0.0000000000,0.0420580203,0.5082854300,-0.0000000000,0.5082854300,0.0010000000,508.2854300070,true,true,false,true,true,false,125.5505330000,67.1119750000,0.5571250000,67.6691000000,1.1990000000,194.4214590000,2,0,0,1,1
48,0,-0.0860314596,0.0000000000,0.0860314596,0.4830518025,-0.0000000000,0.4830518025,0.0010000000,483.0518024560,true,false,false,false,true,true,164.4034320000,91.5348630000,0.7567900000,92.2916530000,2.4096320000,259.1079230000,2,0,0,1,1
51,1,0.0108541488,0.0000000000,0.0108541488,0.5021382673,0.0000000000,0.5021382673,0.0010000000,502.1382673200,true,true,false,true,true,false,165.5511900000,92.2010680000,0.5528580000,92.7539260000,7.9667910000,266.2749120000,2,0,0,1,1
53,0,-0.1162112819,0.0000000000,0.1162112819,0.4771063775,-0.0000000000,0.4771063775,0.0010000000,477.1063774670,true,false,false,false,true,true,175.5993970000,99.8561540000,0.5516650000,100.4078190000,1.1303410000,277.1404630000,2,0,0,1,1
56,0,-0.0515219462,-0.0000000000,0.0515219462,0.4898501766,-0.0000000000,0.4898501766,0.0010000000,489.8501766000,true,false,false,false,true,true,150.4385890000,65.0543640000,0.5480590000,65.6024230000,1.2116340000,217.2550590000,2,0,0,1,1
57,1,0.1841929041,-0.0000000000,0.1841929041,0.5362860021,-0.0000000000,0.5362860021,0.0010000000,536.2860021040,true,true,false,true,true,false,129.6935130000,68.5397850000,0.5477480000,69.0875330000,1.1997720000,199.9844640000,2,0,0,1,1
58,1,0.0271848984,-0.0000000000,0.0271848984,0.5053554250,-0.0000000000,0.5053554250,0.0010000000,505.3554249900,true,true,false,true,true,false,127.6757970000,69.6953840000,0.5466060000,70.2419900000,1.1131890000,199.0334090000,2,0,0,1,1
59,1,0.0917280687,0.0000000000,0.0917280687,0.5180704295,0.0000000000,0.5180704295,0.0010000000,518.0704295290,true,true,false,true,true,false,141.6499710000,68.1435960000,0.5476880000,68.6912840000,1.6510280000,211.9947780000,2,0,0,1,1
61,1,0.1519300133,-0.0000000000,0.1519300133,0.5299302126,0.0000000000,0.5299302126,0.0010000000,529.9302126190,true,true,false,true,true,false,125.8169390000,71.3281730000,0.5503030000,71.8784760000,1.1876190000,198.8860080000,2,0,0,1,1
62,0,-0.1059674747,-0.0000000000,0.1059674747,0.4791244075,0.0000000000,0.4791244075,0.0010000000,479.1244074840,true,false,false,false,true,true,133.7355880000,71.6056330000,0.7576320000,72.3632650000,1.3566260000,207.4591160000,2,0,0,1,1
64,1,0.2897978340,-0.0000000000,0.2897978340,0.5570901733,-0.0000000000,0.5570901733,0.0010000000,557.0901732920,true,true,false,true,true,false,130.7963220000,67.4680230000,0.5548910000,68.0229140000,1.1870070000,200.0090600000,2,0,0,1,1
65,0,-0.0398685039,0.0000000000,0.0398685039,0.4921459047,-0.0000000000,0.4921459047,0.0010000000,492.1459047340,true,false,false,false,true,true,130.8133250000,68.5153620000,2.1289250000,70.6442870000,2.1524500000,203.6138000000,2,0,0,1,1
68,1,0.0825861414,0.0000000000,0.0825861414,0.5162694699,-0.0000000000,0.5162694699,0.0010000000,516.2694698640,true,true,false,true,true,false,147.6873860000,67.6241210000,0.5513240000,68.1754450000,1.1216050000,216.9871820000,2,0,0,1,1
70,1,0.1263577516,-0.0000000000,0.1263577516,0.5248924771,-0.0000000000,0.5248924771,0.0010000000,524.8924770590,true,true,false,true,true,false,117.8278410000,66.6567700000,0.8971140000,67.5538840000,4.7335740000,190.1186650000,2,0,0,1,1
71,0,-0.0061063513,-0.0000000000,0.0061063513,0.4987970488,0.0000000000,0.4987970488,0.0010000000,498.7970487880,true,false,false,false,true,true,133.3379920000,67.4849350000,0.5587680000,68.0437030000,1.1369530000,202.5209440000,2,0,0,1,1
75,0,-0.1798144964,0.0000000000,0.1798144964,0.4645765442,0.0000000000,0.4645765442,0.0010000000,464.5765442010,true,false,false,false,true,true,128.0456310000,77.5074040000,0.5504930000,78.0578970000,1.1423230000,207.2489360000,2,0,0,1,1
76,0,-0.1060921855,-0.0000000000,0.1060921855,0.4790998395,0.0000000000,0.4790998395,0.0010000000,479.0998394620,true,false,false,false,true,true,125.4017490000,73.4314950000,0.5494420000,73.9809370000,1.1257220000,200.5108120000,2,0,0,1,1
