row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
1,1,0.0274109587,0.0000000000,0.0274109587,0.5053999589,-0.0000000000,0.5053999589,0.0010000000,505.3999588660,true,true,false,true,true,false,158.5254950000,94.0154230000,1.5117570000,95.5271800000,40.6368310000,294.6921710000,2,2,2,1,1
3,0,-0.0604806347,0.0000000000,0.0604806347,0.4880853150,0.0000000000,0.4880853150,0.0010000000,488.0853149710,true,false,false,false,true,true,78.9144040000,109.8763020000,1.3391740000,111.2154760000,60.4744550000,250.6078710000,2,2,2,1,1
5,0,-0.0777147107,-0.0000000000,0.0777147107,0.4846902020,-0.0000000000,0.4846902020,0.0010000000,484.6902020010,true,false,false,false,true,true,108.6556330000,225.2462110000,1.9329670000,227.1791780000,75.7101100000,411.5475360000,2,2,2,1,1
6,1,0.0928481128,0.0000000000,0.0928481128,0.5182910782,-0.0000000000,0.5182910782,0.0010000000,518.2910782290,true,true,false,true,true,false,86.2268920000,70.6230740000,3.3010450000,73.9241190000,38.5793090000,198.7349690000,2,2,2,1,1
9,0,-0.6024123911,-0.0000000000,0.6024123911,0.3813247589,0.0000000000,0.3813247589,0.0010000000,381.3247589470,true,false,false,false,true,true,70.3876080000,55.7161450000,1.2001530000,56.9162980000,31.1790770000,158.4857770000,2,2,2,1,1
12,0,-0.0334904213,-0.0000000000,0.0334904213,0.4934023870,0.0000000000,0.4934023870,0.0010000000,493.4023869990,true,false,false,false,true,true,74.4977400000,63.1844500000,1.6597150000,64.8441650000,44.2460440000,183.5911740000,2,2,2,1,1
13,0,0.0160075371,0.0000000000,0.0160075371,0.5031534848,0.0000000000,0.5031534848,0.0010000000,503.1534848000,true,true,false,true,false,true,89.8394710000,67.6319110000,5.5254350000,73.1573460000,55.3520910000,218.3531850000,2,2,2,1,1
14,1,0.0347359732,0.0000000000,0.0347359732,0.5068429867,0.0000000000,0.5068429867,0.0010000000,506.8429867270,true,true,false,true,true,false,84.1103600000,73.0389730000,1.3476590000,74.3866320000,35.1065790000,193.6084380000,2,2,2,1,1
15,0,-0.0169490596,-0.0000000000,0.0169490596,0.4966610353,0.0000000000,0.4966610353,0.0010000000,496.6610352530,true,false,false,false,true,true,95.0860970000,77.5990750000,1.7673060000,79.3663810000,33.2223320000,207.6779360000,2,2,2,1,1
18,1,0.0416852168,-0.0000000000,0.0416852168,0.5082119877,0.0000000000,0.5082119877,0.0010000000,508.2119877070,true,true,false,true,true,false,91.8148930000,67.2589410000,10.3416670000,77.6006080000,58.8124500000,228.2332420000,2,2,2,1,1
