row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
1,1,0.0274109587,0.0000000000,0.0274109587,0.5053999589,0.0000000000,0.5053999589,0.0010000000,505.3999588660,true,true,false,true,true,false,102.0709850000,68.3221110000,0.5566750000,68.8787860000,1.1339580000,172.0862340000,2,0,0,1,1
4,0,-0.0086902721,-0.0000000000,0.0086902721,0.4982880164,0.0000000000,0.4982880164,0.0010000000,498.2880164030,true,false,false,false,true,true,66.7781730000,55.5574460000,0.5856190000,56.1430650000,1.1493770000,124.0744030000,2,0,0,1,1
10,1,0.0566663351,-0.0000000000,0.0566663351,0.5111632680,-0.0000000000,0.5111632680,0.0010000000,511.1632680110,true,true,false,true,true,false,77.2694770000,59.5204680000,0.7693640000,60.2898320000,1.2304490000,138.7927440000,2,0,0,1,1
11,1,0.0215452046,-0.0000000000,0.0215452046,0.5042444053,-0.0000000000,0.5042444053,0.0010000000,504.2444053020,true,true,false,true,true,false,66.9235110000,64.2556300000,0.5551020000,64.8107320000,1.1380560000,132.8749730000,2,0,0,1,1
13,0,0.0160075371,0.0000000000,0.0160075371,0.5031534848,-0.0000000000,0.5031534848,0.0010000000,503.1534848000,true,true,false,true,false,true,93.5272070000,81.1796950000,1.6640930000,82.8437880000,2.7530870000,179.1286500000,2,0,0,1,1
14,1,0.0347359732,-0.0000000000,0.0347359732,0.5068429867,-0.0000000000,0.5068429867,0.0010000000,506.8429867270,true,true,false,true,true,false,95.9884400000,56.2356690000,1.0233700000,57.2590390000,1.1460410000,154.3968880000,2,0,0,1,1
16,0,-0.1333122357,-0.0000000000,0.1333122357,0.4737374896,-0.0000000000,0.4737374896,0.0010000000,473.7374895610,true,false,false,false,true,true,68.7514210000,71.3281390000,3.0372400000,74.3653790000,1.3361770000,144.4571440000,2,0,0,1,1
17,1,0.0023665990,0.0000000000,0.0023665990,0.5004662200,-0.0000000000,0.5004662200,0.0010000000,500.4662200100,true,true,false,true,true,false,88.6150530000,59.7846780000,0.6586060000,60.4432840000,1.5229680000,150.5839010000,2,0,0,1,1
19,1,0.0647212259,0.0000000000,0.0647212259,0.5127500815,0.0000000000,0.5127500815,0.0010000000,512.7500815080,true,true,false,true,true,false,71.4174250000,60.2688220000,0.8940880000,61.1629100000,1.3928330000,133.9767070000,2,0,0,1,1
22,1,0.0689711399,-0.0000000000,0.0689711399,0.5135873146,0.0000000000,0.5135873146,0.0010000000,513.5873145560,true,true,false,true,true,false,83.2232910000,63.8863060000,0.5815920000,64.4678980000,1.8684160000,149.5625900000,2,0,0,1,1
