row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
2,0,-0.5690779317,-0.0000000000,0.5690779317,0.3878916474,0.0000000000,0.3878916474,0.0010000000,387.8916474460,true,false,false,false,true,true,39.9054190000,61.3076010000,1.9766090000,63.2842100000,28.5001260000,131.6928710000,2,2,2,1,1
3,1,0.2903630392,0.0000000000,0.2903630392,0.5572015187,0.0000000000,0.5572015187,0.0010000000,557.2015187280,true,true,false,true,true,false,36.7884890000,52.3780430000,1.2507470000,53.6287900000,37.3547680000,127.7754430000,2,2,2,1,1
4,0,-0.3857296660,0.0000000000,0.3857296660,0.4240112558,-0.0000000000,0.4240112558,0.0010000000,424.0112557970,true,false,false,false,true,true,34.3493410000,60.1762240000,1.1834910000,61.3597150000,32.2063790000,127.9187320000,2,2,2,1,1
5,0,-0.6340625082,0.0000000000,0.6340625082,0.3750896859,0.0000000000,0.3750896859,0.0010000000,375.0896858830,true,false,false,false,true,true,36.7504380000,50.0552610000,1.3242150000,51.3794760000,31.1621000000,119.2952300000,2,2,2,1,1
6,1,0.4770683857,-0.0000000000,0.4770683857,0.5939824720,0.0000000000,0.5939824720,0.0010000000,593.9824719790,true,true,false,true,true,false,31.7286340000,51.4773540000,1.8277800000,53.3051340000,70.1105930000,155.1473860000,2,2,2,1,1
7,1,0.2695158954,-0.0000000000,0.2695158954,0.5530946314,-0.0000000000,0.5530946314,0.0010000000,553.0946313990,true,true,false,true,true,false,38.5723860000,68.4458520000,1.6410000000,70.0868520000,57.9182830000,166.5806770000,2,2,2,1,1
9,1,0.2754998562,0.0000000000,0.2754998562,0.5542734717,-0.0000000000,0.5542734717,0.0010000000,554.2734716680,true,true,false,true,true,false,38.6871120000,47.8920410000,1.5752360000,49.4672770000,31.9807160000,120.1381510000,2,2,2,1,1
11,0,-0.5333050306,-0.0000000000,0.5333050306,0.3949389090,-0.0000000000,0.3949389090,0.0010000000,394.9389089740,true,false,false,false,true,true,33.4300970000,58.1758950000,2.8500180000,61.0259130000,45.9063950000,140.3669130000,2,2,2,1,1
14,0,-0.4134798053,0.0000000000,0.4134798053,0.4185444784,-0.0000000000,0.4185444784,0.0010000000,418.5444783590,true,false,false,false,true,true,37.7904850000,45.9923610000,1.5113460000,47.5037070000,32.2949560000,117.5931650000,2,2,2,1,1
15,1,0.1625661652,0.0000000000,0.1625661652,0.5320255346,-0.0000000000,0.5320255346,0.0010000000,532.0255345530,true,true,false,true,true,false,36.4786920000,52.9199620000,2.2172510000,55.1372130000,40.4839890000,132.1036510000,2,2,2,1,1
18,0,-0.1915393973,-0.0000000000,0.1915393973,0.4622667387,0.0000000000,0.4622667387,0.0010000000,462.2667387390,true,false,false,false,true,true,38.1443230000,55.7515450000,3.0393530000,58.7908980000,35.5559750000,132.4950350000,2,2,2,1,1
19,0,-0.4878886671,0.0000000000,0.4878886671,0.4038859326,0.0000000000,0.4038859326,0.0010000000,403.8859325860,true,false,false,false,true,true,32.5681490000,56.7750660000,1.3430200000,58.1180860000,33.4779310000,124.1671410000,2,2,2,1,1
20,0,-0.1113358429,0.0000000000,0.1113358429,0.4780668390,-0.0000000000,0.4780668390,0.0010000000,478.0668389550,true,false,false,false,true,true,41.4759910000,45.6084910000,1.2764160000,46.8849070000,31.0188010000,119.3832650000,2,2,2,1,1
21,0,-0.3854071074,0.0000000000,0.3854071074,0.4240747998,-0.0000000000,0.4240747998,0.0010000000,424.0747998390,true,false,false,false,true,true,29.9407380000,45.1629340000,1.1958250000,46.3587590000,38.8327790000,115.1362530000,2,2,2,1,1
22,1,0.2948376855,0.0000000000,0.2948376855,0.5580830240,0.0000000000,0.5580830240,0.0010000000,558.0830240440,true,true,false,true,true,false,35.0461080000,49.9454250000,1.6713260000,51.6167510000,34.9267090000,121.5924250000,2,2,2,1,1
25,0,-0.5184869029,-0.0000000000,0.5184869029,0.3978580801,-0.0000000000,0.3978580801,0.0010000000,397.8580801350,true,false,false,false,true,true,34.3404600000,45.7684450000,2.3645770000,48.1330220000,32.3301220000,114.8065710000,2,2,2,1,1
26,1,0.2199176819,0.0000000000,0.2199176819,0.5433237833,-0.0000000000,0.5433237833,0.0010000000,543.3237833410,true,true,false,true,true,false,33.4643010000,49.5902730000,1.6879680000,51.2782410000,33.7416710000,118.4872890000,2,2,2,1,1
30,1,0.3262807189,-0.0000000000,0.3262807189,0.5642773016,0.0000000000,0.5642773016,0.0010000000,564.2773016170,true,true,false,true,true,false,35.3023200000,45.1099810000,3.0785630000,48.1885440000,34.6741710000,118.1684200000,2,2,2,1,1
32,1,0.3147611669,0.0000000000,0.3147611669,0.5620079499,-0.0000000000,0.5620079499,0.0010000000,562.0079498830,true,true,false,true,true,false,33.5246690000,47.7055260000,2.0501470000,49.7556730000,43.6342600000,126.9181790000,2,2,2,1,1
33,1,0.2199391945,0.0000000000,0.2199391945,0.5433280213,0.0000000000,0.5433280213,0.0010000000,543.3280213220,true,true,false,true,true,false,32.7691420000,53.6822320000,1.4553910000,55.1376230000,31.8693970000,119.7796000000,2,2,2,1,1
35,1,0.3590467668,-0.0000000000,0.3590467668,0.5707322131,-0.0000000000,0.5707322131,0.0010000000,570.7322130690,true,true,false,true,true,false,31.6081270000,48.1336890000,2.0162440000,50.1499330000,37.4079350000,119.1693120000,2,2,2,1,1
36,1,0.5574035650,-0.0000000000,0.5574035650,0.6098085023,-0.0000000000,0.6098085023,0.0010000000,609.8085023140,true,true,false,true,true,false,40.6047810000,50.9632950000,1.8410450000,52.8043400000,38.9144320000,132.3272400000,2,2,2,1,1
37,0,-0.4087457252,-0.0000000000,0.4087457252,0.4194770921,0.0000000000,0.4194770921,0.0010000000,419.4770921350,true,false,false,false,true,true,36.0079600000,53.5838420000,2.6702410000,56.2540830000,37.2072400000,129.4726290000,2,2,2,1,1
38,1,0.2140736102,0.0000000000,0.2140736102,0.5421725012,0.0000000000,0.5421725012,0.0010000000,542.1725012070,true,true,false,true,true,false,38.1141310000,54.8379410000,1.8849430000,56.7228840000,45.6700710000,140.5106030000,2,2,2,1,1
40,1,0.2958287766,0.0000000000,0.2958287766,0.5582782690,0.0000000000,0.5582782690,0.0010000000,558.2782689990,true,true,false,true,true,false,41.0736000000,63.5167530000,2.1007620000,65.6175150000,48.5199080000,155.2152020000,2,2,2,1,1
41,1,0.2687554744,-0.0000000000,0.2687554744,0.5529448285,0.0000000000,0.5529448285,0.0010000000,552.9448284660,true,true,false,true,true,false,43.0833480000,62.9698860000,1.4519150000,64.4218010000,39.3495150000,146.8576600000,2,2,2,1,1
42,1,0.5329903643,-0.0000000000,0.5329903643,0.6049991018,-0.0000000000,0.6049991018,0.0010000000,604.9991017710,true,true,false,true,true,false,51.0946460000,69.1275580000,2.0867960000,71.2143540000,34.6210660000,156.9338230000,2,2,2,1,1
43,1,0.3851993957,-0.0000000000,0.3851993957,0.5758842810,-0.0000000000,0.5758842810,0.0010000000,575.8842809530,true,true,false,true,true,false,43.6238210000,45.9002780000,1.4311960000,47.3314740000,36.1819810000,127.1413440000,2,2,2,1,1
44,1,0.2737945451,0.0000000000,0.2737945451,0.5539375254,-0.0000000000,0.5539375254,0.0010000000,553.9375253910,true,true,false,true,true,false,37.4524050000,44.1680070000,1.6098010000,45.7778080000,32.6981230000,115.9309710000,2,2,2,1,1
46,0,-0.5175954175,0.0000000000,0.5175954175,0.3980337027,-0.0000000000,0.3980337027,0.0010000000,398.0337027440,true,false,false,false,true,true,32.8641190000,44.4667520000,1.6196300000,46.0863820000,35.3482210000,114.3026290000,2,2,2,1,1
49,1,0.1816182345,0.0000000000,0.1816182345,0.5357787922,-0.0000000000,0.5357787922,0.0010000000,535.7787921930,true,true,false,true,true,false,28.9846440000,44.4927110000,1.7900790000,46.2827900000,59.0469060000,134.3177060000,2,2,2,1,1
51,0,-0.1995859179,-0.0000000000,0.1995859179,0.4606815742,-0.0000000000,0.4606815742,0.0010000000,460.6815741650,true,false,false,false,true,true,33.8127040000,50.6164680000,1.3045890000,51.9210570000,29.2159830000,114.9526900000,2,2,2,1,1
52,1,0.3934272032,0.0000000000,0.3934272032,0.5775051590,-0.0000000000,0.5775051590,0.0010000000,577.5051590310,true,true,false,true,true,false,29.9781030000,48.7546500000,5.3068290000,54.0614790000,34.7021290000,118.7453580000,2,2,2,1,1
59,0,-0.5789743471,0.0000000000,0.5789743471,0.3859420536,-0.0000000000,0.3859420536,0.0010000000,385.9420536270,true,false,false,false,true,true,37.3621200000,45.4959450000,1.2976160000,46.7935610000,44.7140720000,128.8733090000,2,2,2,1,1
61,1,0.5172103016,-0.0000000000,0.5172103016,0.6018904294,-0.0000000000,0.6018904294,0.0010000000,601.8904294120,true,true,false,true,true,false,29.6033950000,45.9308800000,1.1703770000,47.1012570000,35.2352990000,111.9421050000,2,2,2,1,1
62,0,-0.5444890417,0.0000000000,0.5444890417,0.3927356588,-0.0000000000,0.3927356588,0.0010000000,392.7356587870,true,false,false,false,true,true,35.5815790000,52.7540910000,2.5356280000,55.2897190000,29.3586210000,120.2327640000,2,2,2,1,1
65,1,0.3322772096,-0.0000000000,0.3322772096,0.5654586103,0.0000000000,0.5654586103,0.0010000000,565.4586102900,true,true,false,true,true,false,36.8097580000,50.4135380000,1.2081180000,51.6216560000,35.4668180000,123.9011180000,2,2,2,1,1
67,0,-0.6469043431,-0.0000000000,0.6469043431,0.3725598444,-0.0000000000,0.3725598444,0.0010000000,372.5598444030,true,false,false,false,true,true,33.5782990000,47.0436190000,1.8330700000,48.8766890000,38.6224150000,121.0800790000,2,2,2,1,1
69,0,-0.5054939182,0.0000000000,0.5054939182,0.4004176981,-0.0000000000,0.4004176981,0.0010000000,400.4176981120,true,false,false,false,true,true,33.6629030000,56.6967840000,2.6257470000,59.3225310000,35.2207220000,128.2111860000,2,2,2,1,1
71,1,0.2305910868,0.0000000000,0.2305910868,0.5454264441,0.0000000000,0.5454264441,0.0010000000,545.4264441080,true,true,false,true,true,false,31.8755890000,46.5680110000,1.5828800000,48.1508910000,32.7721420000,112.8025900000,2,2,2,1,1
73,0,-0.5052600404,-0.0000000000,0.5052600404,0.4004637720,0.0000000000,0.4004637720,0.0010000000,400.4637720340,true,false,false,false,true,true,34.0024710000,54.4486010000,1.6852520000,56.1338530000,35.7590960000,125.8981960000,2,2,2,1,1
76,1,0.2518439354,-0.0000000000,0.2518439354,0.5496132553,0.0000000000,0.5496132553,0.0010000000,549.6132552770,true,true,false,true,true,false,38.0540730000,50.4852520000,3.3903230000,53.8755750000,38.3089020000,130.2429900000,2,2,2,1,1
77,0,-0.6802193474,-0.0000000000,0.6802193474,0.3659967886,-0.0000000000,0.3659967886,0.0010000000,365.9967885590,true,false,false,false,true,true,36.7553960000,53.6891160000,1.2902410000,54.9793570000,33.9920460000,125.7296040000,2,2,2,1,1
79,1,0.3212278383,0.0000000000,0.3212278383,0.5632818841,0.0000000000,0.5632818841,0.0010000000,563.2818841410,true,true,false,true,true,false,39.2828740000,48.1186020000,1.5645860000,49.6831880000,31.3573970000,120.3278770000,2,2,2,1,1
81,0,-0.5186634875,-0.0000000000,0.5186634875,0.3978232930,-0.0000000000,0.3978232930,0.0010000000,397.8232929680,true,false,false,false,true,true,37.7139550000,54.6022940000,3.9253670000,58.5276610000,36.7461650000,132.9920490000,2,2,2,1,1
82,0,-0.4723379166,-0.0000000000,0.4723379166,0.4069494304,-0.0000000000,0.4069494304,0.0010000000,406.9494304220,true,false,false,false,true,true,36.1048210000,47.5939370000,1.2622380000,48.8561750000,31.9034460000,116.8670980000,2,2,2,1,1
86,0,-0.4227521695,-0.0000000000,0.4227521695,0.4167178226,-0.0000000000,0.4167178226,0.0010000000,416.7178226140,true,false,false,false,true,true,32.8739370000,49.3156930000,1.6611180000,50.9768110000,34.3506540000,118.2046680000,2,2,2,1,1
87,1,0.1715001806,0.0000000000,0.1715001806,0.5337855356,-0.0000000000,0.5337855356,0.0010000000,533.7855355850,true,true,false,true,true,false,35.0324530000,51.9058290000,1.1759570000,53.0817860000,37.2397160000,125.3568000000,2,2,2,1,1
89,1,0.2456824688,-0.0000000000,0.2456824688,0.5483994463,-0.0000000000,0.5483994463,0.0010000000,548.3994463460,true,true,false,true,true,false,35.3739850000,50.5688690000,1.6919650000,52.2608340000,33.5015210000,121.1387840000,2,2,2,1,1
91,0,-0.4441114256,0.0000000000,0.4441114256,0.4125100491,-0.0000000000,0.4125100491,0.0010000000,412.5100491470,true,false,false,false,true,true,34.5870070000,44.4691370000,1.2451770000,45.7143140000,34.4532560000,114.7575040000,2,2,2,1,1
92,0,-0.6010841587,0.0000000000,0.6010841587,0.3815864207,0.0000000000,0.3815864207,0.0010000000,381.5864207290,true,false,false,false,true,true,35.7356530000,44.9294970000,1.7068630000,46.6363600000,35.0094500000,117.3850590000,2,2,2,1,1
94,0,-0.5162282794,-0.0000000000,0.5162282794,0.3983030290,-0.0000000000,0.3983030290,0.0010000000,398.3030289580,true,false,false,false,true,true,33.6850550000,54.0492860000,2.7703790000,56.8196650000,33.4305220000,123.9401710000,2,2,2,1,1
95,0,-0.4763120145,-0.0000000000,0.4763120145,0.4061665331,0.0000000000,0.4061665331,0.0010000000,406.1665331400,true,false,false,false,true,true,32.5858820000,50.3742890000,3.2994520000,53.6737410000,37.1860060000,123.4501960000,2,2,2,1,1
96,1,0.4078319631,-0.0000000000,0.4078319631,0.5803428967,0.0000000000,0.5803428967,0.0010000000,580.3428967400,true,true,false,true,true,false,34.7725010000,48.2969660000,1.2042600000,49.5012260000,31.4105010000,115.6869430000,2,2,2,1,1
102,0,-0.3830478292,-0.0000000000,0.3830478292,0.4245395777,-0.0000000000,0.4245395777,0.0010000000,424.5395776510,true,false,false,false,true,true,35.9475250000,44.7584410000,1.6070060000,46.3654470000,36.1586220000,118.4741580000,2,2,2,1,1
105,0,-0.6853601920,-0.0000000000,0.6853601920,0.3649840422,-0.0000000000,0.3649840422,0.0010000000,364.9840421690,true,false,false,false,true,true,29.4585380000,58.1543690000,1.3353260000,59.4896950000,34.9553480000,123.9068890000,2,2,2,1,1
106,1,0.4340635329,-0.0000000000,0.4340635329,0.5855105160,-0.0000000000,0.5855105160,0.0010000000,585.5105159760,true,true,false,true,true,false,39.4443980000,65.7636240000,4.6420620000,70.4056860000,34.4869510000,144.3411220000,2,2,2,1,1
