row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
2,0,-0.5690779317,-0.0000000000,0.5690779317,0.3878916474,-0.0000000000,0.3878916474,0.0010000000,387.8916474460,true,false,false,false,true,true,49.7171660000,79.4534960000,1.8032540000,81.2567500000,1.2367010000,132.2143240000,2,0,0,1,1
3,1,0.2903630392,0.0000000000,0.2903630392,0.5572015187,0.0000000000,0.5572015187,0.0010000000,557.2015187280,true,true,false,true,true,false,33.9492510000,50.3771740000,0.5845870000,50.9617610000,1.1279460000,86.0423150000,2,0,0,1,1
4,0,-0.3857296660,-0.0000000000,0.3857296660,0.4240112558,0.0000000000,0.4240112558,0.0010000000,424.0112557970,true,false,false,false,true,true,34.1595550000,51.5295920000,0.5617940000,52.0913860000,1.0986710000,87.3515470000,2,0,0,1,1
5,0,-0.6340625082,-0.0000000000,0.6340625082,0.3750896859,-0.0000000000,0.3750896859,0.0010000000,375.0896858830,true,false,false,false,true,true,38.8364870000,53.4862140000,0.5663230000,54.0525370000,1.1942310000,94.0860110000,2,0,0,1,1
6,1,0.4770683857,-0.0000000000,0.4770683857,0.5939824720,0.0000000000,0.5939824720,0.0010000000,593.9824719790,true,true,false,true,true,false,32.1690450000,51.5665070000,0.5538200000,52.1203270000,1.1283670000,85.4197120000,2,0,0,1,1
7,1,0.2695158954,-0.0000000000,0.2695158954,0.5530946314,-0.0000000000,0.5530946314,0.0010000000,553.0946313990,true,true,false,true,true,false,32.6191490000,56.4225590000,0.6835430000,57.1061020000,1.1997810000,90.9277990000,2,0,0,1,1
9,1,0.2754998562,0.0000000000,0.2754998562,0.5542734717,0.0000000000,0.5542734717,0.0010000000,554.2734716680,true,true,false,true,true,false,82.0724460000,233.9989310000,0.5798680000,234.5787990000,1.1654070000,317.8196280000,2,0,0,1,1
11,0,-0.5333050306,0.0000000000,0.5333050306,0.3949389090,-0.0000000000,0.3949389090,0.0010000000,394.9389089740,true,false,false,false,true,true,68.7719910000,75.7010280000,0.6328280000,76.3338560000,1.2665520000,146.3759050000,2,0,0,1,1
14,0,-0.4134798053,0.0000000000,0.4134798053,0.4185444784,-0.0000000000,0.4185444784,0.0010000000,418.5444783590,true,false,false,false,true,true,63.8131700000,50.4618130000,0.6631450000,51.1249580000,1.9543530000,116.8966780000,2,0,0,1,1
15,1,0.1625661652,-0.0000000000,0.1625661652,0.5320255346,0.0000000000,0.5320255346,0.0010000000,532.0255345530,true,true,false,true,true,false,52.6341660000,69.2064750000,0.7384960000,69.9449710000,1.5798950000,124.1618670000,2,0,0,1,1
18,0,-0.1915393973,-0.0000000000,0.1915393973,0.4622667387,0.0000000000,0.4622667387,0.0010000000,462.2667387390,true,false,false,false,true,true,37.2478610000,60.0958190000,0.6580850000,60.7539040000,1.1916370000,99.1967770000,2,0,0,1,1
19,0,-0.4878886671,0.0000000000,0.4878886671,0.4038859326,0.0000000000,0.4038859326,0.0010000000,403.8859325860,true,false,false,false,true,true,50.5794090000,54.7503120000,0.6098340000,55.3601460000,1.1419430000,107.0840940000,2,0,0,1,1
20,0,-0.1113358429,0.0000000000,0.1113358429,0.4780668390,0.0000000000,0.4780668390,0.0010000000,478.0668389550,true,false,false,false,true,true,49.0277630000,68.1968110000,0.5638880000,68.7606990000,3.5496110000,121.3410690000,2,0,0,1,1
21,0,-0.3854071074,-0.0000000000,0.3854071074,0.4240747998,0.0000000000,0.4240747998,0.0010000000,424.0747998390,true,false,false,false,true,true,31.4452870000,86.5319390000,0.7000540000,87.2319930000,4.3747150000,123.0547600000,2,0,0,1,1
22,1,0.2948376855,0.0000000000,0.2948376855,0.5580830240,0.0000000000,0.5580830240,0.0010000000,558.0830240440,true,true,false,true,true,false,34.5840920000,55.6592220000,0.6090030000,56.2682250000,1.3250970000,92.1809710000,2,0,0,1,1
25,0,-0.5184869029,0.0000000000,0.5184869029,0.3978580801,-0.0000000000,0.3978580801,0.0010000000,397.8580801350,true,false,false,false,true,true,33.3114290000,54.2323100000,0.5562740000,54.7885840000,1.1179780000,89.2206250000,2,0,0,1,1
26,1,0.2199176819,0.0000000000,0.2199176819,0.5433237833,-0.0000000000,0.5433237833,0.0010000000,543.3237833410,true,true,false,true,true,false,35.6328650000,46.8502520000,0.5520360000,47.4022880000,1.1230670000,84.1611650000,2,0,0,1,1
30,1,0.3262807189,-0.0000000000,0.3262807189,0.5642773016,-0.0000000000,0.5642773016,0.0010000000,564.2773016170,true,true,false,true,true,false,30.9178720000,48.9736300000,1.6538940000,50.6275240000,3.2778560000,84.8280920000,2,0,0,1,1
32,1,0.3147611669,-0.0000000000,0.3147611669,0.5620079499,0.0000000000,0.5620079499,0.0010000000,562.0079498830,true,true,false,true,true,false,29.7827510000,48.0434600000,0.5538190000,48.5972790000,1.5958750000,79.9788320000,2,0,0,1,1
33,1,0.2199391945,0.0000000000,0.2199391945,0.5433280213,-0.0000000000,0.5433280213,0.0010000000,543.3280213220,true,true,false,true,true,false,30.4731380000,52.1612880000,0.8983860000,53.0596740000,1.3292750000,84.8663040000,2,0,0,1,1
35,1,0.3590467668,-0.0000000000,0.3590467668,0.5707322131,-0.0000000000,0.5707322131,0.0010000000,570.7322130690,true,true,false,true,true,false,35.8729300000,51.7551410000,0.5475070000,52.3026480000,1.1299410000,89.3086960000,2,0,0,1,1
36,1,0.5574035650,0.0000000000,0.5574035650,0.6098085023,-0.0000000000,0.6098085023,0.0010000000,609.8085023140,true,true,false,true,true,false,35.3606490000,54.0150480000,0.5778540000,54.5929020000,1.1416220000,91.0987500000,2,0,0,1,1
37,0,-0.4087457252,-0.0000000000,0.4087457252,0.4194770921,0.0000000000,0.4194770921,0.0010000000,419.4770921350,true,false,false,false,true,true,30.9441360000,55.3537190000,1.3177130000,56.6714320000,2.2829300000,89.9017730000,2,0,0,1,1
38,1,0.2140736102,0.0000000000,0.2140736102,0.5421725012,-0.0000000000,0.5421725012,0.0010000000,542.1725012070,true,true,false,true,true,false,36.8559810000,52.1989780000,0.5570850000,52.7560630000,1.2930760000,90.9093490000,2,0,0,1,1
40,1,0.2958287766,0.0000000000,0.2958287766,0.5582782690,0.0000000000,0.5582782690,0.0010000000,558.2782689990,true,true,false,true,true,false,41.0081620000,59.9684590000,0.7431840000,60.7116430000,1.2104010000,102.9332430000,2,0,0,1,1
