row_id,label,plain_z,ckks_z,z_error,plain_y,ckks_y,y_error,error_budget,error_usage,error_violation,plain_decision,ckks_decision,decision_flip,plain_correct,ckks_correct,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_eval_ms,initial_level,z_level,y_level,z_degree,y_degree
1,0,-0.4302922243,0.0000000000,0.4302922243,0.4152324318,0.0000000000,0.4152324318,0.0010000000,415.2324318220,true,false,false,false,true,true,44.2849670000,53.0362350000,3.3536030000,56.3898380000,30.8929650000,131.5719090000,2,2,2,1,1
2,1,0.5555026452,0.0000000000,0.5555026452,0.6094340211,-0.0000000000,0.6094340211,0.0010000000,609.4340210990,true,true,false,true,true,false,37.8342310000,49.2639910000,1.2050610000,50.4690520000,33.9037960000,122.2093330000,2,2,2,1,1
7,1,0.4510701240,0.0000000000,0.4510701240,0.5888608144,0.0000000000,0.5888608144,0.0010000000,588.8608144240,true,true,false,true,true,false,36.5891900000,47.5173530000,1.2492740000,48.7666270000,34.0405310000,119.3988440000,2,2,2,1,1
9,0,-0.4323388943,-0.0000000000,0.4323388943,0.4148292378,0.0000000000,0.4148292378,0.0010000000,414.8292378140,true,false,false,false,true,true,33.0975130000,48.5132510000,1.3501340000,49.8633850000,34.5556690000,117.5199020000,2,2,2,1,1
10,1,0.5053483979,-0.0000000000,0.5053483979,0.5995536344,-0.0000000000,0.5995536344,0.0010000000,599.5536343860,true,true,false,true,true,false,31.5222520000,62.7842840000,1.6631510000,64.4474350000,59.7373010000,155.7101830000,2,2,2,1,1
11,1,0.4121479894,0.0000000000,0.4121479894,0.5811931539,0.0000000000,0.5811931539,0.0010000000,581.1931539080,true,true,false,true,true,false,49.3043660000,97.9001830000,3.4725060000,101.3726890000,38.6037700000,189.2862270000,2,2,2,1,1
13,0,-0.5122156045,0.0000000000,0.5122156045,0.3990935259,0.0000000000,0.3990935259,0.0010000000,399.0935259040,true,false,false,false,true,true,33.8925340000,43.7202970000,1.2139780000,44.9342750000,35.9525000000,114.7821540000,2,2,2,1,1
14,1,0.6113072347,0.0000000000,0.6113072347,0.6204275252,0.0000000000,0.6204275252,0.0010000000,620.4275252270,true,true,false,true,true,false,34.8020610000,59.5182740000,1.3920620000,60.9103360000,32.7418440000,128.4578390000,2,2,2,1,1
17,0,-0.4994543895,-0.0000000000,0.4994543895,0.4016074853,-0.0000000000,0.4016074853,0.0010000000,401.6074852620,true,false,false,false,true,true,29.9929260000,49.1970050000,1.2104120000,50.4074170000,33.9854080000,114.3882360000,2,2,2,1,1
18,1,0.5412283157,0.0000000000,0.5412283157,0.6066219782,0.0000000000,0.6066219782,0.0010000000,606.6219781900,true,true,false,true,true,false,42.4783670000,47.2744070000,1.4819010000,48.7563080000,30.1795920000,121.4184740000,2,2,2,1,1
19,0,-0.5484548364,0.0000000000,0.5484548364,0.3919543972,-0.0000000000,0.3919543972,0.0010000000,391.9543972230,true,false,false,false,true,true,38.1924890000,47.5732730000,1.2265620000,48.7998350000,33.4574920000,120.4524300000,2,2,2,1,1
21,0,-0.4684472222,0.0000000000,0.4684472222,0.4077158972,0.0000000000,0.4077158972,0.0010000000,407.7158972230,true,false,false,false,true,true,33.9120010000,54.6937640000,1.2689410000,55.9627050000,34.5465780000,124.4239890000,2,2,2,1,1
22,1,0.5674053558,0.0000000000,0.5674053558,0.6117788551,-0.0000000000,0.6117788551,0.0010000000,611.7788551020,true,true,false,true,true,false,36.1673780000,53.5021800000,1.8431790000,55.3453590000,45.7513940000,137.2681080000,2,2,2,1,1
24,0,-0.6099760423,0.0000000000,0.6099760423,0.3798347197,-0.0000000000,0.3798347197,0.0010000000,379.8347196640,true,false,false,false,true,true,46.0225030000,62.3001550000,1.3411870000,63.6413420000,39.0800890000,148.7473900000,2,2,2,1,1
26,1,0.5238755817,-0.0000000000,0.5238755817,0.6032034896,-0.0000000000,0.6032034896,0.0010000000,603.2034895890,true,true,false,true,true,false,39.7843410000,52.1586130000,2.6280170000,54.7866300000,37.9153930000,132.4897410000,2,2,2,1,1
29,0,-0.5473907205,-0.0000000000,0.5473907205,0.3921640281,0.0000000000,0.3921640281,0.0010000000,392.1640280580,true,false,false,false,true,true,34.3856900000,56.6154970000,1.1536050000,57.7691020000,35.9056120000,128.0637490000,2,2,2,1,1
