split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,validation_status,audit_status,status_transition,key_repeats,v_cert,v_amb,successful_key_runs,expected_parameter_failures,unexpected_execution_failures,decision_flips_v_cert,error_violations_v_cert,max_error_v_cert,max_budget_usage_v_cert,mean_total_ms_across_keys
0,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,288,621,0.619413147824,233.904747155,99.5555098051
0,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,207,0,0,3,0,0,0,,,
0,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.621243560249,73.6959886887,130.21324052
0,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.621243560249,73.6959886887,98.0417184509
0,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,266,4,3,0,0,369,798,0.603053342372,841.163027557,135.871205431
0,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,266,4,0,3,0,0,0,,,
0,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,251,19,3,0,0,360,753,0.561860765103,966.837040744,171.195695499
0,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,251,19,3,0,0,360,753,0.561860765103,966.837040744,137.520190379
0,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.65403861652,17.3499379812,108.539278396
0,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,16,0,0,3,0,0,0,,,
0,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.645010822926,11.7323119911,141.804936396
0,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.645010822926,11.7323119911,98.575107125
0,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,246,5,3,0,0,348,738,0.651387421916,840.592002482,211.673283258
0,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,246,5,0,3,0,0,0,,,
0,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,247,4,3,0,0,342,741,0.60897596973,957.378554483,254.033580579
0,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,247,4,3,0,0,342,741,0.60897596973,957.378554483,219.170708505
0,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,85,1,3,0,0,168,255,0.583008858199,685.234426473,138.513473287
0,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,85,1,0,3,0,0,0,,,
0,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,82,4,3,0,0,156,243,0.514083528378,717.175284553,169.015299012
0,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,82,4,3,0,0,156,243,0.514083528378,717.175284553,138.344628535
1,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,291,621,0.610120856532,233.904747155,98.7997131884
1,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,207,0,0,3,0,0,0,,,
1,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.621243560249,79.8367238415,129.708590432
1,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.621243560249,79.8367238415,94.923149628
1,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,264,6,3,0,0,390,792,0.603053342372,841.163027557,134.849771294
1,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,264,6,0,3,0,0,0,,,
