split_seed,dataset_id,model_id,domain_id,candidate_count,safe_count,rejected_count,failed_count,ambiguous_count,audit_outcome,safe_candidates
0,banknote,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
0,banknote,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
0,digits_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
0,digits_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
0,iris_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
0,iris_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
0,mnist_pool16,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
0,mnist_pool16,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
0,wdbc,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
0,wdbc,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
1,banknote,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
1,banknote,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
1,digits_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
1,digits_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
1,iris_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
1,iris_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
1,mnist_pool16,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
1,mnist_pool16,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
1,wdbc,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
1,wdbc,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
2,banknote,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
2,banknote,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
2,digits_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
2,digits_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
2,iris_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
2,iris_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
2,mnist_pool16,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
2,mnist_pool16,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
2,wdbc,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
2,wdbc,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
3,banknote,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
3,banknote,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
3,digits_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
3,digits_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
3,iris_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
3,iris_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
3,mnist_pool16,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
3,mnist_pool16,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
3,wdbc,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
3,wdbc,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
4,banknote,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
4,banknote,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
4,digits_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
4,digits_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
4,iris_binary,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
4,iris_binary,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
4,mnist_pool16,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
4,mnist_pool16,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
4,wdbc,linear_poly3,short_chain_3_two_path_v1,2,0,1,1,0,NO_SAFE,
4,wdbc,mlp_square_linear_score,short_chain_3_two_path_v1,2,0,2,0,0,NO_SAFE,
