split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,alpha,certificate_status,run_status,exit_code,sample_count,v_cert,v_amb,coverage_rate,margin_floor,decision_flips_v_cert,error_violations_v_cert,max_y_error_v_cert,mean_total_ms,median_total_ms,p95_total_ms,mean_eval_only_ms,run_tag
0,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,96,205,0.6105700009,113.9897561951,106.841237,151.7859782,29.5713264341,thesisv1_full_seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale
0,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,205,205,0,1.0,0.001,,,,,,,,thesisv1_full_seed0_banknote_linear_poly3_short_chain_3_rescale_aware
0,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6098085023,152.6372985268,134.668039,271.417822,65.7355748585,thesisv1_full_seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale
0,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6098085023,100.0947065317,96.940057,124.2515356,61.096629678,thesisv1_full_seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware
0,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,264,6,0.9777777777777777,0.001,129,264,0.6159805173,142.5038057889,137.265333,177.91274665,28.463374363,thesisv1_full_seed0_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale
0,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,270,264,6,0.9777777777777777,0.001,,,,,,,,thesisv1_full_seed0_digits_binary_linear_poly3_short_chain_3_rescale_aware
0,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,254,16,0.9407407407407408,0.001,129,254,0.5825953151,177.5186652148,168.656585,226.9104497,63.5426464,thesisv1_full_seed0_digits_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
0,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,270,254,16,0.9407407407407408,0.001,129,254,0.5825953151,138.2587538815,133.7650565,165.95037355,64.6901351593,thesisv1_full_seed0_digits_binary_mlp_square_linear_score_short_chain_3_rescale_aware
0,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6938779067,129.8929377143,121.947675,176.21784915,37.4068437857,thesisv1_full_seed0_iris_binary_linear_poly3_short_chain_3_baseline_non_rescale
0,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,14,14,0,1.0,0.001,,,,,,,,thesisv1_full_seed0_iris_binary_linear_poly3_short_chain_3_rescale_aware
