split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,72.358265,direct,36,0,0.005146247986620001,86.00191086111109,81.208048,124.457021,17.514657319750462,14.682082999999992,33.08270566666667,31.26096,45.430462,5.748887178022084,7.0619869999999985
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,183.123948,catalog,36,0,3.838507289799509e-11,430.2655571944445,414.140418,643.705829,89.08809164040537,47.31319400000001,149.07394499999998,147.973212,193.34555,27.17732595402271,30.320149000000015
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,172.122622,reference,36,0,4.729738822817353e-11,439.29010177777775,400.800093,698.677537,89.3476825413854,62.338022000000024,151.85875263888892,144.69743499999998,257.304157,32.89779921155581,23.656489000000022
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_f48255b39c11,synth_analysis_minimum_rescale_N13_Q6_S20_f48255b39c11,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,47.330327,direct,36,0,0.00038937853825571356,116.78871588888887,113.097954,146.278402,14.793062592293564,19.669787999999997,72.03453466666667,68.17523,91.72468400000001,9.955074499437734,11.40053499999999
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale40,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",40,95.350498,catalog,36,0,7.662630530091974e-10,224.44424125,211.996521,314.264662,35.476990779854724,28.53061500000001,105.78397533333333,98.387624,168.736087,20.338338291721215,19.370642000000004
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,188.033752,reference,36,0,2.0488277741037564e-11,627.1531370555556,623.357148,688.07524,44.978286445772454,39.13870900000006,367.741724111111,369.68758,419.24805299999997,28.4418514466397,44.23244399999999
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_81046dc5ebf3,synth_repair_scale_1_rescale_N13_Q7_S24_81046dc5ebf3,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,89.541462,direct,36,0,0.001462556636807666,129.51958436111116,120.565824,187.707034,22.38555652923354,15.239773999999983,38.223824527777786,35.484235,61.541648,8.549223083772254,8.136578
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,211.922833,catalog,36,0,3.847755447594636e-12,640.8710765,623.452857,751.251925,59.32095165593722,67.59397000000001,171.48154755555552,168.354155,204.481688,25.338944791119545,34.002170000000035
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,204.179773,reference,36,0,4.548972309947885e-12,660.6406627500004,626.533087,824.988742,70.63897977064065,103.5188629999999,173.28616869444446,172.26755799999998,214.15201000000002,23.09437786442579,19.265214000000014
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_391fa6104874,synth_analysis_minimum_rescale_N13_Q6_S20_391fa6104874,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,58.802466,direct,36,0,6.630184220629554e-05,162.98491772222226,159.724665,189.35177,14.860741922746293,18.222653000000008,84.94671216666669,81.682479,102.996192,9.154626080273195,13.359987000000018
