split_seed,dataset_id,model_id,status,action,reference_security_admitted,reference_execution_status,reference_decision_certificate_status,reference_latency_role,result_path,result_sha256,error
0,banknote,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_banknote_linear_poly3.json,sha256:7ddd681d22facf00e026c81b0b03f97ac328a145d429bb318603d7271f335a5b,
0,banknote,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_banknote_mlp_square_linear_score.json,sha256:ee6b94522064cb92a94be56812edf97ac4cff681478233481c7cd35f8b22fe8e,
0,digits_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_digits_binary_linear_poly3.json,sha256:7078319e12776487f50fcc6487fea3a97c42a0d101017e6e39abbde5dcdd4cf0,
0,digits_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_digits_binary_mlp_square_linear_score.json,sha256:63f16fdc668b162b948c888ab2c012bb0f2d7704438a6838785c7abeab4475cb,
0,iris_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_iris_binary_linear_poly3.json,sha256:3c2bb03dadaf87b8b5985bcfbf751af13e98534c3dd41a2d6bd889bc32a0cb84,
0,iris_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_iris_binary_mlp_square_linear_score.json,sha256:7cf6fccb7524c84afbaf8cf9228198ac3f775bec446a5dfcee369d79977adbdc,
0,mnist_pool16,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_mnist_pool16_linear_poly3.json,sha256:5b86d6b9803a6ee7b9849c75ae46ef8683edccc1bc7cb94ce10c15e89694b0f5,
0,mnist_pool16,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_mnist_pool16_mlp_square_linear_score.json,sha256:9cd743ac99cce7d9a2fd6dcebdb3e46f72625072dd1474d438b09052f7f67456,
0,wdbc,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_wdbc_linear_poly3.json,sha256:d148e5742655fd18b998615aed5fa85571cd639fc433fd6c30de41d51e9c4979,
0,wdbc,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed0_wdbc_mlp_square_linear_score.json,sha256:3dce7671dc81eb73bb3a8719ca7a4e54d6065c0ec439c6355fdbcfa0cb1a23d2,
1,banknote,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_banknote_linear_poly3.json,sha256:57d56d3521da730fac1e3e847fa5b2ae3a88df653b02696535799c21df8c5b34,
1,banknote,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_banknote_mlp_square_linear_score.json,sha256:d92d8d8e8dd59800c2f89f91cdf1b5316daabcc67e434713f417ced4cbce0d10,
1,digits_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_digits_binary_linear_poly3.json,sha256:bffbd2e60b4dd9355cc33882c7990a78f1f0b7fc0186350f457d1c6fbadf396e,
1,digits_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_digits_binary_mlp_square_linear_score.json,sha256:a1a8dfd04f7dedc4ea37068e226192e93a580e378a64e492c88e7aa3efd8115b,
1,iris_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_iris_binary_linear_poly3.json,sha256:639b6ce770f69d88d0f488a53d1a48eeca319e29903fabb48c911ae80b83f36a,
1,iris_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_iris_binary_mlp_square_linear_score.json,sha256:0271052148d8bddff17599a491caf738f7ada98ba780feb7a3089203754fb0ad,
1,mnist_pool16,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_mnist_pool16_linear_poly3.json,sha256:9573fac4f20de9e6fe34913b413895bb2c05302f924916ca0e0270a37df370f9,
