split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_940085e2ae5c,synth_repair_scale_1_rescale_N13_Q7_S24_940085e2ae5c,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,48.205975,direct,12,0,0.0034426219534671176,72.62607433333334,73.160301,81.462602,4.595121953851541,5.575839000000002,28.426099833333335,28.326754,33.850316,2.5175245760231366,3.762742000000003
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,catalog,bounded_catalog_oracle,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,80.319441,catalog,12,0,2.0772152553583112e-07,141.09417583333334,138.508931,156.630108,9.636112120044569,10.112437,48.433372416666664,48.475803,55.727411,4.4854840695174225,8.213278000000003
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,76.769709,reference,12,0,2.077952699908181e-07,145.19719383333333,139.70157,186.143029,17.51686842332844,14.971285999999992,54.203883166666664,50.602342,80.709087,10.211827142808028,11.060782000000003
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_3d287ebd064d,synth_analysis_minimum_rescale_N13_Q6_S20_3d287ebd064d,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,46.934269,direct,12,0,0.0001214911584078715,115.79010983333335,114.158194,156.711396,16.233908362898916,17.828046,72.86724166666666,70.520392,103.928531,11.324031695292087,14.405575000000006
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale40,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",40,67.755262,catalog,12,0,9.312703941333211e-10,215.8773290833333,208.351661,289.208019,26.673326015002033,24.602936999999997,100.72582208333334,95.521776,140.512407,15.861646960610305,18.659397000000013
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,76.837386,reference,12,0,6.751488257350502e-12,260.2256709166667,251.035864,295.986069,19.37606004014859,30.28384299999999,146.27338866666668,143.96322,172.698849,10.006806211569765,10.152337999999986
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_c6ed1f915412,synth_repair_scale_1_rescale_N13_Q7_S24_c6ed1f915412,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,53.222585,direct,12,0,0.0023340802844817876,104.83314141666666,105.043184,112.392881,5.805226255299551,10.477592000000001,31.313953333333334,30.614383,41.914719,4.1488544603935615,4.030719000000001
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,catalog,bounded_catalog_oracle,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,94.226279,catalog,12,0,2.0790843263673864e-07,222.55223816666668,213.039979,298.215964,26.070227958398434,18.393428999999998,61.039537333333335,52.666305,96.325498,15.281150170328155,12.829352999999998
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,81.628657,reference,12,0,2.077448994497466e-07,220.59660791666667,208.907765,261.396443,21.45160989015203,32.31210399999998,55.667341000000015,52.792412999999996,83.91653600000001,8.856987232405839,2.7826929999999948
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_60e1d89bca4f,synth_analysis_minimum_rescale_N13_Q6_S20_60e1d89bca4f,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,40.566834,direct,12,0,6.406159552641011e-05,142.693264,139.908383,170.902097,10.99167057463399,8.431898999999987,74.89965958333332,70.278408,102.02334599999999,9.752866806697789,4.714016000000001
