partition,alpha,margin_floor,workloads,plan_ok,infeasible,no_certifiable_sample,unexpected_failures,total_samples_in_plan_ok,total_v_cert,total_v_amb,aggregate_coverage,min_workload_coverage,median_workload_coverage,candidate_signatures
configuration_validation,0.1,0,50,50,0,0,0,8230,8230,0,1.0,1.0,1.0,"{""N13_Q6_S20"":12,""N13_Q6_S21"":1,""N13_Q6_S22"":3,""N13_Q6_S23"":4,""N13_Q6_S24"":4,""N13_Q6_S27"":1,""N13_Q7_S20"":15,""N13_Q7_S21"":3,""N13_Q7_S22"":7}"
configuration_validation,0.1,1e-05,50,50,0,0,0,8230,8229,1,0.9998784933171324,0.9962962962962963,1.0,"{""N13_Q6_S20"":12,""N13_Q6_S21"":1,""N13_Q6_S22"":3,""N13_Q6_S23"":4,""N13_Q6_S24"":5,""N13_Q7_S20"":15,""N13_Q7_S21"":3,""N13_Q7_S22"":7}"
configuration_validation,0.1,0.0001,50,50,0,0,0,8230,8215,15,0.9981773997569866,0.9814814814814815,1.0,"{""N13_Q6_S20"":12,""N13_Q6_S21"":4,""N13_Q6_S22"":6,""N13_Q6_S23"":3,""N13_Q7_S20"":15,""N13_Q7_S21"":3,""N13_Q7_S22"":7}"
configuration_validation,0.1,0.0005,50,50,0,0,0,8230,8142,88,0.9893074119076549,0.9629629629629629,0.9939759036144578,"{""N13_Q6_S20"":21,""N13_Q6_S21"":4,""N13_Q7_S20"":25}"
configuration_validation,0.1,0.001,50,50,0,0,0,8230,8043,187,0.9772782503037667,0.9185185185185185,0.9882352941176471,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.1,0.002,50,50,0,0,0,8230,7831,399,0.9515188335358444,0.8444444444444444,0.9642806520198441,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.1,0.005,50,50,0,0,0,8230,7228,1002,0.8782503037667072,0.6666666666666666,0.9304275927238366,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.1,0.01,50,50,0,0,0,8230,6151,2079,0.7473876063183476,0.3333333333333333,0.8665957949444838,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.1,0.05,50,49,1,1,0,7960,2525,5435,0.31721105527638194,0.003703703703703704,0.3176470588235294,"{""N13_Q6_S20"":24,""N13_Q7_S20"":25}"
configuration_validation,0.25,0,50,50,0,0,0,8230,8230,0,1.0,1.0,1.0,"{""N13_Q6_S20"":14,""N13_Q6_S21"":2,""N13_Q6_S22"":4,""N13_Q6_S23"":4,""N13_Q6_S26"":1,""N13_Q7_S20"":18,""N13_Q7_S21"":7}"
configuration_validation,0.25,1e-05,50,50,0,0,0,8230,8229,1,0.9998784933171324,0.9962962962962963,1.0,"{""N13_Q6_S20"":14,""N13_Q6_S21"":2,""N13_Q6_S22"":4,""N13_Q6_S23"":5,""N13_Q7_S20"":18,""N13_Q7_S21"":7}"
configuration_validation,0.25,0.0001,50,50,0,0,0,8230,8215,15,0.9981773997569866,0.9814814814814815,1.0,"{""N13_Q6_S20"":20,""N13_Q6_S21"":3,""N13_Q6_S22"":2,""N13_Q7_S20"":18,""N13_Q7_S21"":7}"
configuration_validation,0.25,0.0005,50,50,0,0,0,8230,8142,88,0.9893074119076549,0.9629629629629629,0.9939759036144578,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.25,0.001,50,50,0,0,0,8230,8043,187,0.9772782503037667,0.9185185185185185,0.9882352941176471,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.25,0.002,50,50,0,0,0,8230,7831,399,0.9515188335358444,0.8444444444444444,0.9642806520198441,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.25,0.005,50,50,0,0,0,8230,7228,1002,0.8782503037667072,0.6666666666666666,0.9304275927238366,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.25,0.01,50,50,0,0,0,8230,6151,2079,0.7473876063183476,0.3333333333333333,0.8665957949444838,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.25,0.05,50,49,1,1,0,7960,2525,5435,0.31721105527638194,0.003703703703703704,0.3176470588235294,"{""N13_Q6_S20"":24,""N13_Q7_S20"":25}"
configuration_validation,0.5,0,50,50,0,0,0,8230,8230,0,1.0,1.0,1.0,"{""N13_Q6_S20"":16,""N13_Q6_S21"":4,""N13_Q6_S22"":4,""N13_Q6_S25"":1,""N13_Q7_S20"":25}"
configuration_validation,0.5,1e-05,50,50,0,0,0,8230,8229,1,0.9998784933171324,0.9962962962962963,1.0,"{""N13_Q6_S20"":16,""N13_Q6_S21"":4,""N13_Q6_S22"":5,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.0001,50,50,0,0,0,8230,8215,15,0.9981773997569866,0.9814814814814815,1.0,"{""N13_Q6_S20"":23,""N13_Q6_S21"":2,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.0005,50,50,0,0,0,8230,8142,88,0.9893074119076549,0.9629629629629629,0.9939759036144578,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.001,50,50,0,0,0,8230,8043,187,0.9772782503037667,0.9185185185185185,0.9882352941176471,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.002,50,50,0,0,0,8230,7831,399,0.9515188335358444,0.8444444444444444,0.9642806520198441,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.005,50,50,0,0,0,8230,7228,1002,0.8782503037667072,0.6666666666666666,0.9304275927238366,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.01,50,50,0,0,0,8230,6151,2079,0.7473876063183476,0.3333333333333333,0.8665957949444838,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.5,0.05,50,49,1,1,0,7960,2525,5435,0.31721105527638194,0.003703703703703704,0.3176470588235294,"{""N13_Q6_S20"":24,""N13_Q7_S20"":25}"
configuration_validation,0.75,0,50,50,0,0,0,8230,8230,0,1.0,1.0,1.0,"{""N13_Q6_S20"":20,""N13_Q6_S21"":2,""N13_Q6_S22"":2,""N13_Q6_S24"":1,""N13_Q7_S20"":25}"
configuration_validation,0.75,1e-05,50,50,0,0,0,8230,8229,1,0.9998784933171324,0.9962962962962963,1.0,"{""N13_Q6_S20"":20,""N13_Q6_S21"":3,""N13_Q6_S22"":2,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.0001,50,50,0,0,0,8230,8215,15,0.9981773997569866,0.9814814814814815,1.0,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.0005,50,50,0,0,0,8230,8142,88,0.9893074119076549,0.9629629629629629,0.9939759036144578,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.001,50,50,0,0,0,8230,8043,187,0.9772782503037667,0.9185185185185185,0.9882352941176471,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.002,50,50,0,0,0,8230,7831,399,0.9515188335358444,0.8444444444444444,0.9642806520198441,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.005,50,50,0,0,0,8230,7228,1002,0.8782503037667072,0.6666666666666666,0.9304275927238366,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.01,50,50,0,0,0,8230,6151,2079,0.7473876063183476,0.3333333333333333,0.8665957949444838,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.75,0.05,50,49,1,1,0,7960,2525,5435,0.31721105527638194,0.003703703703703704,0.3176470588235294,"{""N13_Q6_S20"":24,""N13_Q7_S20"":25}"
configuration_validation,0.9,0,50,50,0,0,0,8230,8230,0,1.0,1.0,1.0,"{""N13_Q6_S20"":20,""N13_Q6_S21"":4,""N13_Q6_S24"":1,""N13_Q7_S20"":25}"
configuration_validation,0.9,1e-05,50,50,0,0,0,8230,8229,1,0.9998784933171324,0.9962962962962963,1.0,"{""N13_Q6_S20"":20,""N13_Q6_S21"":5,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.0001,50,50,0,0,0,8230,8215,15,0.9981773997569866,0.9814814814814815,1.0,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.0005,50,50,0,0,0,8230,8142,88,0.9893074119076549,0.9629629629629629,0.9939759036144578,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.001,50,50,0,0,0,8230,8043,187,0.9772782503037667,0.9185185185185185,0.9882352941176471,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.002,50,50,0,0,0,8230,7831,399,0.9515188335358444,0.8444444444444444,0.9642806520198441,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.005,50,50,0,0,0,8230,7228,1002,0.8782503037667072,0.6666666666666666,0.9304275927238366,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.01,50,50,0,0,0,8230,6151,2079,0.7473876063183476,0.3333333333333333,0.8665957949444838,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
configuration_validation,0.9,0.05,50,49,1,1,0,7960,2525,5435,0.31721105527638194,0.003703703703703704,0.3176470588235294,"{""N13_Q6_S20"":24,""N13_Q7_S20"":25}"
locked_audit_test,0.1,0,50,50,0,0,0,8300,8300,0,1.0,1.0,1.0,"{""N13_Q6_S20"":10,""N13_Q6_S21"":2,""N13_Q6_S22"":1,""N13_Q6_S23"":5,""N13_Q6_S24"":3,""N13_Q6_S27"":4,""N13_Q7_S20"":15,""N13_Q7_S21"":3,""N13_Q7_S22"":7}"
