partition,split_seed,dataset_id,model_id,alpha,margin_floor,status,failure_class,failure,validation_samples,v_cert,v_amb,coverage,protected_margin,output_error_budget,candidate_id,log_n,q_prime_count,p_prime_count,log_default_scale,declared_log_qp,security_headroom_bits,precision_target_bits,analysis_scale_bits,backend_scale_lift_bits
configuration_validation,0,banknote,linear_poly3,0.1,0,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0004312115263999994,synth_analysis_minimum_rescale_N13_Q7_S20_a2a0ca0ad5c2,13,7,1,20,173,44,13,18,2
configuration_validation,0,banknote,linear_poly3,0.1,1e-05,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0004312115263999994,synth_analysis_minimum_rescale_N13_Q7_S20_ff6163ecd761,13,7,1,20,173,44,13,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.0001,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0004312115263999994,synth_analysis_minimum_rescale_N13_Q7_S20_e58b8d95d134,13,7,1,20,173,44,13,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.0005,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0004312115263999994,synth_analysis_minimum_rescale_N13_Q7_S20_2ab0f8de34bf,13,7,1,20,173,44,13,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.001,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0004312115263999994,synth_analysis_minimum_rescale_N13_Q7_S20_d65f2850c0fb,13,7,1,20,173,44,13,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.002,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0004312115263999994,synth_analysis_minimum_rescale_N13_Q7_S20_5e1c317f23bc,13,7,1,20,173,44,13,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.005,PLAN_OK,,,205,203,2,0.9902439024390244,0.007063773180999988,0.0007063773180999988,synth_analysis_minimum_rescale_N13_Q7_S20_17e7fc7928aa,13,7,1,20,173,44,12,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.01,PLAN_OK,,,205,202,3,0.9853658536585366,0.011934509584999975,0.0011934509584999977,synth_analysis_minimum_rescale_N13_Q7_S20_7815f14a83d7,13,7,1,20,173,44,12,18,2
configuration_validation,0,banknote,linear_poly3,0.1,0.05,PLAN_OK,,,205,174,31,0.848780487804878,0.05108134094,0.005108134094,synth_analysis_minimum_rescale_N13_Q7_S20_4b8e6035f60c,13,7,1,20,173,44,9,18,2
configuration_validation,0,banknote,linear_poly3,0.25,0,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0010780288159999984,synth_analysis_minimum_rescale_N13_Q7_S20_8bcf0196922b,13,7,1,20,173,44,12,18,2
configuration_validation,0,banknote,linear_poly3,0.25,1e-05,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0010780288159999984,synth_analysis_minimum_rescale_N13_Q7_S20_856200b10656,13,7,1,20,173,44,12,18,2
configuration_validation,0,banknote,linear_poly3,0.25,0.0001,PLAN_OK,,,205,205,0,1.0,0.004312115263999994,0.0010780288159999984,synth_analysis_minimum_rescale_N13_Q7_S20_6d2ac4dbe6b7,13,7,1,20,173,44,12,18,2
