split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_cryptographic_security_admitted,reference_execution_status,reference_decision_certificate_status,reference_latency_role,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms,v2_oracle_candidate,v2_oracle_mean_total_ms,pre_security_v2_oracle_candidate,selection_changed
0,banknote,linear_poly3,0.1,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,390.1889999317,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,390.1889999317,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951,deep_chain_8_scale45__rescale_aware,390.1889999317,default__rescale_aware,true
0,banknote,linear_poly3,0.25,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,390.1889999317,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,390.1889999317,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951,deep_chain_8_scale45__rescale_aware,390.1889999317,default__rescale_aware,true
0,banknote,linear_poly3,0.5,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,390.1889999317,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,390.1889999317,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951,deep_chain_8_scale45__rescale_aware,390.1889999317,default__rescale_aware,true
0,banknote,linear_poly3,0.75,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,390.1889999317,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,390.1889999317,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951,deep_chain_8_scale45__rescale_aware,390.1889999317,default__rescale_aware,true
0,banknote,linear_poly3,0.9,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,390.1889999317,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,390.1889999317,1.0,short_chain_3__baseline_non_rescale,REJECTED,113.9897561951,deep_chain_8_scale45__rescale_aware,390.1889999317,default__rescale_aware,true
0,banknote,mlp_square_linear_score,0.1,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,604.2577584244,2.876479773238058,short_chain_3__rescale_aware,REJECTED,100.0947065317,short_chain_6_scale40__baseline_non_rescale,210.0684885902,short_chain_6_scale40__baseline_non_rescale,false
0,banknote,mlp_square_linear_score,0.25,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,604.2577584244,2.876479773238058,short_chain_3__rescale_aware,REJECTED,100.0947065317,short_chain_6_scale40__baseline_non_rescale,210.0684885902,short_chain_6_scale40__baseline_non_rescale,false
0,banknote,mlp_square_linear_score,0.5,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,604.2577584244,2.876479773238058,short_chain_3__rescale_aware,REJECTED,100.0947065317,short_chain_6_scale40__baseline_non_rescale,210.0684885902,short_chain_6_scale40__baseline_non_rescale,false
0,banknote,mlp_square_linear_score,0.75,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,604.2577584244,2.876479773238058,short_chain_3__rescale_aware,REJECTED,100.0947065317,short_chain_6_scale40__baseline_non_rescale,210.0684885902,short_chain_6_scale40__baseline_non_rescale,false
0,banknote,mlp_square_linear_score,0.9,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale40__baseline_non_rescale,210.0684885902,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,604.2577584244,2.876479773238058,short_chain_3__rescale_aware,REJECTED,100.0947065317,short_chain_6_scale40__baseline_non_rescale,210.0684885902,short_chain_6_scale40__baseline_non_rescale,false
