split_seed,dataset_id,model_id,alpha,selection_metric,oracle_outcome,planner_outcome,oracle_candidate,planner_candidate,oracle_mean_total_ms,planner_mean_total_ms,oracle_candidate_count,planner_candidate_count,oracle_safe_count,planner_safe_count,oracle_rejected_count,planner_rejected_count,oracle_failed_count,planner_failed_count,safe_recall_defined,safe_recall,optimum_recall_defined,optimum_recall,latency_regret_defined,latency_regret,pruning_ratio,false_no_safe,planning_overhead_us
0,banknote,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,390.188999932,390.188999932,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,130.465
0,banknote,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,390.188999932,390.188999932,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,66.996
0,banknote,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,390.188999932,390.188999932,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,63.028
0,banknote,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,390.188999932,390.188999932,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,66.865
0,banknote,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,390.188999932,390.188999932,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,72.356
0,banknote,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,210.06848859,228.312240142,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0868466835447,0.428571428571,false,101.761
0,banknote,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,210.06848859,228.312240142,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0868466835447,0.428571428571,false,126.116
0,banknote,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,210.06848859,228.312240142,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0868466835447,0.428571428571,false,99.186
0,banknote,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,210.06848859,228.312240142,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0868466835447,0.428571428571,false,138.449
0,banknote,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,210.06848859,228.312240142,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0868466835447,0.428571428571,false,80.161
