split_seed,dataset_id,model_id,alpha,old_candidate,v2_candidate
0,banknote,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,banknote,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,banknote,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,banknote,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,banknote,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,digits_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,digits_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,digits_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,digits_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,digits_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,iris_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,iris_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,iris_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,iris_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,iris_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,mnist_pool16,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,mnist_pool16,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,mnist_pool16,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,mnist_pool16,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,mnist_pool16,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,wdbc,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,wdbc,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,wdbc,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,wdbc,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
0,wdbc,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,banknote,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,banknote,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,banknote,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,banknote,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,banknote,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,digits_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,digits_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,digits_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,digits_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,digits_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,iris_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,iris_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,iris_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,iris_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,iris_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,mnist_pool16,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,mnist_pool16,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,mnist_pool16,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,mnist_pool16,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,mnist_pool16,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,wdbc,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,wdbc,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,wdbc,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,wdbc,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
1,wdbc,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,banknote,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,banknote,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
