partition,split_seed,dataset_id,model_id,status,failure,validation_samples,v_cert,v_amb,coverage,protected_margin,output_error_budget,multiplicative_depth,rescale_ops,required_q_primes,candidate_id,log_n,q_prime_count,p_prime_count,log_default_scale,declared_log_qp,security_headroom_bits
configuration_validation,0,banknote,mlp_square_poly3,PLAN_OK,,205,205,0,1.0,0.01394636207800004,0.00697318103900002,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_b4440eaedb46,14,10,1,22,253,185
configuration_validation,0,digits_binary,mlp_square_poly3,PLAN_OK,,270,245,25,0.9074074074074074,0.0010817960460000053,0.0005408980230000027,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_e719f14a737c,14,10,1,22,253,185
configuration_validation,0,iris_binary,mlp_square_poly3,PLAN_OK,,14,14,0,1.0,0.07532459106700001,0.037662295533500006,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_d0967a611121,14,10,1,22,253,185
configuration_validation,0,mnist_pool16,mlp_square_poly3,PLAN_OK,,249,247,2,0.9919678714859438,0.0010423408219999986,0.0005211704109999993,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_d17060166dd9,14,10,1,22,253,185
configuration_validation,0,wdbc,mlp_square_poly3,PLAN_OK,,85,80,5,0.9411764705882353,0.0018270604190000483,0.0009135302095000242,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_2495e28fec27,14,10,1,22,253,185
configuration_validation,1,banknote,mlp_square_poly3,PLAN_OK,,205,205,0,1.0,0.01394636207800004,0.00697318103900002,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_57b8752878c2,14,10,1,22,253,185
configuration_validation,1,digits_binary,mlp_square_poly3,PLAN_OK,,270,253,17,0.937037037037037,0.0010321647500000086,0.0005160823750000043,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_663a2999b050,14,10,1,22,253,185
configuration_validation,1,iris_binary,mlp_square_poly3,PLAN_OK,,14,14,0,1.0,0.07532459106700001,0.037662295533500006,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_ded16f67a980,14,10,1,22,253,185
configuration_validation,1,mnist_pool16,mlp_square_poly3,PLAN_OK,,249,246,3,0.9879518072289156,0.0010712076169999696,0.0005356038084999848,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_304ab3e141ea,14,10,1,22,253,185
configuration_validation,1,wdbc,mlp_square_poly3,PLAN_OK,,85,83,2,0.9764705882352941,0.001294245405999983,0.0006471227029999915,3,3,10,synth_analysis_minimum_rescale_N14_Q10_S22_e1c00e1d9ad3,14,10,1,22,253,185
