run_id,split_seed,partition_role,dataset_id,model_id,workload_id,status,outcome,trials_used,encrypted_key_runs,selected_candidate_id,selected_trial_status,selected_assurance,log_n,q_prime_count,p_prime_count,log_default_scale,declared_log_qp,security_headroom_bits,analysis_scale_bits,backend_scale_lift_bits,backend_validation_attempts,same_tier_precision_gain_bits,same_tier_static_candidates_tried,generation_kind,key_repeats_requested,key_repeats_completed,success_runs,decision_flips,error_violations,max_observed_error,max_error_budget_usage,v_cert,v_amb,mean_total_ms,median_total_ms,p95_total_ms,contract_digest,model_sha256,validation_sha256,prepared_validation_sha256,source_data_sha256,source_validation_sha256,materialization_schema,source_feature_space,preprocessing_method,source_replay_verified,result_path
full_structural_poly3_inputmodel_floor18_keys3,0,development_ablation,banknote,mlp_square_poly3,split_seed_0/banknote/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_13c48b68a879,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0076333217342337,0.10494627480741224,205,0,460.43957458211383,445.179742,552.053551,sha256:13c48b68a8796fdb969a9b05a37ef306fe2a328de534b609b0708a9c8b2e9dd8,sha256:6760bae998b56504742d017fd671a36d3527d0d0df22fc9707c4205ca7019408,sha256:15ed6a057668a2a51434bd41d96c77e56f8fb1cfece5fc2157758967f1fa9be1,sha256:15ed6a057668a2a51434bd41d96c77e56f8fb1cfece5fc2157758967f1fa9be1,sha256:cf669144aa9d2562e15e763319c82f420a2781a28c5b45676006eb4e8065c671,sha256:cf669144aa9d2562e15e763319c82f420a2781a28c5b45676006eb4e8065c671,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed0_banknote_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,0,development_ablation,digits_binary,mlp_square_poly3,split_seed_0/digits_binary/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_8e664d60a276,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0022262428946169255,0.27014935998998363,245,25,571.0697837901225,552.843724,675.343086,sha256:8e664d60a27669db8deba2141289469c74e85070228bdb46866f81607e680917,sha256:d6c8fbf64810e25c8a09da08d37547a601d2d2ef1dbb22c45daa820f22ae265c,sha256:d4d2073be880c9ae1b0010433821cd3a456161ea0e6e0319e236e4f65ecd7f70,sha256:d4d2073be880c9ae1b0010433821cd3a456161ea0e6e0319e236e4f65ecd7f70,sha256:0875f6feeb6927af525805e085ecf65d23242ea16bc097e1e231c4fe1ee8b085,sha256:0875f6feeb6927af525805e085ecf65d23242ea16bc097e1e231c4fe1ee8b085,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed0_digits_binary_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,0,development_ablation,iris_binary,mlp_square_poly3,split_seed_0/iris_binary/mlp_square_poly3,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N14_Q10_S22_6618ee12971e,SAFE,OBSERVED_VALIDATION,14,10,1,22,253,177,18,4,5,0,1,analysis_minimum,3,3,3,0,0,0.05740349325818683,0.8026884263845212,14,0,483.0254050952381,442.291688,718.511768,sha256:6618ee12971e716616ce236876d2336e84eb0d379a09a06f21676e00545b9243,sha256:e473307e3bafec908c3ecb306957ce3b77acc9f864fd62354b239bf533b9d166,sha256:00ab763c0231e44e69818016b6f4f2fc186d99b180e8b4a7cac7d1e17825ba36,sha256:00ab763c0231e44e69818016b6f4f2fc186d99b180e8b4a7cac7d1e17825ba36,sha256:4d95258df0bd8313b78c8a06d376809db8e8b66d0f0910f59a78da022c051e8f,sha256:4d95258df0bd8313b78c8a06d376809db8e8b66d0f0910f59a78da022c051e8f,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed0_iris_binary_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,0,development_ablation,mnist_pool16,mlp_square_poly3,split_seed_0/mnist_pool16/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_7bb9513171dd,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0061040445082831685,0.2869017970247374,247,2,775.2660963467207,755.154067,915.218686,sha256:7bb9513171ddd1ab104c23430b52362ca3fd57da9c891740180ed42abd88a577,sha256:3bf1edec1c3a99b737b07d9c39e2d2e8156c1bc7e4e5c87a84ed04f593968bfb,sha256:ba2579e64af9036194292199335d84177d83f646ab50cd33cc1f9382c1661c39,sha256:ba2579e64af9036194292199335d84177d83f646ab50cd33cc1f9382c1661c39,sha256:a34e9b347e537d153fc6dad96da00154840399e55ef95f547a8cd05457567ba5,sha256:a34e9b347e537d153fc6dad96da00154840399e55ef95f547a8cd05457567ba5,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed0_mnist_pool16_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,0,development_ablation,wdbc,mlp_square_poly3,split_seed_0/wdbc/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_4d1eaac64a32,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.00711423607336481,0.19905634452400325,80,5,560.402871564706,544.419114,656.168367,sha256:4d1eaac64a32e371fa4d7a3542db01a09844292ab53ab14b8c5af2fe86716ed5,sha256:826bdddf3e4316fe80dbe8d3ffd4fadbab6b11c5a3fdef402a6e761b9356ff69,sha256:a99d4ae620a5fe798ddc516b0534364f56cdf9269da9182cc72caae36e894650,sha256:a99d4ae620a5fe798ddc516b0534364f56cdf9269da9182cc72caae36e894650,sha256:72c543388e87345da7c2db07dd800c78d14625236e77a476268800ba081a84bc,sha256:72c543388e87345da7c2db07dd800c78d14625236e77a476268800ba081a84bc,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed0_wdbc_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,1,post_freeze_repeated_partition_evaluation,banknote,mlp_square_poly3,split_seed_1/banknote/mlp_square_poly3,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N14_Q10_S22_ed8d37a0a82e,SAFE,OBSERVED_VALIDATION,14,10,1,22,253,177,18,4,5,0,1,analysis_minimum,3,3,3,0,0,0.06105584826918797,0.9070120201937882,205,0,445.4634141821135,434.310149,523.211446,sha256:ed8d37a0a82e1965e95ec65a7c5ec724d38915daaab81b248d040c0fdbe8390c,sha256:6760bae998b56504742d017fd671a36d3527d0d0df22fc9707c4205ca7019408,sha256:493a9becbc2364a6b86c8871002ac4ddd0291c825edc8d6e645f28b8c70b4092,sha256:493a9becbc2364a6b86c8871002ac4ddd0291c825edc8d6e645f28b8c70b4092,sha256:b73cdeb67d7f5ba2e8ba5ab98b978809f2bb1f054615f96b49868b1ed7f00374,sha256:b73cdeb67d7f5ba2e8ba5ab98b978809f2bb1f054615f96b49868b1ed7f00374,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed1_banknote_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,1,post_freeze_repeated_partition_evaluation,digits_binary,mlp_square_poly3,split_seed_1/digits_binary/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_a12252131b04,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.003040873675576261,0.16729618533353072,253,17,554.3728431234559,540.809209,643.222698,sha256:a12252131b04904ca1e02487de0f8657fdf46f81ac9182d4c53b80e10e8ed514,sha256:d6c8fbf64810e25c8a09da08d37547a601d2d2ef1dbb22c45daa820f22ae265c,sha256:c6c57213974d483f0cf20a0b10aad3376b0840424f2049cdcd74c61f77ba9c50,sha256:c6c57213974d483f0cf20a0b10aad3376b0840424f2049cdcd74c61f77ba9c50,sha256:ee80a6d4bce03ad4964a0b06859c8a284f39a4e79c14888f05c3562344bf557f,sha256:ee80a6d4bce03ad4964a0b06859c8a284f39a4e79c14888f05c3562344bf557f,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed1_digits_binary_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,1,post_freeze_repeated_partition_evaluation,iris_binary,mlp_square_poly3,split_seed_1/iris_binary/mlp_square_poly3,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N14_Q10_S22_d58e9978d023,SAFE,OBSERVED_VALIDATION,14,10,1,22,253,177,18,4,5,0,1,analysis_minimum,3,3,3,0,0,0.05584558145056773,0.7910446722134221,14,0,456.50707202380954,440.085158,612.789942,sha256:d58e9978d0234c10658b53fd3bcd5b53cc68a259d3494c6d42d034ef2217bedc,sha256:e473307e3bafec908c3ecb306957ce3b77acc9f864fd62354b239bf533b9d166,sha256:e91dcabf5cdc6d4090e506142e2030457e88ee82aaed5c4fe716ac79821056c7,sha256:e91dcabf5cdc6d4090e506142e2030457e88ee82aaed5c4fe716ac79821056c7,sha256:870ea188fdc4a2e35b914e682df6506451bd0c45a86d3357b58428d48dd234a2,sha256:870ea188fdc4a2e35b914e682df6506451bd0c45a86d3357b58428d48dd234a2,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed1_iris_binary_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,1,post_freeze_repeated_partition_evaluation,mnist_pool16,mlp_square_poly3,split_seed_1/mnist_pool16/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_97778e08d5f0,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0060150795759764675,0.2044237719304252,246,3,773.7244502476568,755.043922,889.560415,sha256:97778e08d5f06fa956bd348ab5cc1381fd22030783b03daeb5aa251b9dc57bd2,sha256:3bf1edec1c3a99b737b07d9c39e2d2e8156c1bc7e4e5c87a84ed04f593968bfb,sha256:c8dbdcaede6e39d0bcf025681ee04ad49fe12d914114943d0ab96e543296ef76,sha256:c8dbdcaede6e39d0bcf025681ee04ad49fe12d914114943d0ab96e543296ef76,sha256:a9bfdb0441981199293db86b7db499accdf71e72c2bd12df859ea30c62ece93b,sha256:a9bfdb0441981199293db86b7db499accdf71e72c2bd12df859ea30c62ece93b,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed1_mnist_pool16_mlp_square_poly3.json
full_structural_poly3_inputmodel_floor18_keys3,1,post_freeze_repeated_partition_evaluation,wdbc,mlp_square_poly3,split_seed_1/wdbc/mlp_square_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N14_Q10_S26_20a8b5b178f8,SAFE,OBSERVED_VALIDATION,14,10,1,26,293,137,26,0,1,0,1,repair_scale_1,3,3,3,0,0,0.02504916807239345,0.2404262902320621,83,2,560.5121075098044,546.378475,662.180765,sha256:20a8b5b178f8b98929d2e5e503f42f03738f5309651f747cc25d60c0eee96fb7,sha256:826bdddf3e4316fe80dbe8d3ffd4fadbab6b11c5a3fdef402a6e761b9356ff69,sha256:cf2885cf6e2773e2cece7ebeac1bb1923ee231db850cd6d28442a99ac0d5b903,sha256:cf2885cf6e2773e2cece7ebeac1bb1923ee231db850cd6d28442a99ac0d5b903,sha256:9693e4faf2a1017016053794fe00bb5bb789d1c6213f339cd8e0ab237e6ed155,sha256:9693e4faf2a1017016053794fe00bb5bb789d1c6213f339cd8e0ab237e6ed155,flipguard_tabular_validation_v2,model_input,identity_model_input_v1,True,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_structural_poly3_inputmodel_floor18_keys3/results/directv1_full_structural_poly3_inputmodel_floor18_keys3_seed1_wdbc_mlp_square_poly3.json
