workload_id,dataset_id,model_id,outcome,candidate_id,profile_family,path,assurance,log_n,slots,chain_length,scale_bits,mean_total_ms,reference_mean_total_ms,speedup_vs_reference,decision_flips_v_cert,error_violations_v_cert,max_observed_error_v_cert,v_cert,v_amb,coverage_rate
banknote__linear_poly3,banknote,linear_poly3,SELECTED,default__rescale_aware,default,rescale_aware,OBSERVED_VALIDATION,14,8192,7,45,119.330279396,119.330279396,1,0,0,2.07900000104e-07,412,0,1
banknote__mlp_square_linear_score,banknote,mlp_square_linear_score,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale40,baseline_non_rescale,OBSERVED_VALIDATION,14,8192,6,40,170.193720447,205.366783765,1.20666487121,0,0,1.89999993516e-09,412,0,1
digits_binary__linear_poly3,digits_binary,linear_poly3,SELECTED,default__rescale_aware,default,rescale_aware,OBSERVED_VALIDATION,14,8192,7,45,176.299848346,176.299848346,1,0,0,2.08000000002e-07,530,10,0.981481481481
digits_binary__mlp_square_linear_score,digits_binary,mlp_square_linear_score,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38,baseline_non_rescale,OBSERVED_VALIDATION,14,8192,6,38,227.277474201,270.122899892,1.18851593561,0,0,9.00000074466e-10,505,35,0.935185185185
iris_binary__linear_poly3,iris_binary,linear_poly3,SELECTED,default__rescale_aware,default,rescale_aware,OBSERVED_VALIDATION,14,8192,7,45,120.027799378,120.027799378,1,0,0,2.07899999993e-07,30,0,1
iris_binary__mlp_square_linear_score,iris_binary,mlp_square_linear_score,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale42,baseline_non_rescale,OBSERVED_VALIDATION,14,8192,6,42,169.097464467,203.938972533,1.20604394144,0,0,1.00000008274e-10,30,0,1
mnist_pool16__linear_poly3,mnist_pool16,linear_poly3,SELECTED,default__rescale_aware,default,rescale_aware,OBSERVED_VALIDATION,14,8192,7,45,312.71718244,312.71718244,1,0,0,2.08300000026e-07,195,5,0.975
mnist_pool16__mlp_square_linear_score,mnist_pool16,mlp_square_linear_score,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale42,baseline_non_rescale,OBSERVED_VALIDATION,14,8192,6,42,349.33005016,414.896056792,1.18769071427,0,0,1.00000008274e-10,197,3,0.985
wdbc__linear_poly3,wdbc,linear_poly3,SELECTED,default__rescale_aware,default,rescale_aware,OBSERVED_VALIDATION,14,8192,7,45,182.713050938,182.713050938,1,0,0,2.08000000002e-07,169,2,0.988304093567
wdbc__mlp_square_linear_score,wdbc,mlp_square_linear_score,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38,baseline_non_rescale,OBSERVED_VALIDATION,14,8192,6,38,230.95318537,299.132512355,1.29520842882,0,0,2.2000000155e-09,165,6,0.964912280702
