workload_id,dataset_id,model_id,split_id,validation_digest,outcome,outcome_reason,candidate_count,safe_count,rejected_count,failed_count,ambiguous_count,threshold,margin_floor,safety_factor,sample_count,v_cert,v_amb,coverage_rate,min_margin,min_certified_margin,p5_margin,selected_candidate,selected_path,selected_assurance,selected_mean_total_ms,reference_candidate,reference_mean_total_ms,selected_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,SELECTED,selected fastest SAFE candidate default__rescale_aware with assurance=OBSERVED_VALIDATION and mean latency 119.330279 ms,22,12,8,2,0,0.5,0.001,0.5,412,412,0,1,0.0043121153,0.0043121153,0.0234581013,default__rescale_aware,rescale_aware,OBSERVED_VALIDATION,119.330279396,default__rescale_aware,119.330279396,1,short_chain_3__baseline_non_rescale,REJECTED,77.2358960777
banknote__mlp_square_linear_score,banknote,mlp_square_linear_score,test_seed42_ratio0.3_prefix412_of412,sha256:fb9c56a6221c19e26b7e52f68b65f4cdc053e4a899a3ea40b3b322a320bfc49b,SELECTED,selected fastest SAFE candidate short_chain_6_scale40__baseline_non_rescale with assurance=OBSERVED_VALIDATION and mean latency 170.193720 ms,22,18,4,0,0,0.5,0.001,0.5,412,412,0,1,0.012219453,0.012219453,0.0257434487,short_chain_6_scale40__baseline_non_rescale,baseline_non_rescale,OBSERVED_VALIDATION,170.193720447,default__rescale_aware,205.366783765,1.20666487121,short_chain_3__rescale_aware,REJECTED,75.5817784126
digits_binary__linear_poly3,digits_binary,linear_poly3,test_seed42_ratio0.3_prefix540_of540,sha256:d1b62ea84e65ac2bfcb2291cc41625d8f8ccc3e81a6fec3033bb91abe2d09bb2,SELECTED,selected fastest SAFE candidate default__rescale_aware with assurance=OBSERVED_VALIDATION and mean latency 176.299848 ms,22,12,8,2,0,0.5,0.001,0.5,540,530,10,0.981481481481,0.0001087829,0.0010907863,0.0021459455,default__rescale_aware,rescale_aware,OBSERVED_VALIDATION,176.299848346,default__rescale_aware,176.299848346,1,short_chain_3__baseline_non_rescale,REJECTED,106.658453436
digits_binary__mlp_square_linear_score,digits_binary,mlp_square_linear_score,test_seed42_ratio0.3_prefix540_of540,sha256:42701c7b77668c4147ce8c696f2e73bb007eade6cf4dc96021b6c8e077550666,SELECTED,selected fastest SAFE candidate short_chain_6_scale38__baseline_non_rescale with assurance=OBSERVED_VALIDATION and mean latency 227.277474 ms,22,18,4,0,0,0.5,0.001,0.5,540,505,35,0.935185185185,4.5192e-06,0.0010321653,0.0007069918,short_chain_6_scale38__baseline_non_rescale,baseline_non_rescale,OBSERVED_VALIDATION,227.277474201,default__rescale_aware,270.122899892,1.18851593561,short_chain_3__rescale_aware,REJECTED,109.108540571
iris_binary__linear_poly3,iris_binary,linear_poly3,test_seed42_ratio0.3_prefix30_of30,sha256:3e13ba00f25ab66cbe48b25e6ad2815a8c24d516ba979e1c0d75575ed79101b8,SELECTED,selected fastest SAFE candidate default__rescale_aware with assurance=OBSERVED_VALIDATION and mean latency 120.027799 ms,22,12,8,2,0,0.5,0.001,0.5,30,30,0,1,0.0548087896,0.0548087896,0.065146843,default__rescale_aware,rescale_aware,OBSERVED_VALIDATION,120.027799378,default__rescale_aware,120.027799378,1,short_chain_3__baseline_non_rescale,REJECTED,76.122926
iris_binary__mlp_square_linear_score,iris_binary,mlp_square_linear_score,test_seed42_ratio0.3_prefix30_of30,sha256:36469289b77c5c3380dc0c5749713208243f43d580127f64d62a5301ec0f6f1a,SELECTED,selected fastest SAFE candidate short_chain_6_scale42__baseline_non_rescale with assurance=OBSERVED_VALIDATION and mean latency 169.097464 ms,22,18,4,0,0,0.5,0.001,0.5,30,30,0,1,0.0693038602,0.0693038602,0.0755502062,short_chain_6_scale42__baseline_non_rescale,baseline_non_rescale,OBSERVED_VALIDATION,169.097464467,default__rescale_aware,203.938972533,1.20604394144,short_chain_3__rescale_aware,REJECTED,75.5770293111
mnist_pool16__linear_poly3,mnist_pool16,linear_poly3,test_seed42_ratio0.2_prefix200_of500,sha256:01e9be436a368495c1e555d180278336ca9acf3f6651fb21ff5e5568b65de448,SELECTED,selected fastest SAFE candidate default__rescale_aware with assurance=OBSERVED_VALIDATION and mean latency 312.717182 ms,22,12,8,2,0,0.5,0.001,0.5,200,195,5,0.975,0.0002125055,0.001186814,0.0021913815,default__rescale_aware,rescale_aware,OBSERVED_VALIDATION,312.71718244,default__rescale_aware,312.71718244,1,short_chain_3__baseline_non_rescale,REJECTED,173.175368243
mnist_pool16__mlp_square_linear_score,mnist_pool16,mlp_square_linear_score,test_seed42_ratio0.2_prefix200_of500,sha256:ebd07168da61cc711d5bee3fb7af36d685d836e99ac22e1a9607628846d07866,SELECTED,selected fastest SAFE candidate short_chain_6_scale42__baseline_non_rescale with assurance=OBSERVED_VALIDATION and mean latency 349.330050 ms,22,18,4,0,0,0.5,0.001,0.5,200,197,3,0.985,0.0001539709,0.0010423414,0.0013782223,short_chain_6_scale42__baseline_non_rescale,baseline_non_rescale,OBSERVED_VALIDATION,349.33005016,default__rescale_aware,414.896056792,1.18769071427,short_chain_3__rescale_aware,REJECTED,171.6773854
wdbc__linear_poly3,wdbc,linear_poly3,test_seed42_ratio0.3_prefix171_of171,sha256:4be5fb5d7dd9e6591760716c111235dd18ec8f23e9402e4dab41a1d015975da5,SELECTED,selected fastest SAFE candidate default__rescale_aware with assurance=OBSERVED_VALIDATION and mean latency 182.713051 ms,22,12,8,2,0,0.5,0.001,0.5,171,169,2,0.988304093567,0.0004281279,0.0014636265,0.0040110195,default__rescale_aware,rescale_aware,OBSERVED_VALIDATION,182.713050938,default__rescale_aware,182.713050938,1,short_chain_3__baseline_non_rescale,REJECTED,118.003051312
wdbc__mlp_square_linear_score,wdbc,mlp_square_linear_score,test_seed42_ratio0.3_prefix171_of171,sha256:11649cb5710e83f6edc12336a4ada88b078753ac65780fb87deb487b3fb0d7cb,SELECTED,selected fastest SAFE candidate short_chain_6_scale38__baseline_non_rescale with assurance=OBSERVED_VALIDATION and mean latency 230.953185 ms,22,18,4,0,0,0.5,0.001,0.5,171,165,6,0.964912280702,0.0001200795,0.0012942465,0.0014499078,short_chain_6_scale38__baseline_non_rescale,baseline_non_rescale,OBSERVED_VALIDATION,230.95318537,default__rescale_aware,299.132512355,1.29520842882,short_chain_3__rescale_aware,REJECTED,109.175525468
