reference_number,citation_key,title,authors,venue,year,official,state,primary_source_verified,manuscript_citation_locations,claim_supported,duplicate_status,metadata_consistency,editable_bib_status
1,cheon2017ckks,Homomorphic Encryption for Arithmetic of Approximate Numbers,Jung Hee Cheon; Andrey Kim; Miran Kim; Yongsoo Song,ASIACRYPT,2017,https://doi.org/10.1007/978-3-319-70694-8_15,peer-reviewed conference,YES,journal_v10:p11.s1;journal_v10:p19.s1;journal_v10:p323.s1;thesis_v10:p1086.s1;thesis_v10:p204.s2;thesis_v10:p205.s3;thesis_v10:p237.s1,CKKS approximate arithmetic and rescaling,UNIQUE,MATCH,PRESENT
2,dathathri2019chet,CHET: An Optimizing Compiler for Fully-Homomorphic Neural-Network Inferencing,Roshan Dathathri et al.,PLDI,2019,https://doi.org/10.1145/3314221.3314628,peer-reviewed conference,YES,journal_v10:p13.s1;journal_v10:p325.s1;thesis_v10:p1087.s1;thesis_v10:p206.s5;thesis_v10:p303.s1,FHE compiler and tensor-layout optimization,UNIQUE,MATCH,PRESENT
3,dathathri2020eva,EVA: An Encrypted Vector Arithmetic Language and Compiler for Efficient Homomorphic Computation,Roshan Dathathri et al.,PLDI,2020,https://doi.org/10.1145/3385412.3386023,peer-reviewed conference,YES,journal_v10:p13.s1;journal_v10:p29.s1;journal_v10:p327.s1;thesis_v10:p1088.s1;thesis_v10:p206.s5;thesis_v10:p303.s3;thesis_v10:p316.s1,CKKS compiler and scale management,UNIQUE,MATCH,PRESENT
4,lee2022hecate,HECATE: Performance-Aware Scale Optimization for Homomorphic Encryption Compiler,Yongwoo Lee et al.,CGO,2022,https://doi.org/10.1109/CGO53902.2022.9741265,peer-reviewed conference,YES,journal_v10:p13.s1;journal_v10:p29.s1;journal_v10:p329.s1;thesis_v10:p1089.s1;thesis_v10:p206.s5;thesis_v10:p304.s1;thesis_v10:p320.s1,scale optimization baseline,UNIQUE,MATCH,PRESENT
5,lee2023elasm,ELASM: Error-Latency-Aware Scale Management for Fully Homomorphic Encryption,Yongwoo Lee et al.,USENIX Security,2023,https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo,peer-reviewed conference,YES,journal_v10:p13.s1;journal_v10:p29.s2;journal_v10:p331.s1;thesis_v10:p1090.s1;thesis_v10:p206.s5;thesis_v10:p304.s2;thesis_v10:p324.s1,error-latency scale planning,UNIQUE,MATCH,PRESENT
6,viand2023heco,HECO: Fully Homomorphic Encryption Compiler,Alexander Viand; Patrick Jattke; Miro Haller; Anwar Hithnawi,USENIX Security,2023,https://www.usenix.org/conference/usenixsecurity23/presentation/viand,peer-reviewed conference,YES,journal_v10:p13.s2;journal_v10:p333.s1;thesis_v10:p1091.s1;thesis_v10:p206.s5;thesis_v10:p305.s1,FHE compiler optimization,UNIQUE,MATCH,PRESENT
7,cheon2024dacapo,DaCapo: Automatic Bootstrapping Management for Efficient Fully Homomorphic Encryption,Seonyoung Cheon et al.,USENIX Security,2024,https://www.usenix.org/conference/usenixsecurity24/presentation/cheon,peer-reviewed conference,YES,journal_v10:p13.s2;journal_v10:p29.s3;journal_v10:p335.s1;thesis_v10:p1092.s1;thesis_v10:p206.s5;thesis_v10:p305.s2;thesis_v10:p328.s1,bootstrapping management,UNIQUE,MATCH,PRESENT
8,lou2020autoprivacy,AutoPrivacy: Automated Layer-wise Parameter Selection for Secure Neural Network Inference,Qian Lou; Song Bian; Lei Jiang,NeurIPS,2020,https://papers.nips.cc/paper_files/paper/2020/hash/6244b2ba957c48bc64582cf2bcec3d04-Abstract.html,peer-reviewed conference,YES,journal_v10:p337.s1;thesis_v10:p1093.s1;thesis_v10:p208.s2;thesis_v10:p306.s1,application-aware privacy/performance adaptation,UNIQUE,MATCH,PRESENT
9,ao2024autofhe,AutoFHE: Automated Adaption of CNNs for Efficient Evaluation over FHE,Wei Ao; Vishnu Naresh Boddeti,USENIX Security,2024,https://www.usenix.org/conference/usenixsecurity24/presentation/ao,peer-reviewed conference,YES,journal_v10:p29.s3;journal_v10:p324.s1;thesis_v10:p1094.s1;thesis_v10:p208.s2;thesis_v10:p306.s2;thesis_v10:p336.s1,FHE neural architecture adaptation,UNIQUE,MATCH,PRESENT
10,heir2025,HEIR: A Universal Compiler for Homomorphic Encryption,Asra Ali; Jaeho Choi; Bryant Gipson; Shruthi Gorantala; Jeremy Kun; Wouter Legiest; Lawrence Lim; Alexander Viand; Meron Zerihun Demissie; Hongren Zheng,arXiv,2025,https://arxiv.org/abs/2508.11095,preprint,YES,journal_v10:p13.s2;journal_v10:p29.s4;journal_v10:p326.s1;thesis_v10:p1095.s1;thesis_v10:p332.s1,modern external compiler/configuration provider,UNIQUE,MATCH,MISSING_FROM_EDITABLE_BIB
11,orion2025,Orion: A Fully Homomorphic Encryption Framework for Deep Learning,Austin Ebel; Karthik Garimella; Brandon Reagen,ASPLOS,2025,https://doi.org/10.1145/3676641.3716008,peer-reviewed conference,YES,journal_v10:p328.s1;thesis_v10:p1096.s1,encrypted deep-learning compiler framework,UNIQUE,TITLE_MISMATCH_IN_DOCX_P0,MISSING_FROM_EDITABLE_BIB
12,lohen2025,LOHEN: Layer-wise Optimizations for Neural Network Inferences over Encrypted Data with High Performance or Accuracy,Kevin Nam; Youyeon Joo; Dongju Lee; Seungjin Ha; Hyunyoung Oh; Hyungon Moon; Yunheung Paek,USENIX Security,2025,https://www.usenix.org/conference/usenixsecurity25/presentation/nam-lohen,peer-reviewed conference,YES,journal_v10:p29.s3;journal_v10:p330.s1;thesis_v10:p1097.s1;thesis_v10:p336.s1,layer-wise FHE neural-inference optimization,UNIQUE,TITLE_MISMATCH_IN_DOCX_P0,MISSING_FROM_EDITABLE_BIB
13,slothe2025,SLOTHE: Lazy Approximation of Non-Arithmetic Neural Network Functions over Encrypted Data,Kevin Nam; Youyeon Joo; Seungjin Ha; Yunheung Paek,USENIX Security,2025,https://www.usenix.org/conference/usenixsecurity25/presentation/nam-slothe,peer-reviewed conference,YES,journal_v10:p29.s3;journal_v10:p332.s1;thesis_v10:p1098.s1;thesis_v10:p336.s1,non-arithmetic activation approximation,UNIQUE,TITLE_MISMATCH_IN_DOCX_P0,MISSING_FROM_EDITABLE_BIB
