profile,profile_class,log_n,slots,q_prime_count,p_prime_count,log_default_scale,candidate_count,strict_safe_candidate_count,rejected_candidate_count,failed_candidate_count,total_failed_runs,total_decision_flips,total_score_error_violations,mean_total_ms_completed_candidates
deep_chain_8_scale45,deep_chain,15,16384,8,1,45,16,16,0,0,0,0,0,482.0113091687
deep_chain_9_scale45,deep_chain,15,16384,9,1,45,16,16,0,0,0,0,0,560.7250601449
default,default_chain,14,8192,7,1,45,16,16,0,0,0,0,0,203.0031534416
scale38,scale_reduced_default_chain,14,8192,7,1,38,16,16,0,0,0,0,0,207.2203336389
scale40,scale_reduced_default_chain,14,8192,7,1,40,16,16,0,0,0,0,0,208.5838008552
scale42,scale_reduced_default_chain,14,8192,7,1,42,16,16,0,0,0,0,0,208.6502256060
short_chain_3,short_chain,14,8192,3,1,35,16,0,16,4,12,5193,10377,101.5965241038
short_chain_5,short_chain,14,8192,5,1,40,16,0,16,4,12,5193,10377,161.8784340125
short_chain_6_scale38,short_chain,14,8192,6,1,38,16,8,8,0,0,3450,6918,175.0002406841
short_chain_6_scale40,short_chain,14,8192,6,1,40,16,8,8,0,0,3450,6918,174.6701220410
short_chain_6_scale42,short_chain,14,8192,6,1,42,16,8,8,0,0,3450,6918,174.9929773771
